ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-74.2073,-129.1502,1,2015062,0,0,0,0,0
-74.2023,-129.3168,1,2015063,0,0,0,0,0
-74.1819,-129.4945,1,2015064,0,0,0,0,0
-74.169,-129.5521,1,2015065,0,0,0,0,0
-74.1427,-129.4747,1,2015066,0,0,0,0,0
-74.015,-129.3746,1,2015067,0,0,0,0,0
-74.0172,-129.2892,1,2015068,0,0,0,0,0
-73.8175,-128.9815,1,2015069,0,0,0,0,0
-73.7784,-128.8701,1,2015070,0,0,0,0,0
-73.6961,-128.8619,1,2015071,0,0,0,0,0
-73.6733,-128.935,1,2015072,-73.93,-129.15,1,15,5
-73.6403,-128.8423,1,2015073,-74.1289,-129.1167,0,0,0
-73.6419,-128.8926,1,2015074,0,0,0,0,0
-73.6457,-128.9014,0,2015075,0,0,0,0,0
-73.6485,-128.9113,1,2015076,0,0,0,0,0
-73.6351,-129.0549,1,2015077,0,0,0,0,0
-73.6547,-129.1588,1,2015078,0,0,0,0,0
-73.6663,-129.24,1,2015079,-74.65,-129.06,1,15,5
-73.7195,-129.8104,1,2015080,0,0,0,0,0
-73.7326,-129.7143,1,2015081,0,0,0,0,0
-73.7458,-129.7516,1,2015082,0,0,0,0,0
-73.7459,-129.7982,1,2015083,-74.1224,-129.402,0,0,0
-73.7969,-129.6732,1,2015084,-73.9525,-129.5301,0,0,0
-73.796,-129.6669,1,2015085,-73.8282,-129.6446,0,0,0
-73.8541,-129.7469,1,2015086,-73.78,-129.73,1,15,5
-73.8335,-129.7786,1,2015087,-73.7839,-129.7885,0,0,0
-73.853,-129.9304,1,2015088,-73.7939,-129.8358,0,0,0
-73.8321,-129.963,1,2015089,-73.8076,-129.877,0,0,0
-73.7936,-130.0337,1,2015090,-73.8224,-129.917,0,0,0
-73.814,-130.0504,1,2015091,-73.8361,-129.9609,0,0,0
-73.8255,-130.0851,1,2015092,-73.8461,-130.0136,0,0,0
-73.8702,-130.5503,1,2015093,-73.85,-130.08,1,15,5
-73.8972,-130.7797,1,2015094,-73.85,-130.1933,0,0,0
-73.8996,-131.1204,1,2015095,-73.85,-130.3647,0,0,0
-73.885,-131.0785,1,2015096,-73.85,-130.5667,0,0,0
-73.8514,-131.3543,1,2015097,-73.85,-130.7718,0,0,0
-73.8519,-131.1688,1,2015098,-73.85,-130.9524,0,0,0
-73.8335,-131.2997,1,2015099,-73.85,-131.081,0,0,0
-73.8709,-131.2286,1,2015100,-73.85,-131.13,1,15,5
-73.8648,-131.2076,1,2015101,-73.85,-131.13,0,0,0
-73.8569,-131.4691,1,2015102,-73.85,-131.13,0,0,0
-73.8811,-131.4064,1,2015103,-73.85,-131.13,0,0,0
-73.8556,-131.4191,1,2015104,-73.85,-131.13,0,0,0
-73.8625,-131.3452,1,2015105,-73.85,-131.13,0,0,0
-73.8506,-131.4033,1,2015106,-73.85,-131.13,0,0,0
-73.8295,-131.4796,1,2015107,-73.85,-131.13,1,15,5
-73.8305,-131.4849,1,2015108,-73.8481,-131.1554,0,0,0
-73.8305,-131.4849,1,2015109,-73.843,-131.2255,0,0,0
-73.7964,-131.4269,1,2015110,-73.8356,-131.3313,0,0,0
-73.7964,-131.4269,1,2015111,-73.8267,-131.4637,0,0,0
-73.7759,-131.6194,1,2015112,-73.8172,-131.6137,0,0,0
-73.7759,-131.6194,1,2015113,-73.808,-131.7721,0,0,0
-73.7867,-131.739,1,2015114,-73.8,-131.93,1,15,5
-73.7838,-131.8588,1,2015115,-73.792,-132.121,0,0,0
-73.7432,-132.1813,1,2015116,-73.7828,-132.3686,0,0,0
-73.7407,-133.0426,1,2015117,-73.7733,-132.6483,0,0,0
-73.761,-133.174,1,2015118,-73.7644,-132.9358,0,0,0
-73.7619,-133.4858,1,2015119,-73.757,-133.2065,0,0,0
-73.8133,-133.9721,1,2015120,-73.7519,-133.4361,0,0,0
-73.8858,-134.0665,1,2015121,-73.75,-133.6,1,15,5
-73.9303,-133.7942,1,2015122,-73.7683,-133.7185,0,0,0
-73.9417,-134.0149,1,2015123,-73.8161,-133.8273,0,0,0
-74.0637,-134.0574,1,2015124,-73.8829,-133.9251,0,0,0
-74.0426,-134.0295,1,2015125,-73.9583,-134.0105,0,0,0
-74.132,-134.1171,1,2015126,-74.0316,-134.0823,0,0,0
-74.1514,-134.2553,1,2015127,-74.0923,-134.1393,0,0,0
-74.1835,-134.3464,1,2015128,-74.13,-134.18,1,15,5
-74.1845,-134.2357,1,2015129,-74.1522,-134.2071,0,0,0
-74.1845,-134.2357,1,2015130,-74.1729,-134.2263,0,0,0
-74.226,-134.2921,1,2015131,-74.1915,-134.2409,0,0,0
-74.226,-134.2921,1,2015132,-74.2073,-134.2542,0,0,0
-74.1939,-134.2926,1,2015133,-74.2194,-134.2696,0,0,0
-74.2243,-134.2858,1,2015134,-74.2272,-134.2904,0,0,0
-74.2243,-134.2858,1,2015135,-74.23,-134.32,1,15,5
-74.2417,-134.8833,1,2015136,-74.2245,-134.3789,0,0,0
-74.2417,-134.8833,1,2015137,-74.2102,-134.4797,0,0,0
-74.209,-135.1585,1,2015138,-74.1906,-134.6141,0,0,0
-74.185,-135.3496,1,2015139,-74.1694,-134.7737,0,0,0
-74.185,-135.3496,0,2015140,-74.1498,-134.9502,0,0,0
-74.185,-135.3496,1,2015141,-74.1355,-135.135,0,0,0
-74.1513,-135.3412,1,2015142,-74.13,-135.32,1,15,5
-74.1513,-135.3412,1,2015143,-74.1311,-135.5326,0,0,0
-74.1737,-135.7296,1,2015144,-74.134,-135.7924,0,0,0
-74.1708,-136.0729,1,2015145,-74.1379,-136.0787,0,0,0
-74.1169,-135.9151,1,2015146,-74.1421,-136.3712,0,0,0
-74.0933,-136.2036,1,2015147,-74.146,-136.6493,0,0,0
-74.1309,-136.6325,1,2015148,-74.1489,-136.8924,0,0,0
-74.1251,-137.2582,1,2015149,-74.15,-137.08,1,15,5
-74.0958,-137.4553,1,2015150,-74.1482,-137.2312,0,0,0
-74.13,-137.5906,1,2015151,-74.1434,-137.3758,0,0,0
-74.1296,-137.4915,1,2015152,-74.1369,-137.5096,0,0,0
-74.1069,-137.7667,1,2015153,-74.1298,-137.6282,0,0,0
-74.1475,-137.8313,1,2015154,-74.1233,-137.7274,0,0,0
-74.1439,-137.7928,1,2015155,-74.1185,-137.8027,0,0,0
-74.1311,-138.0843,1,2015156,-74.1167,-137.85,1,15,5
-74.1741,-138.0385,1,2015157,-74.1175,-137.8766,0,0,0
-74.1547,-138.2542,1,2015158,-74.1199,-137.8951,0,0,0
-74.1714,-138.1493,1,2015159,-74.1236,-137.9087,0,0,0
-74.1477,-138.0284,1,2015160,-74.1287,-137.9207,0,0,0
-74.1947,-137.9736,1,2015161,-74.1348,-137.9344,0,0,0
-74.1947,-137.9736,1,2015162,-74.142,-137.9531,0,0,0
-74.2182,-137.9958,1,2015163,-74.15,-137.98,1,11,5
-74.2312,-137.8518,1,2015164,-74.1675,-138.0443,0,0,0
-74.2406,-137.62,1,2015165,-74.1998,-138.1598,0,0,0
