date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,size_1,size_2
1987165,0,0,0,-65.7,141.3,1,25,15
1987186,0,0,0,-65.4,139.8,1,25,15
1987187,0,0,0,-65.4,139.6826,0,0,0
1987188,0,0,0,-65.4,139.539,0,0,0
1987189,0,0,0,-65.4,139.3798,0,0,0
1987190,0,0,0,-65.4,139.2158,0,0,0
1987191,0,0,0,-65.4,139.0574,0,0,0
1987192,0,0,0,-65.4,138.9152,0,0,0
1987193,0,0,0,-65.4,138.8,1,25,15
1987277,0,0,0,-65.3,133.5,1,25,15
1988024,0,0,0,-65.3,133.5,1,25,15
1988052,0,0,0,-65.3,133.5,1,25,15
1988087,0,0,0,-65.3,133.5,1,25,15
1988122,0,0,0,-65.4,133.5,1,25,15
1988143,0,0,0,-65.4,133.5,1,25,15
1988144,0,0,0,-65.4,133.5,0,0,0
1988145,0,0,0,-65.4,133.5,0,0,0
1988146,0,0,0,-65.4,133.5,0,0,0
1988147,0,0,0,-65.4,133.5,0,0,0
1988148,0,0,0,-65.4,133.5,0,0,0
1988149,0,0,0,-65.4,133.5,0,0,0
1988150,0,0,0,-65.4,133.5,1,25,15
1988164,0,0,0,-65.4,133.5,1,25,15
1988178,0,0,0,-65.4,133.5,1,25,15
1988199,0,0,0,-65.4,133.3,1,25,15
1988262,0,0,0,-65.3,132.9,1,25,15
1988276,0,0,0,-65.35,132.6,1,25,15
1988290,0,0,0,-65.4,133,1,25,15
1988311,0,0,0,-65.3,133.2,1,25,15
1988339,0,0,0,-65.3,133.2,1,25,15
1988340,0,0,0,-65.3,133.2,0,0,0
1988341,0,0,0,-65.3,133.2,0,0,0
1988342,0,0,0,-65.3,133.2,0,0,0
1988343,0,0,0,-65.3,133.2,0,0,0
1988344,0,0,0,-65.3,133.2,0,0,0
1988345,0,0,0,-65.3,133.2,0,0,0
1988346,0,0,0,-65.3,133.2,1,25,15
1988347,0,0,0,-65.3,133.2,0,0,0
1988348,0,0,0,-65.3,133.2,0,0,0
1988349,0,0,0,-65.3,133.2,0,0,0
1988350,0,0,0,-65.3,133.2,0,0,0
1988351,0,0,0,-65.3,133.2,0,0,0
1988352,0,0,0,-65.3,133.2,0,0,0
1988353,0,0,0,-65.3,133.2,1,25,15
1989001,0,0,0,-65.7,133,1,25,15
1989002,0,0,0,-65.7192,132.9868,0,0,0
1989003,0,0,0,-65.7388,132.9754,0,0,0
1989004,0,0,0,-65.7576,132.9644,0,0,0
1989005,0,0,0,-65.7743,132.9527,0,0,0
1989006,0,0,0,-65.7878,132.9389,0,0,0
1989007,0,0,0,-65.7967,132.9218,0,0,0
1989008,0,0,0,-65.8,132.9,1,25,15
1989009,0,0,0,-65.7955,132.8488,0,0,0
1989010,0,0,0,-65.7838,132.7561,0,0,0
1989011,0,0,0,-65.7671,132.6399,0,0,0
1989012,0,0,0,-65.748,132.5182,0,0,0
1989013,0,0,0,-65.7288,132.409,0,0,0
1989014,0,0,0,-65.712,132.3302,0,0,0
1989015,0,0,0,-65.7,132.3,1,25,15
1989071,0,0,0,-65.4,133.2,1,25,15
1989085,0,0,0,-65.3,132.6,1,25,15
1989113,0,0,0,-65.4,133.4,1,25,15
1989134,0,0,0,-65.5,132.7,1,25,15
1989148,0,0,0,-65.6,132.5,1,25,15
1989183,0,0,0,-65.6,132.5,1,25,15
1989239,0,0,0,-65.5,132.5,1,25,15
1989274,0,0,0,-65.8,132.5,1,25,15
1989309,0,0,0,-65.8,132.5,1,25,15
1989337,0,0,0,-65.5,133,1,25,15
1989338,0,0,0,-65.5,133,0,0,0
1989339,0,0,0,-65.5,133,0,0,0
1989340,0,0,0,-65.5,133,0,0,0
1989341,0,0,0,-65.5,133,0,0,0
1989342,0,0,0,-65.5,133,0,0,0
1989343,0,0,0,-65.5,133,0,0,0
1989344,0,0,0,-65.5,133,1,25,15
1989345,0,0,0,-65.5166,132.9723,0,0,0
1989346,0,0,0,-65.5595,132.9009,0,0,0
1989347,0,0,0,-65.6181,132.8032,0,0,0
1989348,0,0,0,-65.6819,132.6968,0,0,0
1989349,0,0,0,-65.7405,132.5991,0,0,0
1989350,0,0,0,-65.7834,132.5277,0,0,0
1989351,0,0,0,-65.8,132.5,1,25,15
1989352,0,0,0,-65.7723,132.5443,0,0,0
1989353,0,0,0,-65.7009,132.6586,0,0,0
1989354,0,0,0,-65.6032,132.8149,0,0,0
1989355,0,0,0,-65.4968,132.9851,0,0,0
1989356,0,0,0,-65.3991,133.1414,0,0,0
1989357,0,0,0,-65.3277,133.2557,0,0,0
1989358,0,0,0,-65.3,133.3,1,25,15
1990007,0,0,0,-65.3,133.3,1,25,15
1990049,0,0,0,-65.5,133,1,25,15
