date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1996007,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996008,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996009,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996010,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996011,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996012,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996013,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996014,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996015,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996016,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996017,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996018,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996019,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996020,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996021,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996022,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996023,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996024,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996025,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996026,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996027,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996028,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996029,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996030,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996031,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996032,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996033,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996034,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996035,-67.17,147.23,1,-67.2,146.3,1,0,0,0,0,0,0,0,0,0,28,12
1996036,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996037,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996038,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996039,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996040,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996041,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996042,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996043,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996044,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996045,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996046,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996047,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996048,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996049,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996050,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996051,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996052,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996053,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996054,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996055,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996056,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996057,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996058,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996059,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996060,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996061,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996062,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996063,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996064,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996065,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996066,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996067,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996068,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996069,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996070,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996071,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996072,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996073,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996074,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996075,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996076,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996077,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996078,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996079,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996080,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996081,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996082,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996083,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996084,-67.17,147.23,1,-67.2,146.3,1,0,0,0,0,0,0,0,0,0,28,12
1996085,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996086,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996087,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996088,-67.17,147.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
