date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1996098,-67.1,146.2,1,0,0,0,0,0,0,17,7
1996126,-67.1,146.2,1,0,0,0,0,0,0,17,7
1996175,-67.1,146.2,1,0,0,0,0,0,0,17,7
1996189,-67.1,146.2,1,0,0,0,0,0,0,17,7
1996217,-67.1,146.2,1,0,0,0,0,0,0,17,7
1996245,-67.1,146.2,1,0,0,0,0,0,0,17,7
1996336,-67.1,146.2,1,0,0,0,0,0,0,17,7
1996337,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996338,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996339,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996340,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996341,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996342,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996343,-67.1,146.2,1,0,0,0,0,0,0,17,7
1996357,-67.1,146.2,1,0,0,0,0,0,0,17,7
1996358,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996359,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996360,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996361,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996362,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996363,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996364,-67.1,146.2,0,0,0,0,0,0,0,0,0
1996365,-67.1,146.2,1,0,0,0,0,0,0,17,7
1996366,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997001,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997002,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997003,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997004,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997005,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997006,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997007,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997008,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997009,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997010,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997011,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997012,-67.1,146.2,1,0,0,0,0,0,0,17,7
1997013,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997014,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997015,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997016,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997017,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997018,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997019,-67.1,146.2,1,0,0,0,0,0,0,17,7
1997020,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997021,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997022,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997023,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997024,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997025,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997026,-67.1,146.2,1,0,0,0,0,0,0,17,7
1997040,-67.1,146.2,1,0,0,0,0,0,0,17,7
1997089,-67.1,146.2,1,0,0,0,0,0,0,17,7
1997124,-67.1,146.2,1,0,0,0,0,0,0,17,7
1997125,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997126,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997127,-67.1,146.2,0,0,0,0,0,0,0,0,0
1997128,-67.1,146.2,0,0,0,0,0,0,0,0,0
