date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1997061,0,0,0,-64.8,96.2,1,0,0,0,21,4
1997085,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997086,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997087,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997088,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997089,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997090,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997091,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997092,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997093,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997094,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997095,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997096,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997097,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997098,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997099,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997100,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997101,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997102,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997103,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997104,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997105,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997106,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997107,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997108,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997109,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997110,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997111,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997112,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997113,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997114,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997115,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997116,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997117,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997118,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997119,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997120,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997121,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997122,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997123,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997124,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997125,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997126,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997127,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997128,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997129,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997130,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997131,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997132,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997133,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997134,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997135,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997136,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997137,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997138,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997139,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997140,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997141,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997142,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997143,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997144,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997145,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997146,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997147,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997148,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997149,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997150,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997151,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997152,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997153,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997154,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997155,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997156,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997157,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997158,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997159,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997160,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997161,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997162,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997163,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997164,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997165,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997166,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997167,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997168,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997169,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997170,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997171,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997172,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997173,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997174,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997175,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997176,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997177,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997178,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997179,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997180,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997181,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997182,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997183,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997184,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997185,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997186,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997187,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997188,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997189,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997190,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997191,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997192,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997193,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997194,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997195,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997196,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997197,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997198,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997199,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997200,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997201,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997202,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997203,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997204,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997205,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997206,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997207,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997208,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997209,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997210,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997211,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997212,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997213,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997214,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997215,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997216,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997217,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997218,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997219,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997220,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997221,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997222,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997223,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997224,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997225,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997226,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997227,-64.73,96.73,1,0,0,0,0,0,0,0,0
1997228,-64.73,96.73,1,0,0,0,0,0,0,0,0
