ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,2000310,-67.6,147.2,1,0,0,0,0,0,0,0,0,0,13,8
0,0,0,2000311,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000312,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000313,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000314,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000315,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000316,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000317,-67.6,147.2,1,0,0,0,0,0,0,0,0,0,13,8
0,0,0,2000318,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000319,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000320,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000321,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000322,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000323,-67.6,147.2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2000324,-67.6,147.2,1,0,0,0,0,0,0,0,0,0,13,8
0,0,0,2000331,0,0,0,0,0,0,-67.6,147.2,1,0,0,0,0,0
0,0,0,2000332,0,0,0,0,0,0,-67.6,147.2,1,0,0,0,0,0
0,0,0,2000333,0,0,0,0,0,0,-67.6,147.2,1,0,0,0,0,0
0,0,0,2000334,0,0,0,0,0,0,-67.6,147.2,1,0,0,0,0,0
0,0,0,2000335,0,0,0,0,0,0,-67.6,147.2,1,0,0,0,0,0
0,0,0,2000336,0,0,0,0,0,0,-67.6,147.2,1,0,0,0,0,0
0,0,0,2000337,0,0,0,0,0,0,-67.6004,147.1932,1,0,0,0,0,0
0,0,0,2000338,0,0,0,0,0,0,-67.6004,147.1932,1,0,0,0,0,0
0,0,0,2000339,0,0,0,0,0,0,-67.6004,147.1932,1,0,0,0,0,0
0,0,0,2000340,0,0,0,0,0,0,-67.6394,147.4865,1,0,0,0,0,0
0,0,0,2000341,0,0,0,0,0,0,-67.6394,147.4865,1,0,0,0,0,0
0,0,0,2000342,0,0,0,0,0,0,-67.6317,147.4487,1,0,0,0,0,0
0,0,0,2000343,0,0,0,0,0,0,-67.6428,147.446,1,0,0,0,0,0
0,0,0,2000344,0,0,0,0,0,0,-67.6239,147.4825,1,0,0,0,0,0
0,0,0,2000345,0,0,0,0,0,0,-67.643,147.4595,1,0,0,0,0,0
0,0,0,2000346,0,0,0,0,0,0,-67.6279,147.4814,1,0,0,0,0,0
0,0,0,2000347,0,0,0,0,0,0,-67.6279,147.4814,1,0,0,0,0,0
0,0,0,2000348,0,0,0,0,0,0,-67.6267,147.5053,1,0,0,0,0,0
0,0,0,2000349,0,0,0,0,0,0,-67.6336,147.497,1,0,0,0,0,0
0,0,0,2000350,0,0,0,0,0,0,-67.6336,147.497,1,0,0,0,0,0
