date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2000310,-67.7,147.6,1,0,0,0,0,0,0,7,7
2000311,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000312,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000313,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000314,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000315,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000316,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000317,-67.7,147.6,1,0,0,0,0,0,0,7,7
2000318,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000319,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000320,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000321,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000322,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000323,-67.7,147.6,0,0,0,0,0,0,0,0,0
2000324,-67.7,147.6,1,0,0,0,0,0,0,7,7
2000331,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000332,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000333,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000334,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000335,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000336,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000337,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000338,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000339,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000340,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000341,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000342,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000343,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000344,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000345,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000346,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000347,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000348,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000349,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000350,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000351,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000352,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000353,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000354,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000355,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000356,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000357,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000358,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000359,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000360,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000361,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000362,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000363,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000364,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000365,0,0,0,-67.7,147.6,1,0,0,0,0,0
2000366,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001001,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001002,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001003,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001004,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001005,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001006,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001007,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001008,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001009,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001010,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001011,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001012,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001013,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001014,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001015,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001016,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001017,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001018,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001019,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001020,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001021,-67.7,147.6,1,-67.7,147.6,1,0,0,0,7,7
2001022,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001023,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001024,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001025,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001026,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001027,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001028,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001029,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001030,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001031,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001032,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001033,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001034,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001035,0,0,0,-67.7,147.6,1,0,0,0,0,0
2001036,0,0,0,-67.7,147.6,1,0,0,0,0,0
