date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2002041,0,0,0,-69.05,159.52,1,0,0
2002042,0,0,0,-69.05,159.52,1,0,0
2002043,0,0,0,-69.05,159.52,1,0,0
2002044,0,0,0,-68.8917,158.6782,1,0,0
2002045,0,0,0,-68.8917,158.6782,1,0,0
2002046,0,0,0,-68.9234,158.5767,1,0,0
2002047,0,0,0,-68.9234,158.5767,1,0,0
2002048,0,0,0,-68.8641,158.3136,1,0,0
2002049,0,0,0,-68.885,158.1585,1,0,0
2002050,0,0,0,-68.885,158.1585,1,0,0
2002051,0,0,0,-68.9349,157.9838,1,0,0
2002052,0,0,0,-68.9349,157.9838,1,0,0
2002053,0,0,0,-68.9173,157.5011,1,0,0
2002054,0,0,0,-68.8284,157.0587,1,0,0
2002055,0,0,0,-68.8284,157.0587,1,0,0
2002056,0,0,0,-68.8284,157.0587,1,0,0
2002057,0,0,0,-68.8284,157.0587,1,0,0
2002058,0,0,0,-68.8284,157.0587,1,0,0
2002059,0,0,0,-68.8284,157.0587,1,0,0
2002060,0,0,0,-68.8284,157.0587,1,0,0
2002061,0,0,0,-68.8284,157.0587,1,0,0
2002062,-68.5,159.4,1,-68.8284,157.0587,1,11,5
2002063,0,0,0,-68.8284,157.0587,1,0,0
2002064,0,0,0,-68.8284,157.0587,1,0,0
2002065,0,0,0,-68.8284,157.0587,1,0,0
2002066,0,0,0,-68.8284,157.0587,1,0,0
2002067,0,0,0,-68.8284,157.0587,1,0,0
2002068,0,0,0,-68.8284,157.0587,1,0,0
2002069,0,0,0,-68.8284,157.0587,1,0,0
2002070,0,0,0,-68.8284,157.0587,1,0,0
2002071,0,0,0,-68.8284,157.0587,1,0,0
2002072,0,0,0,-68.8284,157.0587,1,0,0
2002073,0,0,0,-68.8284,157.0587,1,0,0
2002074,0,0,0,-68.8284,157.0587,1,0,0
2002075,0,0,0,-68.8284,157.0587,1,0,0
2002076,0,0,0,-68.7899,157.1078,1,0,0
2002077,0,0,0,-68.7899,157.1078,1,0,0
2002078,0,0,0,-68.7899,157.1078,1,0,0
2002079,0,0,0,-68.7812,157.0055,0,0,0
2002080,0,0,0,-68.7724,156.9032,1,0,0
2002081,0,0,0,-68.7724,156.9032,1,0,0
2002082,0,0,0,-68.719,156.8404,1,0,0
2002083,0,0,0,-68.719,156.8404,1,0,0
2002084,0,0,0,-68.6205,156.7479,1,0,0
2002085,0,0,0,-68.6205,156.7479,1,0,0
2002086,0,0,0,-68.6205,156.7479,1,0,0
2002087,0,0,0,-68.5849,156.5625,0,0,0
2002088,0,0,0,-68.5145,156.1797,0,0,0
2002089,0,0,0,-68.4643,155.86,1,0,0
2002090,0,0,0,-68.4488,155.696,1,0,0
2002091,0,0,0,-68.4162,155.469,1,0,0
2002092,0,0,0,-68.4162,155.469,1,0,0
2002093,0,0,0,-68.4255,155.3771,1,0,0
2002094,0,0,0,-68.4255,155.3771,1,0,0
2002095,0,0,0,-68.4255,155.3771,1,0,0
2002096,0,0,0,-68.374,155.1884,1,0,0
2002097,0,0,0,-68.3621,155.1838,0,0,0
2002098,0,0,0,-68.354,155.1811,0,0,0
2002099,0,0,0,-68.3492,155.1797,0,0,0
2002100,0,0,0,-68.3477,155.1793,1,0,0
2002101,0,0,0,-68.3477,155.1793,1,0,0
2002102,0,0,0,-68.3179,155.164,1,0,0
2002103,0,0,0,-68.3179,155.164,1,0,0
2002104,0,0,0,-68.2984,155.1294,1,0,0
2002105,0,0,0,-68.2984,155.1294,1,0,0
2002106,0,0,0,-68.2929,155.0325,1,0,0
2002107,0,0,0,-68.2929,155.0325,1,0,0
2002108,0,0,0,-68.2862,154.9148,1,0,0
2002109,0,0,0,-68.2862,154.9148,1,0,0
2002110,0,0,0,-68.2605,154.8146,1,0,0
2002111,0,0,0,-68.2605,154.8146,1,0,0
2002112,0,0,0,-68.2605,154.8146,1,0,0
2002113,0,0,0,-68.24,154.7448,1,0,0
2002114,0,0,0,-68.24,154.7448,1,0,0
2002115,0,0,0,-68.24,154.7448,1,0,0
2002116,0,0,0,-68.24,154.7448,1,0,0
2002117,0,0,0,-68.1869,154.82,1,0,0
2002118,0,0,0,-68.1478,154.7359,1,0,0
2002119,0,0,0,-68.1478,154.7359,1,0,0
2002120,0,0,0,-68.1478,154.7359,1,0,0
2002121,0,0,0,-68.1478,154.7359,1,0,0
2002122,0,0,0,-68.1242,154.4341,1,0,0
2002123,0,0,0,-68.0788,154.4589,1,0,0
2002124,0,0,0,-68.0989,154.4437,1,0,0
2002125,0,0,0,-68.0989,154.4437,1,0,0
2002126,0,0,0,-67.9934,154.2265,1,0,0
2002127,0,0,0,-67.9934,154.2265,1,0,0
2002128,0,0,0,-67.9934,154.2265,1,0,0
2002129,0,0,0,-67.9934,154.2265,1,0,0
2002130,0,0,0,-67.966,153.6207,1,0,0
2002131,0,0,0,-68.0041,153.6937,1,0,0
2002132,0,0,0,-68.0041,153.6937,1,0,0
2002133,0,0,0,-68.0041,153.6937,1,0,0
2002134,0,0,0,-68.0041,153.6937,1,0,0
2002135,0,0,0,-68.0041,153.6937,1,0,0
2002136,0,0,0,-68.0041,153.6937,1,0,0
2002137,0,0,0,-68.0041,153.6937,1,0,0
2002138,0,0,0,-68.0041,153.6937,1,0,0
2002139,0,0,0,-68.0041,153.6937,1,0,0
2002140,0,0,0,-68.0041,153.6937,1,0,0
2002141,0,0,0,-68.0041,153.6937,1,0,0
2002142,0,0,0,-68.0041,153.6937,1,0,0
2002143,0,0,0,-68.0041,153.6937,1,0,0
2002144,0,0,0,-68.0041,153.6937,1,0,0
2002145,0,0,0,-68.0105,153.6695,1,0,0
2002146,0,0,0,-68.0105,153.6695,1,0,0
2002147,0,0,0,-68.0081,153.792,1,0,0
2002148,0,0,0,-68.0081,153.792,1,0,0
2002149,0,0,0,-68.0081,153.792,0,0,0
2002150,0,0,0,-68.0081,153.792,1,0,0
2002151,0,0,0,-68.0081,153.792,1,0,0
2002152,0,0,0,-68.0267,153.6404,1,0,0
2002153,0,0,0,-68.0081,153.792,1,0,0
2002154,0,0,0,-68.0081,153.792,1,0,0
2002155,0,0,0,-68.0081,153.792,1,0,0
2002156,0,0,0,-68.0081,153.792,1,0,0
2002157,0,0,0,-68.0081,153.792,1,0,0
2002158,0,0,0,-68.0081,153.792,1,0,0
2002159,0,0,0,-68.0081,153.792,1,0,0
2002160,0,0,0,-68.0081,153.792,1,0,0
2002161,0,0,0,-68.0081,153.792,1,0,0
2002162,0,0,0,-68.0081,153.792,1,0,0
2002163,0,0,0,-68.0081,153.792,1,0,0
2002164,0,0,0,-68.0081,153.792,1,0,0
2002165,0,0,0,-68.0081,153.792,1,0,0
2002166,0,0,0,-68.0081,153.792,1,0,0
2002167,0,0,0,-68.0081,153.792,1,0,0
2002168,0,0,0,-68.0081,153.792,1,0,0
2002169,0,0,0,-68.0081,153.792,1,0,0
2002170,0,0,0,-68.0081,153.792,1,0,0
2002171,0,0,0,-68.0081,153.792,1,0,0
2002172,0,0,0,-68.0081,153.792,1,0,0
2002173,0,0,0,-68.0081,153.792,1,0,0
2002174,0,0,0,-68.0081,153.792,1,0,0
2002175,0,0,0,-68.0081,153.792,1,0,0
2002176,0,0,0,-68.0081,153.792,1,0,0
2004031,0,0,0,-68.0081,153.792,1,0,0
2004032,0,0,0,-68.0081,153.792,1,0,0
2004033,0,0,0,-68.0081,153.792,1,0,0
2004034,0,0,0,-68.0081,153.792,1,0,0
