date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2003159,-69.8,165.3,1,0,0,0,0,0,0,17,8
2003160,-69.7508,164.774,0,0,0,0,0,0,0,0,0
2003161,-69.7035,164.2753,0,0,0,0,0,0,0,0,0
2003162,-69.6581,163.8156,0,0,0,0,0,0,0,0,0
2003163,-69.6149,163.4065,0,0,0,0,0,0,0,0,0
2003164,-69.5741,163.0597,0,0,0,0,0,0,0,0,0
2003165,-69.5357,162.787,0,0,0,0,0,0,0,0,0
2003166,-69.5,162.6,1,0,0,0,0,0,0,17,8
2003167,-69.4662,162.4738,0,0,0,0,0,0,0,0,0
2003168,-69.4334,162.3716,0,0,0,0,0,0,0,0,0
2003169,-69.4022,162.287,0,0,0,0,0,0,0,0,0
2003170,-69.3729,162.2138,0,0,0,0,0,0,0,0,0
2003171,-69.3458,162.1458,0,0,0,0,0,0,0,0,0
2003172,-69.3214,162.0766,0,0,0,0,0,0,0,0,0
2003173,-69.3,162,1,-69.5333,163.3,1,-69.5333,163.3,1,17,8
2003174,0,0,0,-69.5333,163.3,1,-69.5333,163.3,1,0,0
2003175,0,0,0,-69.5333,163.3,1,-69.5333,163.3,1,0,0
2003176,0,0,0,-69.5134,162.5299,1,-69.5333,163.3,1,0,0
2003177,0,0,0,-69.4504,162.3382,1,-69.455,162.9497,1,0,0
2003178,0,0,0,-69.3841,162.1643,1,-69.3356,162.8857,1,0,0
2003179,0,0,0,-69.3249,162.1626,1,-69.3356,162.8857,1,0,0
2003180,0,0,0,-69.3296,162.5357,1,-69.3296,162.5357,1,0,0
2003181,0,0,0,-69.305,162.2256,1,-69.305,162.2256,1,0,0
2003182,0,0,0,-69.2502,161.6125,1,-69.0489,162.1268,1,0,0
2003183,0,0,0,-69.225,161.2359,1,-69.0441,161.9572,1,0,0
2003184,0,0,0,-69.255,160.9733,1,-69.0541,161.7727,1,0,0
2003185,0,0,0,-69.1786,161.1587,1,-69.0054,161.4683,0,0,0
2003186,0,0,0,-69.1348,160.9927,1,-68.9277,161.1635,1,0,0
