date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2005072,-66.08,90.1,1,0,0,0,16,10
2005079,0,0,0,-66.0922,90.2737,1,0,0
2005080,0,0,0,-66.0569,90.1634,1,0,0
2005081,0,0,0,-66.0298,90.0729,1,0,0
2005082,0,0,0,-66.05,90.0676,1,0,0
2005083,0,0,0,-66.05,90.0676,1,0,0
2005084,0,0,0,-65.973,89.9579,1,0,0
2005085,0,0,0,-65.973,89.9579,1,0,0
2005086,0,0,0,-65.973,89.9579,1,0,0
2005087,0,0,0,-65.9388,89.8798,1,0,0
2005088,0,0,0,-65.9388,89.8798,1,0,0
2005089,0,0,0,-65.9388,89.8798,1,0,0
2005090,0,0,0,-65.9388,89.8798,1,0,0
2005091,0,0,0,-65.9712,89.8742,1,0,0
2005092,0,0,0,-65.9712,89.8742,1,0,0
2005093,0,0,0,-65.9712,89.8742,1,0,0
2005094,0,0,0,-65.9389,89.9291,1,0,0
2005095,0,0,0,-65.9389,89.9291,1,0,0
2005096,0,0,0,-65.9389,89.9291,1,0,0
2005097,0,0,0,-65.9389,89.9291,1,0,0
2005098,0,0,0,-65.9389,89.9291,1,0,0
2005099,0,0,0,-65.9389,89.9291,1,0,0
2005100,0,0,0,-65.9043,89.8864,1,0,0
2005101,0,0,0,-65.9095,89.8863,1,0,0
2005102,0,0,0,-65.9095,89.8863,1,0,0
2005103,0,0,0,-65.9095,89.8863,1,0,0
2005104,0,0,0,-65.9095,89.8863,1,0,0
2005105,0,0,0,-65.9095,89.8863,1,0,0
2005106,0,0,0,-65.9095,89.8863,1,0,0
2005107,0,0,0,-65.8722,89.7412,1,0,0
2005108,0,0,0,-65.8329,89.7971,1,0,0
2005109,0,0,0,-65.8083,89.7366,1,0,0
2005110,0,0,0,-65.7804,89.4602,1,0,0
2005111,0,0,0,-65.7813,89.1121,1,0,0
2005112,0,0,0,-65.7628,88.6575,1,0,0
2005113,0,0,0,-65.8069,88.3683,1,0,0
2005114,0,0,0,-65.7161,88.0698,1,0,0
2005115,0,0,0,-65.6735,87.5347,1,0,0
2005116,0,0,0,-65.5933,86.9722,1,0,0
2005117,0,0,0,-65.6003,86.6159,1,0,0
2005118,0,0,0,-65.7267,85.7921,1,0,0
2005119,0,0,0,-65.7593,85.1516,1,0,0
