date,nic_1,nic_2,nic_3,size_1,size_2
2010024,-69.17,159.58,1,10,2
2010025,-69.17,159.5779,0,0,0
2010026,-69.17,159.5758,0,0,0
2010027,-69.17,159.574,0,0,0
2010028,-69.17,159.5724,0,0,0
2010029,-69.17,159.5711,0,0,0
2010030,-69.17,159.5703,0,0,0
2010031,-69.17,159.57,1,10,2
2010045,-69.1,159.58,1,10,2
2010046,-69.1,159.58,0,0,0
2010047,-69.1,159.58,0,0,0
2010048,-69.1,159.58,0,0,0
2010049,-69.1,159.58,0,0,0
2010050,-69.1,159.58,0,0,0
2010051,-69.1,159.58,0,0,0
2010052,-69.1,159.58,1,10,2
2010053,-69.0989,159.5797,0,0,0
2010054,-69.096,159.5788,0,0,0
2010055,-69.0921,159.5775,0,0,0
2010056,-69.0879,159.5758,0,0,0
2010057,-69.084,159.5739,0,0,0
2010058,-69.0811,159.572,0,0,0
2010059,-69.08,159.57,1,10,2
2010060,-69.08,159.5675,0,0,0
2010061,-69.08,159.5641,0,0,0
2010062,-69.08,159.5603,0,0,0
2010063,-69.08,159.5565,0,0,0
2010064,-69.08,159.5532,0,0,0
2010065,-69.08,159.5509,0,0,0
2010066,-69.08,159.55,1,10,2
2010080,-69.08,159.6,1,10,2
2010081,-69.0739,159.5809,0,0,0
2010082,-69.057,159.5275,0,0,0
2010083,-69.0313,159.4456,0,0,0
2010084,-68.9987,159.341,0,0,0
2010085,-68.9613,159.2197,0,0,0
2010086,-68.9211,159.0874,0,0,0
2010087,-68.88,158.95,1,10,2
2010088,-68.8259,158.7761,0,0,0
2010089,-68.7513,158.5419,0,0,0
2010090,-68.6649,158.2646,0,0,0
2010091,-68.5757,157.9615,0,0,0
2010092,-68.4925,157.6498,0,0,0
2010093,-68.4244,157.3469,0,0,0
2010094,-68.38,157.07,1,10,2
2010095,-68.3527,156.7896,0,0,0
2010096,-68.3295,156.4806,0,0,0
2010097,-68.3095,156.1665,0,0,0
2010098,-68.2922,155.8708,0,0,0
2010099,-68.277,155.6171,0,0,0
2010100,-68.2631,155.429,0,0,0
2010101,-68.25,155.33,1,10,2
2010102,-68.2376,155.2883,0,0,0
2010103,-68.2263,155.2552,0,0,0
2010104,-68.2158,155.2286,0,0,0
2010105,-68.2062,155.2068,0,0,0
2010106,-68.1971,155.1877,0,0,0
2010107,-68.1884,155.1694,0,0,0
2010108,-68.18,155.15,1,10,2
2010109,-68.1723,155.1313,0,0,0
