ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
0,0,0,2010094,-65.73,141.82,1,0,0,0,20,15
0,0,0,2010095,-65.7167,141.6782,0,0,0,0,0,0
0,0,0,2010096,-65.7039,141.5431,0,0,0,0,0,0
0,0,0,2010097,-65.6917,141.4194,0,0,0,0,0,0
0,0,0,2010098,-65.6801,141.3115,0,0,0,0,0,0
0,0,0,2010099,-65.6693,141.2243,0,0,0,0,0,0
0,0,0,2010100,-65.6592,141.1622,0,0,0,0,0,0
0,0,0,2010101,-65.65,141.13,1,0,0,0,20,15
0,0,0,2010102,-65.6416,141.1168,0,0,0,0,0,0
0,0,0,2010103,-65.634,141.1077,0,0,0,0,0,0
0,0,0,2010104,-65.627,141.1011,0,0,0,0,0,0
0,0,0,2010105,-65.6202,141.0956,0,0,0,0,0,0
0,0,0,2010106,-65.6136,141.0896,0,0,0,0,0,0
0,0,0,2010107,-65.6069,141.0815,0,0,0,0,0,0
0,0,0,2010108,-65.6,141.07,1,0,0,0,20,15
0,0,0,2010109,-65.5934,141.053,0,0,0,0,0,0
0,0,0,2010110,-65.5875,141.0298,0,0,0,0,0,0
0,0,0,2010111,-65.5817,141.0004,0,0,0,0,0,0
0,0,0,2010112,-65.5756,140.9647,0,0,0,0,0,0
0,0,0,2010113,-65.5687,140.9227,0,0,0,0,0,0
0,0,0,2010114,-65.5603,140.8745,0,0,0,0,0,0
0,0,0,2010115,-65.55,140.82,1,0,0,0,20,15
0,0,0,2010116,-65.5305,140.7405,0,0,0,0,0,0
0,0,0,2010117,-65.4987,140.6231,0,0,0,0,0,0
0,0,0,2010118,-65.4601,140.4768,0,0,0,0,0,0
0,0,0,2010119,-65.4203,140.3104,0,0,0,0,0,0
0,0,0,2010120,-65.385,140.1328,0,0,0,0,0,0
0,0,0,2010121,-65.3597,139.9531,0,0,0,0,0,0
0,0,0,2010122,-65.35,139.78,1,0,0,0,20,15
0,0,0,2010123,-65.35,139.6113,0,0,0,0,0,0
0,0,0,2010124,-65.35,139.4378,0,0,0,0,0,0
0,0,0,2010125,-65.35,139.2581,0,0,0,0,0,0
0,0,0,2010126,-65.35,139.0709,0,0,0,0,0,0
0,0,0,2010127,-65.35,138.8747,0,0,0,0,0,0
0,0,0,2010128,-65.35,138.6682,0,0,0,0,0,0
0,0,0,2010129,-65.35,138.45,1,0,0,0,20,15
0,0,0,2010130,-65.3299,138.2032,0,0,0,0,0,0
0,0,0,2010131,-65.2764,137.9218,0,0,0,0,0,0
0,0,0,2010132,-65.1998,137.6212,0,0,0,0,0,0
0,0,0,2010133,-65.1106,137.3165,0,0,0,0,0,0
0,0,0,2010134,-65.019,137.0229,0,0,0,0,0,0
0,0,0,2010135,-64.9353,136.7557,0,0,0,0,0,0
0,0,0,2010136,-64.87,136.53,1,0,0,0,20,15
0,0,0,2010137,-64.8173,136.3485,0,0,0,0,0,0
0,0,0,2010138,-64.7654,136.1954,0,0,0,0,0,0
0,0,0,2010139,-64.716,136.0586,0,0,0,0,0,0
0,0,0,2010140,-64.6703,135.9259,0,0,0,0,0,0
0,0,0,2010141,-64.6298,135.785,0,0,0,0,0,0
0,0,0,2010142,-64.5959,135.6237,0,0,0,0,0,0
0,0,0,2010143,-64.57,135.43,1,0,0,0,20,15
0,0,0,2010144,-64.5487,135.1588,0,0,0,0,0,0
0,0,0,2010145,-64.5283,134.7999,0,0,0,0,0,0
0,0,0,2010146,-64.5097,134.393,0,0,0,0,0,0
0,0,0,2010147,-64.4936,133.9778,0,0,0,0,0,0
0,0,0,2010148,-64.4811,133.5941,0,0,0,0,0,0
0,0,0,2010149,-64.4729,133.2816,0,0,0,0,0,0
0,0,0,2010150,-64.47,133.08,1,0,0,0,20,15
0,0,0,2010151,-64.4904,132.9554,0,0,0,0,0,0
0,0,0,2010152,-64.5442,132.8467,0,0,0,0,0,0
0,0,0,2010153,-64.6201,132.7527,0,0,0,0,0,0
0,0,0,2010154,-64.7069,132.6723,0,0,0,0,0,0
0,0,0,2010155,-64.7933,132.6041,0,0,0,0,0,0
0,0,0,2010156,-64.8681,132.5471,0,0,0,0,0,0
0,0,0,2010157,-64.92,132.5,1,0,0,0,20,15
0,0,0,2010158,-64.9556,132.4614,0,0,0,0,0,0
0,0,0,2010159,-64.9886,132.4292,0,0,0,0,0,0
0,0,0,2010160,-65.0186,132.4016,0,0,0,0,0,0
0,0,0,2010161,-65.0452,132.3768,0,0,0,0,0,0
0,0,0,2010162,-65.0679,132.3528,0,0,0,0,0,0
0,0,0,2010163,-65.0863,132.3279,0,0,0,0,0,0
0,0,0,2010164,-65.1,132.3,1,0,0,0,20,15
0,0,0,2010165,-65.1097,132.2658,0,0,0,0,0,0
0,0,0,2010166,-65.1172,132.2258,0,0,0,0,0,0
0,0,0,2010167,-65.1232,132.1841,0,0,0,0,0,0
0,0,0,2010168,-65.1287,132.1446,0,0,0,0,0,0
0,0,0,2010169,-65.1344,132.1114,0,0,0,0,0,0
0,0,0,2010170,-65.1412,132.0885,0,0,0,0,0,0
0,0,0,2010171,-65.15,132.08,1,0,0,0,20,15
0,0,0,2010172,-65.1619,132.0828,0,0,0,0,0,0
0,0,0,2010173,-65.1768,132.0899,0,0,0,0,0,0
0,0,0,2010174,-65.194,132.0997,0,0,0,0,0,0
0,0,0,2010175,-65.2127,132.1103,0,0,0,0,0,0
0,0,0,2010176,-65.2321,132.1201,0,0,0,0,0,0
0,0,0,2010177,-65.2515,132.1272,0,0,0,0,0,0
0,0,0,2010178,-65.27,132.13,1,0,0,0,20,15
0,0,0,2010179,-65.2903,132.1235,0,0,0,0,0,0
0,0,0,2010180,-65.314,132.1052,0,0,0,0,0,0
0,0,0,2010181,-65.3386,132.077,0,0,0,0,0,0
0,0,0,2010182,-65.3619,132.0405,0,0,0,0,0,0
0,0,0,2010183,-65.3815,131.9977,0,0,0,0,0,0
0,0,0,2010184,-65.395,131.9502,0,0,0,0,0,0
0,0,0,2010185,-65.4,131.9,1,0,0,0,20,15
0,0,0,2010186,-65.4,131.8332,0,0,0,0,0,0
0,0,0,2010187,-65.4,131.7395,0,0,0,0,0,0
