ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-66.15,142.967,1,2016001,-66.15,142.9667,1,7,5
-66.15,142.967,1,2016002,-66.1536,142.9667,0,0,0
-66.15,142.967,1,2016003,-66.157,142.9667,0,0,0
-66.15,142.967,1,2016004,-66.1601,142.9667,0,0,0
-66.15,142.967,1,2016005,-66.1628,142.9667,0,0,0
-66.15,142.967,1,2016006,-66.1648,142.9667,0,0,0
-66.15,142.967,1,2016007,-66.1662,142.9667,0,0,0
-66.15,142.967,1,2016008,-66.1667,142.9667,1,7,5
-66.15,142.967,1,2016009,-66.1667,142.9667,0,0,0
-66.15,142.967,1,2016010,-66.1667,142.9667,0,0,0
-66.15,142.967,1,2016011,-66.1667,142.9667,0,0,0
-66.15,142.967,1,2016012,-66.1667,142.9667,0,0,0
-66.15,142.967,0,2016013,-66.1667,142.9667,0,0,0
-66.15,142.967,1,2016014,-66.1667,142.9667,0,0,0
-66.15,142.967,1,2016015,-66.1667,142.9667,1,7,5
-66.15,142.967,1,2016016,0,0,0,0,0
-66.15,142.967,1,2016017,0,0,0,0,0
-66.15,142.967,1,2016018,0,0,0,0,0
-66.15,142.967,1,2016019,0,0,0,0,0
-66.15,142.967,1,2016020,0,0,0,0,0
-66.15,142.967,1,2016021,0,0,0,0,0
-66.15,142.967,1,2016022,0,0,0,0,0
-66.15,142.967,1,2016023,0,0,0,0,0
-66.15,142.967,1,2016024,0,0,0,0,0
-66.15,142.967,1,2016025,0,0,0,0,0
-66.15,142.967,1,2016026,0,0,0,0,0
-66.15,142.967,1,2016027,0,0,0,0,0
-66.15,142.967,1,2016028,0,0,0,0,0
-66.15,142.967,1,2016029,-66.15,142.9667,1,7,5
-66.15,142.967,1,2016030,0,0,0,0,0
-66.15,142.967,0,2016031,0,0,0,0,0
-66.15,142.967,1,2016032,0,0,0,0,0
-66.15,142.967,1,2016033,0,0,0,0,0
-66.15,142.967,1,2016034,0,0,0,0,0
-66.15,142.967,1,2016035,0,0,0,0,0
-66.15,142.967,1,2016036,0,0,0,0,0
-66.15,142.967,1,2016037,0,0,0,0,0
-66.15,142.967,1,2016038,0,0,0,0,0
-66.15,142.967,1,2016039,0,0,0,0,0
-66.15,142.967,0,2016040,0,0,0,0,0
-66.15,142.967,1,2016041,0,0,0,0,0
-66.15,142.967,1,2016042,0,0,0,0,0
-66.15,142.967,1,2016043,0,0,0,0,0
-66.15,142.967,1,2016044,0,0,0,0,0
-66.15,142.967,1,2016045,0,0,0,0,0
-66.15,142.967,1,2016046,0,0,0,0,0
-66.1305,143.0064,1,2016047,0,0,0,0,0
-66.1305,143.0064,1,2016048,0,0,0,0,0
-66.1305,143.0064,1,2016049,0,0,0,0,0
-66.1305,143.0064,1,2016050,0,0,0,0,0
-66.1305,143.0064,1,2016051,0,0,0,0,0
-66.1305,143.0064,1,2016052,0,0,0,0,0
-66.1305,143.0064,1,2016053,0,0,0,0,0
-66.1305,143.0064,1,2016054,0,0,0,0,0
-66.1441,143.0101,1,2016055,0,0,0,0,0
-66.1441,143.0101,1,2016056,0,0,0,0,0
-66.1441,143.0101,1,2016057,0,0,0,0,0
-66.1441,143.0101,1,2016058,0,0,0,0,0
-66.1441,143.0101,1,2016059,0,0,0,0,0
-66.1441,143.0101,1,2016060,0,0,0,0,0
-66.1441,143.0101,1,2016061,0,0,0,0,0
-66.1441,143.0101,1,2016062,0,0,0,0,0
-66.1441,143.0101,1,2016063,0,0,0,0,0
-66.1441,143.0101,1,2016064,-66.1833,143.0167,1,7,5
-66.1441,143.0101,1,2016065,-66.1824,143.0148,0,0,0
-66.1441,143.0101,1,2016066,-66.18,143.0101,0,0,0
-66.1441,143.0101,1,2016067,-66.1768,143.0036,0,0,0
-66.1441,143.0101,1,2016068,-66.1732,142.9964,0,0,0
-66.1441,143.0101,1,2016069,-66.17,142.9899,0,0,0
-66.1441,143.0101,1,2016070,-66.1676,142.9852,0,0,0
-66.1441,143.0101,1,2016071,-66.1667,142.9833,1,7,5
-66.1441,143.0101,1,2016072,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016073,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016074,-66.1667,142.9833,0,0,0
-66.1441,143.0101,0,2016075,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016076,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016077,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016078,-66.1667,142.9833,1,7,5
-66.1441,143.0101,1,2016079,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016080,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016081,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016082,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016083,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016084,-66.1667,142.9833,0,0,0
-66.1441,143.0101,1,2016085,-66.1667,142.9833,1,0,0
-66.1441,143.0101,1,2016086,-66.1648,142.9833,0,0,0
-66.1441,143.0101,1,2016087,-66.1601,142.9833,0,0,0
-66.1441,143.0101,1,2016088,-66.1536,142.9833,0,0,0
-66.1441,143.0101,0,2016089,-66.1464,142.9833,0,0,0
-66.1441,143.0101,1,2016090,-66.1399,142.9833,0,0,0
-66.1441,143.0101,1,2016091,-66.1352,142.9833,0,0,0
-66.1441,143.0101,1,2016092,-66.1333,142.9833,1,7,5
-66.1441,143.0101,1,2016093,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016094,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016095,-66.1333,142.9833,0,0,0
-66.1441,143.0101,0,2016096,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016097,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016098,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016099,-66.1333,142.9833,1,7,5
-66.1441,143.0101,1,2016100,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016101,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016102,-66.1333,142.9833,0,0,0
-66.1441,143.0101,0,2016103,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016104,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016105,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016106,-66.1333,142.9833,1,7,5
-66.1441,143.0101,1,2016107,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016108,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016109,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016110,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016111,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016112,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016113,-66.1333,142.9833,1,7,5
-66.1441,143.0101,1,2016114,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016115,-66.1333,142.9833,0,0,0
-66.1441,143.0101,0,2016116,-66.1333,142.9833,0,0,0
-66.1441,143.0101,1,2016117,-66.1333,142.9833,0,0,0
