date,nic_1,nic_2,nic_3,sass_1,sass_2,sass_3,size_1,size_2
1977338,-66.8,81,1,0,0,0,20,15
1978204,0,0,0,-67.2899,79.0731,1,0,0
1978205,0,0,0,-67.3053,79.052,1,0,0
1978206,0,0,0,-67.3206,79.0309,1,0,0
1978207,0,0,0,-67.336,79.0099,1,0,0
1978208,0,0,0,-67.3513,78.9887,1,0,0
1978209,0,0,0,-67.3667,78.9677,1,0,0
1978210,0,0,0,-67.3744,78.9571,1,0,0
1978211,0,0,0,-67.3744,78.9571,1,0,0
1978212,0,0,0,-67.3744,78.9571,1,0,0
1978213,0,0,0,-67.3744,78.9571,1,0,0
1978214,0,0,0,-67.3744,78.9571,1,0,0
1978215,0,0,0,-67.3744,78.9571,1,0,0
1978216,0,0,0,-67.3744,78.9571,1,0,0
1978217,0,0,0,-67.3744,78.9571,1,0,0
1978218,0,0,0,-67.3744,78.9571,1,0,0
1978219,0,0,0,-67.3744,78.9571,1,0,0
1978220,0,0,0,-67.3744,78.9571,1,0,0
1978221,0,0,0,-67.3744,78.9571,1,0,0
1978222,0,0,0,-67.3744,78.9571,1,0,0
1978223,0,0,0,-67.3744,78.9571,1,0,0
1978224,0,0,0,-67.3744,78.9571,1,0,0
1978225,0,0,0,-67.3744,78.9571,1,0,0
1978226,0,0,0,-67.3744,78.9571,1,0,0
1978227,0,0,0,-67.3744,78.9571,1,0,0
1978228,0,0,0,-67.3744,78.9571,1,0,0
1978229,0,0,0,-67.3744,78.9571,1,0,0
1978230,0,0,0,-67.3744,78.9571,1,0,0
1978231,0,0,0,-67.3744,78.9571,1,0,0
1978232,0,0,0,-67.3744,78.9571,1,0,0
1978233,0,0,0,-67.3744,78.9571,1,0,0
1978234,0,0,0,-67.3744,78.9571,1,0,0
1978235,0,0,0,-67.3744,78.9571,1,0,0
1978236,0,0,0,-67.3744,78.9571,1,0,0
1978237,0,0,0,-67.3744,78.9571,1,0,0
1978238,0,0,0,-67.3744,78.9571,1,0,0
1978239,0,0,0,-67.3744,78.9571,1,0,0
1978240,0,0,0,-67.3744,78.9571,1,0,0
1978241,0,0,0,-67.3744,78.9571,1,0,0
1978242,0,0,0,-67.3744,78.9571,1,0,0
1978243,0,0,0,-67.3744,78.9571,1,0,0
1978244,0,0,0,-67.3744,78.9571,1,0,0
1978245,0,0,0,-67.3744,78.9571,1,0,0
1978246,0,0,0,-67.3744,78.9571,1,0,0
1978247,0,0,0,-67.3744,78.9571,1,0,0
1978248,0,0,0,-67.3744,78.9571,1,0,0
1978249,0,0,0,-67.3744,78.9571,1,0,0
1978250,0,0,0,-67.3744,78.9571,1,0,0
1978251,0,0,0,-67.3744,78.9571,1,0,0
1978252,0,0,0,-67.3744,78.9571,1,0,0
1978253,0,0,0,-67.3744,78.9571,1,0,0
1978254,0,0,0,-67.3744,78.9571,1,0,0
1978255,0,0,0,-67.3744,78.9571,1,0,0
1978256,0,0,0,-67.3744,78.9571,1,0,0
1978257,0,0,0,-67.3744,78.9571,1,0,0
1978258,0,0,0,-67.3719,78.9693,1,0,0
1978259,0,0,0,-67.3669,78.9938,1,0,0
1978260,0,0,0,-67.3619,79.0183,1,0,0
1978261,0,0,0,-67.3569,79.0428,1,0,0
1978262,0,0,0,-67.3519,79.0673,1,0,0
1978263,0,0,0,-67.3469,79.0918,1,0,0
1978264,0,0,0,-67.3444,79.104,1,0,0
1978265,0,0,0,-67.3444,79.104,1,0,0
1978266,0,0,0,-67.3444,79.104,1,0,0
1978267,0,0,0,-67.3444,79.104,1,0,0
1978268,0,0,0,-67.3444,79.104,1,0,0
1978269,0,0,0,-67.3444,79.104,1,0,0
1978270,0,0,0,-67.3444,79.104,1,0,0
1978271,0,0,0,-67.3444,79.104,1,0,0
1978272,0,0,0,-67.3444,79.104,1,0,0
1978273,0,0,0,-67.3444,79.104,1,0,0
1978274,0,0,0,-67.3444,79.104,1,0,0
1978275,0,0,0,-67.3444,79.104,1,0,0
1979105,-64.6,78.2,1,0,0,0,20,8
1979119,-64.6,78,1,0,0,0,20,8
