date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1996161,-65.4796,85.7166,1,0,0,0,0,0,0,0,0,0,0,0
1996162,-65.5187,85.6099,1,0,0,0,0,0,0,0,0,0,0,0
1996163,-65.5578,85.5033,1,0,0,0,0,0,0,0,0,0,0,0
1996164,-65.5895,85.42,1,0,0,0,0,0,0,0,0,0,0,0
1996165,-65.6138,85.3601,1,0,0,0,0,0,0,0,0,0,0,0
1996166,-65.6381,85.3002,1,0,0,0,0,0,0,0,0,0,0,0
1996167,-65.6571,85.2326,1,0,0,0,0,0,0,0,0,0,0,0
1996168,-65.6709,85.1575,1,0,0,0,0,0,0,0,0,0,0,0
1996169,-65.6846,85.0824,1,0,0,0,0,0,0,0,0,0,0,0
1996170,-65.6829,84.9949,1,0,0,0,0,0,0,0,0,0,0,0
1996171,-65.6658,84.8952,1,0,0,0,0,0,0,0,0,0,0,0
1996172,-65.6487,84.7954,1,0,0,0,0,0,0,0,0,0,0,0
1996173,-65.6372,84.63,1,0,0,0,0,0,0,0,0,0,0,0
1996174,-65.6313,84.399,1,0,0,0,0,0,0,0,0,0,0,0
1996175,-65.6254,84.168,1,0,0,0,0,0,0,0,0,0,0,0
1996176,-65.6196,83.986,1,0,0,0,0,0,0,0,0,0,0,0
1996177,-65.6137,83.8529,1,0,0,0,0,0,0,0,0,0,0,0
1996178,-65.6077,83.7198,1,0,0,0,0,0,0,0,0,0,0,0
1996179,-65.6012,83.5785,1,0,0,0,0,0,0,0,0,0,0,0
1996180,-65.5941,83.4288,1,0,0,0,0,0,0,0,0,0,0,0
1996181,-65.587,83.2791,1,0,0,0,0,0,0,0,0,0,0,0
1996182,-65.5789,83.2141,1,0,0,0,0,0,0,0,0,0,0,0
1996183,-65.5699,83.2337,1,0,0,0,0,0,0,0,0,0,0,0
1996184,-65.5609,83.2533,1,0,0,0,0,0,0,0,0,0,0,0
1996185,-65.5564,83.2631,1,0,0,0,0,0,0,0,0,0,0,0
1996186,-65.5564,83.2631,1,0,0,0,0,0,0,0,0,0,0,0
1996187,-65.5564,83.2631,1,0,0,0,0,0,0,0,0,0,0,0
1996188,-65.5479,83.1934,1,0,0,0,0,0,0,0,0,0,0,0
1996189,-65.5309,83.0541,1,0,0,0,0,0,0,0,0,0,0,0
1996190,-65.5138,82.9149,1,0,0,0,0,0,0,0,0,0,0,0
1996191,-65.4885,82.8108,1,0,0,0,0,0,0,0,0,0,0,0
1996192,-65.4549,82.7421,1,0,0,0,0,0,0,0,0,0,0,0
1996193,-65.4214,82.6734,1,0,0,0,0,0,0,0,0,0,0,0
1996194,-65.4049,82.6713,1,0,0,0,0,0,0,0,0,0,0,0
1996195,-65.4053,82.736,1,0,0,0,0,0,0,0,0,0,0,0
1996196,-65.4059,82.8006,1,0,0,0,0,0,0,0,0,0,0,0
1996197,-65.4061,82.8329,1,0,0,0,0,0,0,0,0,0,0,0
1996198,-65.4061,82.8329,1,0,0,0,0,0,0,0,0,0,0,0
1996199,-65.4061,82.8329,1,0,0,0,0,0,0,0,0,0,0,0
1996200,-65.4033,82.6999,1,0,0,0,0,0,0,0,0,0,0,0
1996201,-65.3978,82.4339,1,0,0,0,0,0,0,0,0,0,0,0
1996202,-65.3923,82.168,1,0,0,0,0,0,0,0,0,0,0,0
1996203,-65.3868,81.902,1,0,0,0,0,0,0,0,0,0,0,0
1996204,-65.3813,81.636,1,0,0,0,0,0,0,0,0,0,0,0
1996205,-65.3758,81.3701,1,0,0,0,0,0,0,0,0,0,0,0
1996206,-65.3974,81.1776,1,0,0,0,0,0,0,0,0,0,0,0
1996207,-65.4462,81.0587,1,0,0,0,0,0,0,0,0,0,0,0
1996208,-65.4949,80.9397,1,0,0,0,0,0,0,0,0,0,0,0
1996209,-65.51,80.8682,1,0,0,0,0,0,0,0,0,0,0,0
1996210,-65.4913,80.8443,1,0,0,0,0,0,0,0,0,0,0,0
1996211,-65.4725,80.8203,1,0,0,0,0,0,0,0,0,0,0,0
1996212,-65.4632,80.8083,1,0,0,0,0,0,0,0,0,0,0,0
1996213,-65.4632,80.8083,1,0,0,0,0,0,0,0,0,0,0,0
1996214,-65.4632,80.8083,1,0,0,0,0,0,0,0,0,0,0,0
1996215,-65.4827,80.8007,1,0,0,0,0,0,0,0,0,0,0,0
1996216,-65.5218,80.7853,1,0,0,0,0,0,0,0,0,0,0,0
1996217,-65.5609,80.77,1,0,0,0,0,0,0,0,0,0,0,0
1996218,-65.5974,80.6704,1,0,0,0,0,0,0,0,0,0,0,0
1996219,-65.6313,80.4865,1,0,0,0,0,0,0,0,0,0,0,0
1996220,-65.6652,80.3026,1,0,0,0,0,0,0,0,0,0,0,0
1996221,-65.6917,80.1829,1,0,0,0,0,0,0,0,0,0,0,0
1996222,-65.7108,80.1275,1,0,0,0,0,0,0,0,0,0,0,0
1996223,-65.73,80.072,1,0,0,0,0,0,0,0,0,0,0,0
1996224,-65.7395,80.0443,1,0,0,0,0,0,0,0,0,0,0,0
1996225,-65.7395,80.0443,1,0,0,0,0,0,0,0,0,0,0,0
1996226,-65.7395,80.0443,1,0,0,0,0,0,0,0,0,0,0,0
1996227,-65.7489,79.9912,1,0,0,0,0,0,0,0,0,0,0,0
1996228,-65.7678,79.8851,1,0,0,0,0,0,0,0,0,0,0,0
1996229,-65.7867,79.7789,1,0,0,0,0,0,0,0,0,0,0,0
1996230,-65.8234,79.7101,1,0,0,0,0,0,0,0,0,0,0,0
1996231,-65.8779,79.6786,1,0,0,0,0,0,0,0,0,0,0,0
1996232,-65.9324,79.647,1,0,0,0,0,0,0,0,0,0,0,0
1996233,-65.9597,79.6313,1,0,0,0,0,0,0,0,0,0,0,0
1996234,-65.9597,79.6313,1,0,0,0,0,0,0,0,0,0,0,0
1996235,-65.9597,79.6313,1,0,0,0,0,0,0,0,0,0,0,0
1996236,-65.977,79.5738,1,0,0,0,0,0,0,0,0,0,0,0
1996237,-66.0116,79.4588,1,0,0,0,0,0,0,0,0,0,0,0
1996238,-66.0462,79.3439,1,0,0,0,0,0,0,0,0,0,0,0
1996239,-66.0832,79.261,1,0,0,0,0,0,0,0,0,0,0,0
1996240,-66.1226,79.2103,1,0,0,0,0,0,0,0,0,0,0,0
1996241,-66.1621,79.1595,1,0,0,0,0,0,0,0,0,0,0,0
1996242,-66.2006,79.0749,1,0,0,0,0,0,0,0,0,0,0,0
1996243,-66.2383,78.9564,1,0,0,0,0,0,0,0,0,0,0,0
1996244,-66.276,78.8378,1,0,0,0,0,0,0,0,0,0,0,0
1996245,-66.3173,78.7257,1,0,0,0,0,0,0,0,0,0,0,0
1996246,-66.3624,78.62,1,0,0,0,0,0,0,0,0,0,0,0
1996247,-66.4075,78.5144,1,0,0,0,0,0,0,0,0,0,0,0
1996248,-66.4531,78.4159,1,0,0,0,0,0,0,0,0,0,0,0
1996249,-66.4993,78.3247,1,0,0,0,0,0,0,0,0,0,0,0
1996250,-66.5455,78.2336,1,0,0,0,0,0,0,0,0,0,0,0
1996251,-66.577,78.1497,1,0,0,0,0,0,0,0,0,0,0,0
1996252,-66.5939,78.0731,1,0,0,0,0,0,0,0,0,0,0,0
1996253,-66.6107,77.9966,1,0,0,0,0,0,0,0,0,0,0,0
1996254,-66.6368,77.889,1,0,0,0,0,0,0,0,0,0,0,0
1996255,-66.6722,77.7505,1,0,0,0,0,0,0,0,0,0,0,0
1996256,-66.7075,77.6119,1,0,0,0,0,0,0,0,0,0,0,0
1996257,-66.7425,77.4903,1,0,0,0,0,0,0,0,0,0,0,0
1996258,-66.7769,77.3857,1,0,0,0,0,0,0,0,0,0,0,0
1996259,-66.8115,77.2811,1,0,0,0,0,0,0,0,0,0,0,0
1996260,-66.8287,77.2288,1,0,0,0,0,0,0,0,0,0,0,0
1996261,-66.8287,77.2288,1,0,0,0,0,0,0,0,0,0,0,0
1996262,-66.8287,77.2288,1,0,0,0,0,0,0,0,0,0,0,0
1996263,-66.8311,77.219,1,0,0,0,0,0,0,0,0,0,0,0
1996264,-66.8359,77.1995,1,0,0,0,0,0,0,0,0,0,0,0
1996265,-66.8408,77.18,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996266,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996267,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996268,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996269,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996270,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996271,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996272,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996273,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996274,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996275,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996276,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996277,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
1996278,-66.8432,77.1702,1,0,0,0,-66.84,76.82,1,0,0,0,0,0
