ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-67,81.633,1,2016032,-67,81.6333,1,33,12
-67,81.633,1,2016033,-67,81.6333,1,33,12
-67,81.633,1,2016034,-67,81.6333,1,33,12
-67,81.633,1,2016035,-67,81.6333,1,33,12
-67,81.633,1,2016036,-67,81.6333,1,33,12
-67,81.633,1,2016037,-67,81.6333,1,33,12
-67,81.633,1,2016038,-67,81.6333,1,33,12
-67,81.633,1,2016039,-67,81.6333,1,33,12
-67,81.633,0,2016040,-67,81.6333,0,0,0
-67,81.633,1,2016041,-67,81.6333,1,33,12
-67,81.633,1,2016042,-67,81.6333,1,33,12
-67,81.633,1,2016043,-67,81.6333,1,33,12
-67,81.633,1,2016044,-67,81.6333,1,33,12
-67,81.633,1,2016045,-67,81.6333,1,33,12
-67,81.633,1,2016046,-67,81.6333,1,33,12
-67,81.633,0,2016047,-67,81.6333,0,0,0
-67,81.633,1,2016048,-67,81.6333,1,33,12
-67,81.633,1,2016049,-67,81.6333,1,33,12
-67,81.633,1,2016050,-67,81.6333,1,33,12
-67,81.633,1,2016051,-67,81.6333,1,33,12
-67,81.633,1,2016052,-67,81.6333,1,33,12
-67,81.633,1,2016053,-67,81.6333,1,33,12
-67,81.633,1,2016054,-67,81.6333,1,33,12
-67,81.633,1,2016055,-67,81.6333,1,33,12
-67,81.633,1,2016056,-67,81.6333,1,33,12
-67,81.633,1,2016057,-67,81.6333,1,33,12
-67,81.633,1,2016058,-67,81.6333,1,33,12
-67,81.633,1,2016059,-67,81.6333,1,33,12
-67,81.633,0,2016060,-67,81.6333,0,0,0
-67,81.633,1,2016061,-67,81.6333,1,33,12
-67,81.633,1,2016062,-67,81.6333,1,33,12
-67,81.633,1,2016063,-67,81.6333,1,33,12
-67,81.633,1,2016064,-67,81.6333,1,33,12
-67,81.633,1,2016065,-67,81.6333,0,0,0
-67,81.633,1,2016066,-67,81.6333,0,0,0
-67,81.633,1,2016067,-67,81.6333,0,0,0
-67,81.633,0,2016068,-67,81.6333,0,0,0
-67,81.633,1,2016069,-67,81.6333,0,0,0
-67,81.633,0,2016070,-67,81.6333,0,0,0
-67,81.633,1,2016071,-67,81.6333,1,33,12
-67,81.633,1,2016072,-67,81.6333,0,0,0
-67,81.633,1,2016073,-67,81.6333,0,0,0
-67,81.633,1,2016074,-67,81.6333,0,0,0
-67,81.633,0,2016075,-67,81.6333,0,0,0
-67,81.633,1,2016076,-67,81.6333,0,0,0
-67,81.633,1,2016077,-67,81.6333,0,0,0
-67,81.633,0,2016078,-67,81.6333,1,33,12
-67,81.633,0,2016079,-67,81.6333,0,0,0
-67,81.633,1,2016080,-67,81.6333,0,0,0
-67,81.633,1,2016081,-67,81.6333,0,0,0
-67,81.633,0,2016082,-67,81.6333,0,0,0
-67,81.633,0,2016083,-67,81.6333,0,0,0
-67,81.633,1,2016084,-67,81.6333,0,0,0
-67,81.633,1,2016085,-67,81.6333,1,33,12
-67,81.633,1,2016086,-67,81.6333,0,0,0
-67,81.633,1,2016087,-67,81.6333,0,0,0
-67,81.633,1,2016088,-67,81.6333,0,0,0
-67,81.633,0,2016089,-67,81.6333,0,0,0
-67,81.633,1,2016090,-67,81.6333,0,0,0
-67,81.633,0,2016091,-67,81.6333,0,0,0
-67,81.633,1,2016092,-67,81.6333,1,33,12
-67,81.633,1,2016093,-67,81.6333,0,0,0
-67,81.633,1,2016094,-67,81.6333,0,0,0
-67,81.633,1,2016095,-67,81.6333,0,0,0
-67,81.633,0,2016096,-67,81.6333,0,0,0
-67,81.633,1,2016097,-67,81.6333,0,0,0
-67,81.633,0,2016098,-67,81.6333,0,0,0
-67,81.633,1,2016099,-67,81.6333,1,33,12
-67,81.633,0,2016100,-67,81.6333,0,0,0
-67,81.633,1,2016101,-67,81.6333,0,0,0
-67,81.633,1,2016102,-67,81.6333,0,0,0
-67,81.633,0,2016103,-67,81.6333,0,0,0
-67,81.633,1,2016104,-67,81.6333,0,0,0
-67,81.633,1,2016105,-67,81.6333,0,0,0
-67,81.633,1,2016106,-67,81.6333,1,33,12
-67,81.633,1,2016107,-67,81.6333,0,0,0
-67,81.633,0,2016108,-67,81.6333,0,0,0
-67,81.633,1,2016109,-67,81.6333,0,0,0
-67,81.633,0,2016110,-67,81.6333,0,0,0
-67,81.633,0,2016111,-67,81.6333,0,0,0
-67,81.633,1,2016112,-67,81.6333,0,0,0
-67,81.633,1,2016113,-67,81.6333,1,33,12
-67,81.633,1,2016114,-67,81.6333,0,0,0
-67,81.633,0,2016115,-67,81.6333,0,0,0
-67,81.633,0,2016116,-67,81.6333,0,0,0
-67,81.633,1,2016117,-67,81.6333,0,0,0
-67.0107,81.5721,1,2016118,-67,81.6333,0,0,0
-67.0107,81.5721,1,2016119,-67,81.6333,0,0,0
-67.0107,81.5721,1,2016120,-67,81.6333,1,33,12
-67.0107,81.5721,1,2016121,-67,81.6333,0,0,0
-67.0107,81.5721,1,2016122,-67,81.6333,0,0,0
-67.0267,81.553,0,2016123,-67,81.6333,0,0,0
-67.0428,81.5339,1,2016124,-67,81.6333,0,0,0
-67.0401,81.5398,0,2016125,-67,81.6333,0,0,0
-67.0352,81.5507,1,2016126,-67,81.6333,0,0,0
-67.0299,81.5622,1,2016127,-67,81.6333,1,33,12
-67.0275,81.5675,1,2016128,-67,81.6333,0,0,0
-67.0275,81.5675,1,2016129,-67,81.6333,0,0,0
-67.0275,81.5675,0,2016130,-67,81.6333,0,0,0
-67.0275,81.5675,0,2016131,-67,81.6333,0,0,0
-67.0275,81.5675,1,2016132,-67,81.6333,0,0,0
-67.0275,81.5675,0,2016133,-67,81.6333,0,0,0
-67.0275,81.5675,0,2016134,-67,81.6333,1,33,12
-67.0275,81.5675,0,2016135,-67,81.6333,0,0,0
-67.0275,81.5675,0,2016136,-67,81.6333,0,0,0
-67.0275,81.5675,1,2016137,-67,81.6333,0,0,0
-67.0275,81.5675,1,2016138,-67,81.6333,0,0,0
-67.0275,81.5675,1,2016139,-67,81.6333,0,0,0
-67.0264,81.5742,1,2016140,-67,81.6333,0,0,0
-67.0245,81.5857,0,2016141,-67,81.6333,1,33,12
-67.0233,81.5933,1,2016142,-67,81.6333,0,0,0
-67.0233,81.5933,1,2016143,-67,81.6333,0,0,0
-67.0233,81.5933,0,2016144,-67,81.6333,0,0,0
-67.0233,81.5933,0,2016145,-67,81.6333,0,0,0
-67.0233,81.5933,1,2016146,-67,81.6333,0,0,0
-67.0233,81.5933,1,2016147,-67,81.6333,0,0,0
-67.0233,81.5933,1,2016148,-67,81.6333,1,33,12
-67.0233,81.5933,1,2016149,-67,81.6333,0,0,0
-67.0244,81.5969,1,2016150,-67,81.6333,0,0,0
-67.0269,81.605,1,2016151,-67,81.6333,0,0,0
-67.0294,81.613,1,2016152,-67,81.6333,0,0,0
-67.0305,81.6166,1,2016153,-67,81.6333,0,0,0
-67.0305,81.6166,1,2016154,-67,81.6333,0,0,0
-67.0305,81.6166,0,2016155,-67,81.6333,1,33,12
-67.0305,81.6166,0,2016156,-67,81.6333,0,0,0
-67.0305,81.6166,0,2016157,-67,81.6333,0,0,0
-67.0305,81.6166,1,2016158,-67,81.6333,0,0,0
-67.0305,81.6166,1,2016159,-67,81.6333,0,0,0
-67.0305,81.6166,0,2016160,-67,81.6333,0,0,0
-67.0305,81.6166,1,2016161,-67,81.6333,0,0,0
-67.0305,81.6166,0,2016162,-67,81.6333,1,33,12
