date,nic_1,nic_2,nic_3,size_1,size_2
2013175,-69.16,36.39,1,28,11
2013176,-69.16,36.39,0,0,0
2013177,-69.16,36.39,0,0,0
2013178,-69.16,36.39,0,0,0
2013179,-69.16,36.39,0,0,0
2013180,-69.16,36.39,0,0,0
2013181,-69.16,36.39,0,0,0
2013182,-69.16,36.39,0,0,0
2013183,-69.16,36.39,0,0,0
2013184,-69.16,36.39,0,0,0
2013185,-69.16,36.39,0,0,0
2013186,-69.16,36.39,0,0,0
2013187,-69.16,36.39,0,0,0
2013188,-69.16,36.39,1,28,11
2013202,-69.16,36.39,1,28,11
2013216,-69.16,36.39,1,28,11
2013230,-69.16,36.39,1,28,11
2013244,-69.2667,36.65,1,28,11
2013258,-69.2667,36.65,1,28,11
2013291,-69.2667,36.65,1,28,11
