ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-69.2625,36.9008,1,2011242,-69.15,36.4833,1,27,9
-69.2833,36.8743,1,2011243,-69.15,36.4833,1,27,9
-69.2854,36.8754,0,2011244,-69.15,36.4833,0,0,0
-69.2869,36.8787,0,2011245,-69.15,36.4833,0,0,0
-69.2881,36.884,0,2011246,-69.15,36.4833,0,0,0
-69.2889,36.8912,0,2011247,-69.15,36.4833,0,0,0
-69.2895,36.9003,0,2011248,-69.15,36.4833,0,0,0
-69.2897,36.9109,0,2011249,-69.15,36.4833,0,0,0
-69.2898,36.9231,1,2011250,-69.15,36.4833,1,27,9
-69.269,36.9495,1,2011251,-69.15,36.4833,1,27,9
-69.2417,36.9269,1,2011252,-69.15,36.4833,1,27,9
-69.2513,36.9122,1,2011253,-69.15,36.4833,1,27,9
-69.2349,36.8072,1,2011254,-69.15,36.4833,1,27,9
-69.2218,36.8147,1,2011255,-69.15,36.4833,1,27,9
-69.2306,36.8333,1,2011256,-69.15,36.4833,1,27,9
-69.242,36.8223,1,2011257,-69.15,36.4833,1,27,9
-69.2338,36.7696,1,2011258,-69.15,36.4833,1,27,9
-69.2213,36.8483,1,2011259,-69.15,36.4833,1,27,9
-69.1969,36.8668,1,2011260,-69.15,36.4833,1,27,9
-69.2008,36.9454,1,2011261,-69.15,36.4833,1,27,9
-69.2112,36.872,0,2011262,-69.15,36.4833,0,0,0
-69.2189,36.7737,1,2011263,-69.15,36.4833,1,27,9
-69.2178,36.7363,1,2011264,-69.15,36.4833,1,27,9
-69.2222,36.7435,0,2011265,-69.15,36.4833,0,0,0
-69.2267,36.7548,1,2011266,-69.15,36.4833,1,27,9
-69.2259,36.761,0,2011267,-69.15,36.4833,0,0,0
-69.2239,36.7666,0,2011268,-69.15,36.4833,0,0,0
-69.2207,36.7772,1,2011269,-69.15,36.4833,1,27,9
-69.2124,36.8299,1,2011270,-69.15,36.4833,1,27,9
-69.1988,36.7661,1,2011271,-69.15,36.4833,1,27,9
-69.2068,36.7831,0,2011272,-69.15,36.4833,0,0,0
-69.2245,36.8205,0,2011273,-69.15,36.4833,0,0,0
-69.2422,36.8578,0,2011274,-69.15,36.4833,0,0,0
-69.2502,36.8748,1,2011275,-69.15,36.4833,1,27,9
-69.2355,36.7735,1,2011276,-69.15,36.4833,1,27,9
-69.2403,36.7746,0,2011277,-69.15,36.4833,0,0,0
-69.25,36.7782,0,2011278,-69.15,36.4833,0,0,0
-69.2574,36.7845,1,2011279,-69.15,36.4833,1,27,9
-69.2603,36.8254,1,2011280,-69.15,36.4833,1,27,9
-69.2464,36.972,1,2011281,-69.15,36.4833,1,27,9
-69.2135,36.8671,1,2011282,-69.15,36.4833,1,27,9
-69.172,36.815,1,2011283,-69.15,36.4833,1,27,9
-69.1951,36.7586,1,2011284,-69.15,36.4833,1,27,9
-69.2384,36.8145,1,2011285,-69.15,36.4833,1,27,9
-69.2666,36.874,1,2011286,-69.15,36.4833,1,27,9
-69.3106,37.0735,1,2011287,-69.15,36.4833,1,27,9
-69.286,37.0207,1,2011288,-69.15,36.4833,1,27,9
-69.257,36.9944,1,2011289,-69.15,36.4833,1,27,9
-69.253,36.9159,1,2011290,-69.15,36.4833,1,27,9
-69.2503,36.7702,1,2011291,-69.15,36.4833,1,27,9
-69.2429,36.5789,1,2011292,-69.15,36.4833,1,27,9
-69.2125,36.6206,1,2011293,-69.15,36.4833,1,27,9
-69.2292,36.6199,1,2011294,-69.15,36.4833,1,27,9
-69.2243,36.785,1,2011295,-69.15,36.4833,1,27,9
-69.2167,36.6986,1,2011296,-69.15,36.4833,1,27,9
-69.1939,36.8261,1,2011297,-69.15,36.4833,1,27,9
-69.2147,36.7998,1,2011298,-69.15,36.4833,1,27,9
-69.22,36.8112,1,2011299,-69.15,36.4833,1,27,9
-69.2196,36.7397,1,2011300,-69.15,36.4833,1,27,9
-69.2158,36.8372,1,2011301,-69.15,36.4833,1,27,9
-69.2366,36.811,1,2011302,-69.15,36.4833,1,27,9
-69.248,36.7996,1,2011303,-69.15,36.4833,1,27,9
-69.2314,36.8001,1,2011304,-69.15,36.4833,1,27,9
-69.219,36.6687,1,2011305,-69.15,36.4833,1,27,9
-69.2556,36.781,1,2011306,-69.15,36.4833,1,27,9
-69.2599,36.7546,1,2011307,-69.15,36.4833,1,27,9
-69.2306,36.8335,1,2011308,-69.15,36.4833,1,27,9
-69.2556,36.781,1,2011309,-69.15,36.4833,1,27,9
-69.2599,36.7546,1,2011310,-69.15,36.4833,1,27,9
-69.2307,36.833,1,2011311,-69.15,36.4833,1,27,9
-69.2114,36.9682,1,2011312,-69.15,36.4833,1,27,9
-69.2088,36.822,1,2011313,-69.15,36.4833,1,27,9
-69.198,36.9042,1,2011314,-69.15,36.4833,1,27,9
-69.193,36.9642,1,2011315,-69.15,36.4833,1,27,9
-69.211,36.8969,1,2011316,-69.15,36.4833,1,27,9
-69.1979,36.9043,1,2011317,-69.15,36.4833,1,27,9
-69.2092,36.8927,1,2011318,-69.15,36.4833,1,27,9
-69.2181,37.0879,1,2011319,-69.15,36.4833,1,27,9
-69.2346,36.9118,1,2011320,-69.15,36.4833,1,27,9
-69.247,36.9383,1,2011321,-69.15,36.4833,1,27,9
-69.2384,36.8144,1,2011322,-69.15,36.4833,1,27,9
-69.2459,36.9009,1,2011323,-69.15,36.4833,1,27,9
-69.2556,36.781,1,2011324,-69.15,36.4833,1,27,9
-69.2616,36.7583,1,2011325,-69.15,36.4833,1,27,9
-69.2539,36.7772,1,2011326,-69.15,36.4833,1,27,9
-69.232,36.7661,1,2011327,-69.15,36.4833,1,27,9
-69.2076,36.7848,1,2011328,-69.15,36.4833,1,27,9
