ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-68.5313,70.8471,1,2022288,-68.36,70.68,1,10,9
-68.5002,70.6074,1,2022289,-68.36,70.68,1,10,9
-68.454,70.5758,1,2022290,-68.36,70.68,1,10,9
-68.454,70.5758,1,2022291,-68.36,70.68,1,10,9
-68.4215,70.5689,1,2022292,-68.36,70.68,1,10,9
-68.3934,70.5959,1,2022293,-68.36,70.68,1,10,9
-68.3401,70.672,1,2022294,-68.36,70.68,1,10,9
-68.3144,70.7977,1,2022295,-68.3515,70.6819,0,0,0
-68.3072,70.7409,1,2022296,-68.3286,70.687,0,0,0
-68.287,70.7476,1,2022297,-68.2954,70.6948,0,0,0
-68.24,70.7918,1,2022298,-68.2559,70.7046,0,0,0
-68.1838,70.8445,1,2022299,-68.2142,70.7159,0,0,0
-68.1377,70.8121,1,2022300,-68.1742,70.7279,0,0,0
-68.0857,70.7353,1,2022301,-68.14,70.74,1,10,9
-68.119,70.6668,1,2022302,-68.1087,70.7547,0,0,0
-68.1169,70.7318,1,2022303,-68.0759,70.7736,0,0,0
-68.0656,70.742,1,2022304,-68.0428,70.7954,0,0,0
-68.0332,70.735,1,2022305,-68.0112,70.8184,0,0,0
-67.9957,70.7699,1,2022306,-67.9826,70.8412,0,0,0
-67.936,70.875,1,2022307,-67.9583,70.8622,0,0,0
-67.9253,70.8722,1,2022308,-67.94,70.88,1,10,9
-67.9174,70.8921,1,2022309,-67.9272,70.8945,0,0,0
-67.8877,70.9067,1,2022310,-67.9174,70.9073,0,0,0
-67.8864,70.8958,1,2022311,-67.9094,70.9189,0,0,0
-67.8857,70.9708,1,2022312,-67.902,70.9303,0,0,0
-67.8712,71.021,1,2022313,-67.8938,70.9421,0,0,0
-67.8525,71.038,1,2022314,-67.8835,70.9551,0,0,0
-67.8525,71.038,1,2022315,-67.87,70.97,1,10,9
-67.8525,71.038,1,2022316,-67.8466,70.9881,0,0,0
-67.7688,71.04,1,2022317,-67.8109,71.0096,0,0,0
-67.7098,71.0688,1,2022318,-67.7678,71.033,0,0,0
-67.7098,71.0688,1,2022319,-67.7222,71.057,0,0,0
-67.6559,71.0564,1,2022320,-67.6791,71.0804,0,0,0
-67.6559,71.0564,0,2022321,-67.6434,71.1019,0,0,0
-67.6559,71.0564,1,2022322,-67.62,71.12,1,10,9
-67.6559,71.0564,0,2022323,-67.6046,71.1344,0,0,0
-67.6559,71.0564,1,2022324,-67.5902,71.1464,0,0,0
-67.6227,71.1229,0,2022325,-67.5771,71.157,0,0,0
-67.5895,71.1894,1,2022326,-67.5661,71.1675,0,0,0
-67.5895,71.1894,0,2022327,-67.5575,71.179,0,0,0
-67.5895,71.1894,1,2022328,-67.552,71.1928,0,0,0
-67.5703,71.2427,0,2022329,-67.55,71.21,1,10,9
-67.5512,71.296,1,2022330,-67.5533,71.2391,0,0,0
-67.5512,71.296,0,2022331,-67.5619,71.2832,0,0,0
-67.5512,71.296,1,2022332,-67.5736,71.3352,0,0,0
-67.5875,71.4162,0,2022333,-67.5864,71.3879,0,0,0
-67.6238,71.5365,1,2022334,-67.5981,71.4343,0,0,0
-67.62,71.5083,0,2022335,-67.6067,71.4674,0,0,0
-67.61,71.48,1,2022336,-67.61,71.48,1,10,9
-67.5523,71.4975,0,2022337,-67.6052,71.4778,0,0,0
-67.4958,71.5149,1,2022338,-67.5922,71.4716,0,0,0
-67.4878,71.4712,0,2022339,-67.5729,71.462,0,0,0
-67.4848,71.4275,1,2022340,-67.549,71.4495,0,0,0
-67.4848,71.4275,0,2022341,-67.5227,71.4346,0,0,0
-67.4848,71.4275,1,2022342,-67.4957,71.4179,0,0,0
-67.4211,71.295,0,2022343,-67.47,71.4,1,10,9
-67.3509,71.1227,1,2022344,-67.4431,71.3713,0,0,0
-67.3435,71.049,0,2022345,-67.4122,71.3261,0,0,0
-67.3367,71.0151,1,2022346,-67.3789,71.2706,0,0,0
-67.307,71.0335,0,2022347,-67.3446,71.211,0,0,0
-67.2683,71.0518,1,2022348,-67.3106,71.1536,0,0,0
-67.2407,71.0173,0,2022349,-67.2786,71.1045,0,0,0
-67.2159,70.9416,0,2022350,-67.25,71.07,1,10,9
-67.1917,70.8658,0,2022351,-67.2251,71.0449,0,0,0
-67.1656,70.8313,1,2022352,-67.2025,71.0206,0,0,0
-67.1362,70.8459,1,2022353,-67.1813,70.9981,0,0,0
-67.1111,70.8922,1,2022354,-67.1604,70.9788,0,0,0
-67.0894,70.9566,0,2022355,-67.1389,70.9635,0,0,0
-67.0696,71.0336,0,2022356,-67.1158,70.9536,0,0,0
-67.0486,71.11,0,2022357,-67.09,70.95,1,10,9
-67.0232,71.1723,1,2022358,-67.0584,70.9655,0,0,0
-66.9873,71.2152,1,2022359,-67.0205,71.0055,0,0,0
-66.9274,71.3144,1,2022360,-66.9795,71.0602,0,0,0
-66.8867,71.2865,0,2022361,-66.9388,71.1198,0,0,0
-66.8525,71.2165,0,2022362,-66.9015,71.1745,0,0,0
-66.824,71.1253,0,2022363,-66.8708,71.2145,0,0,0
-66.8003,71.0337,1,2022364,-66.85,71.23,1,10,9
-66.7776,70.9443,0,2022365,-66.8355,71.1885,0,0,0
