date,ers_1,ers_2,ers_3
1997328,-73.24,-175.07,1
1997329,-73.24,-175.07,1
1997330,-73.24,-175.07,1
1997331,-73.2245,-175.2444,1
1997332,-73.1935,-175.5933,1
1997333,-73.1625,-175.9421,1
1997334,-73.147,-176.1165,1
1997335,-73.147,-176.1165,1
1997336,-73.147,-176.1165,1
1997337,-73.1503,-176.1961,1
1997338,-73.1568,-176.3553,1
1997339,-73.1633,-176.5146,1
1997340,-73.1666,-176.5942,1
1997341,-73.1666,-176.5942,1
1997342,-73.1666,-176.5942,1
1997343,-73.1666,-176.5942,1
1997344,-73.1666,-176.5942,1
1997345,-73.1666,-176.5942,1
1997346,-73.1556,-176.5492,1
1997347,-73.1337,-176.4592,1
1997348,-73.1118,-176.3693,1
1997349,-73.1008,-176.3243,1
1997350,-73.1008,-176.3243,1
1997351,-73.1008,-176.3243,1
1997352,-73.0777,-176.3528,1
1997353,-73.0316,-176.4097,1
1997354,-72.9855,-176.4666,1
1997355,-72.9624,-176.4951,1
1997356,-72.9624,-176.4951,1
1997357,-72.9624,-176.4951,1
1997358,-72.9624,-176.4951,1
1997359,-72.9624,-176.4951,1
1997360,-72.9624,-176.4951,1
1997361,-72.9624,-176.4951,1
1997362,-72.9624,-176.4951,1
1997363,-72.9624,-176.4951,1
1997364,-72.9624,-176.4951,1
1997365,-72.9624,-176.4951,0
1998001,-72.9624,-176.4951,1
1998002,-72.9624,-176.4951,1
1998003,-72.9624,-176.4951,1
1998004,-72.9624,-176.4951,1
1998005,-72.9624,-176.4951,1
1998006,-72.9624,-176.4951,1
1998007,-72.9969,-176.5229,1
1998008,-73.066,-176.5784,1
1998009,-73.135,-176.6338,1
1998010,-73.1695,-176.6616,1
1998011,-73.1695,-176.6616,1
1998012,-73.1695,-176.6616,1
1998013,-73.1695,-176.6616,1
1998014,-73.1695,-176.6616,1
1998015,-73.1695,-176.6616,1
1998016,-73.1695,-176.6616,1
1998017,-73.1695,-176.6616,1
1998018,-73.1695,-176.6616,1
1998019,-73.128,-176.6292,1
1998020,-73.0451,-176.5644,1
1998021,-72.9622,-176.4996,1
1998022,-72.9207,-176.4672,1
1998023,-72.9207,-176.4672,1
1998024,-72.9207,-176.4672,1
1998025,-72.9207,-176.4672,1
1998026,-72.9207,-176.4672,1
1998027,-72.9207,-176.4672,1
