date,nic_1,nic_2,nic_3,sass_1,sass_2,sass_3,size_1,size_2
1978204,0,0,0,-63.29,-53.76,1,0,0
1978205,0,0,0,-63.29,-53.76,1,0,0
1978206,0,0,0,-63.29,-53.76,1,0,0
1978207,0,0,0,-63.29,-53.76,1,0,0
1978208,0,0,0,-63.29,-53.76,1,0,0
1978209,0,0,0,-63.29,-53.76,1,0,0
1978210,0,0,0,-63.29,-53.76,1,0,0
1978211,0,0,0,-63.29,-53.76,1,0,0
1978212,0,0,0,-63.29,-53.76,1,0,0
1978213,0,0,0,-63.29,-53.76,1,0,0
1978214,0,0,0,-63.29,-53.76,1,0,0
1978215,0,0,0,-63.29,-53.76,1,0,0
1978216,0,0,0,-63.29,-53.76,1,0,0
1978217,0,0,0,-63.29,-53.76,1,0,0
1978218,0,0,0,-63.29,-53.76,1,0,0
1978219,0,0,0,-63.29,-53.76,1,0,0
1978220,0,0,0,-63.29,-53.76,1,0,0
1978221,0,0,0,-63.29,-53.76,1,0,0
1978222,0,0,0,-63.29,-53.76,1,0,0
1978223,0,0,0,-63.29,-53.76,1,0,0
1978224,0,0,0,-63.29,-53.76,1,0,0
1978225,0,0,0,-63.29,-53.76,1,0,0
1978226,0,0,0,-63.29,-53.76,1,0,0
1978227,0,0,0,-63.29,-53.76,1,0,0
1978228,0,0,0,-63.2729,-53.7322,1,0,0
1978229,0,0,0,-63.2388,-53.6765,1,0,0
1978230,0,0,0,-63.2046,-53.6208,1,0,0
1978231,0,0,0,-63.1705,-53.5651,1,0,0
1978232,0,0,0,-63.1363,-53.5094,1,0,0
1978233,0,0,0,-63.1022,-53.4537,1,0,0
1978234,0,0,0,-63.0851,-53.4259,1,0,0
1978235,0,0,0,-63.0851,-53.4259,1,0,0
1978236,0,0,0,-63.0851,-53.4259,1,0,0
1978237,0,0,0,-63.0851,-53.4259,1,0,0
1978238,0,0,0,-63.0851,-53.4259,1,0,0
1978239,0,0,0,-63.0851,-53.4259,1,0,0
1978240,0,0,0,-63.0851,-53.4259,1,0,0
1978241,0,0,0,-63.0851,-53.4259,1,0,0
1978242,0,0,0,-63.0851,-53.4259,1,0,0
1978243,0,0,0,-63.0851,-53.4259,1,0,0
1978244,0,0,0,-63.0851,-53.4259,1,0,0
1978245,0,0,0,-63.0851,-53.4259,1,0,0
1978246,0,0,0,-63.0851,-53.4259,1,0,0
1978247,0,0,0,-63.0851,-53.4259,1,0,0
1978248,0,0,0,-63.0851,-53.4259,1,0,0
1978249,0,0,0,-63.0851,-53.4259,1,0,0
1978250,0,0,0,-63.0851,-53.4259,1,0,0
1978251,0,0,0,-63.0851,-53.4259,1,0,0
1978252,0,0,0,-63.0851,-53.4259,1,0,0
1978253,0,0,0,-63.0851,-53.4259,1,0,0
1978254,0,0,0,-63.0851,-53.4259,1,0,0
1978255,0,0,0,-63.0851,-53.4259,1,0,0
1978256,0,0,0,-63.0851,-53.4259,1,0,0
1978257,0,0,0,-63.0851,-53.4259,1,0,0
1978258,0,0,0,-63.0677,-53.4508,1,0,0
1978259,0,0,0,-63.033,-53.5005,1,0,0
1978260,0,0,0,-62.9982,-53.5503,1,0,0
1978261,0,0,0,-62.9635,-53.6,1,0,0
1978262,0,0,0,-62.9287,-53.6498,1,0,0
1978263,0,0,0,-62.894,-53.6995,1,0,0
1978264,0,0,0,-62.82,-53.6945,1,0,0
1978265,0,0,0,-62.7069,-53.6347,1,0,0
1978266,0,0,0,-62.5937,-53.5749,1,0,0
1978267,0,0,0,-62.4806,-53.5152,1,0,0
1978268,0,0,0,-62.3674,-53.4554,1,0,0
1978269,0,0,0,-62.2543,-53.3956,1,0,0
1978270,0,0,0,-62.1224,-53.2897,1,0,0
1978271,0,0,0,-61.9717,-53.1378,1,0,0
1978272,0,0,0,-61.8211,-52.9859,1,0,0
1978273,0,0,0,-61.6704,-52.834,1,0,0
1978274,0,0,0,-61.5951,-52.758,1,0,0
1978275,0,0,0,-61.5951,-52.758,1,0,0
1978316,-58,-47.8,1,0,0,0,30,10
1979014,-58.8,-49,1,0,0,0,30,10
1979042,-58,-44.9,1,0,0,0,30,10
1979063,-58,-44.9,1,0,0,0,30,10
1979077,-57.4,-45.9,1,0,0,0,30,10
1979280,-56,-35.8,1,0,0,0,30,10
1979281,-56.0111,-35.6625,0,0,0,0,0,0
1979282,-56.0397,-35.4657,0,0,0,0,0,0
1979283,-56.0787,-35.2269,0,0,0,0,0,0
1979284,-56.1213,-34.9637,0,0,0,0,0,0
1979285,-56.1603,-34.6932,0,0,0,0,0,0
1979286,-56.1889,-34.4329,0,0,0,0,0,0
1979287,-56.2,-34.2,1,0,0,0,30,10
1979288,-56.1551,-33.9885,0,0,0,0,0,0
1979289,-56.0286,-33.7806,0,0,0,0,0,0
1979290,-55.8327,-33.5764,0,0,0,0,0,0
1979291,-55.5796,-33.3762,0,0,0,0,0,0
1979292,-55.2816,-33.18,0,0,0,0,0,0
1979293,-54.951,-32.9879,0,0,0,0,0,0
1979294,-54.6,-32.8,1,0,0,0,30,10
