date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1994037,0,0,0,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,36,27
1994046,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994047,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994048,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994049,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994050,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994051,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994052,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994053,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994054,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994055,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994056,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994057,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994058,-76.6,-44.4,1,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,36,27
1994059,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994060,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994061,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994062,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994063,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994064,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994065,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994066,-76.6,-44.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
