date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1998136,-74.1662,-27.567,1,0,0,0,0,0,0,0,0
1998137,-74.2187,-27.7411,1,0,0,0,0,0,0,0,0
1998138,-74.2712,-27.9151,1,0,0,0,0,0,0,0,0
1998139,-74.32,-28.2773,1,0,0,0,0,0,0,0,0
1998140,-74.3653,-28.8277,1,0,0,0,0,0,0,0,0
1998141,-74.4105,-29.3781,1,0,0,0,0,0,0,0,0
1998142,-74.4226,-29.8181,1,0,0,0,0,0,0,0,0
1998143,-74.4014,-30.1478,1,0,0,0,0,0,0,0,0
1998144,-74.3803,-30.4774,1,0,0,0,0,0,0,0,0
1998145,-74.3239,-30.8008,1,0,0,0,0,0,0,0,0
1998146,-74.232,-31.1181,1,0,0,0,0,0,0,0,0
1998147,-74.1401,-31.4353,1,0,0,0,0,0,0,0,0
1998148,-74.0563,-31.6653,1,0,0,0,0,0,0,0,0
1998149,-73.9806,-31.8082,1,0,0,0,0,0,0,0,0
1998150,-73.9049,-31.9511,1,0,0,0,0,0,0,0,0
1998151,-73.8283,-32.084,1,0,0,0,0,0,0,0,0
1998152,-73.7508,-32.2071,1,0,0,0,0,0,0,0,0
1998153,-73.6733,-32.3302,1,0,0,0,0,0,0,0,0
1998154,-73.5948,-32.4357,1,0,0,0,0,0,0,0,0
1998155,-73.5153,-32.5236,1,0,0,0,0,0,0,0,0
1998156,-73.4357,-32.6115,1,0,0,0,0,0,0,0,0
1998157,-73.3755,-32.7555,1,0,0,0,0,0,0,0,0
1998158,-73.3347,-32.9556,1,0,0,0,0,0,0,0,0
1998159,-73.2939,-33.1557,1,0,0,0,0,0,0,0,0
1998160,-73.2615,-33.3187,1,0,0,0,0,0,0,0,0
1998161,-73.2375,-33.4445,1,0,0,0,0,0,0,0,0
1998162,-73.2136,-33.5704,1,0,0,0,0,0,0,0,0
1998163,-73.1669,-33.748,1,0,0,0,0,0,0,0,0
1998164,-73.0975,-33.9775,1,0,0,0,0,0,0,0,0
1998165,-73.028,-34.207,1,0,0,0,0,0,0,0,0
1998166,-72.9457,-34.3555,1,0,0,0,0,0,0,0,0
1998167,-72.8504,-34.423,1,0,0,0,0,0,0,0,0
1998168,-72.7552,-34.4905,1,0,0,0,0,0,0,0,0
1998169,-72.6515,-34.5782,1,0,0,0,0,0,0,0,0
1998170,-72.5393,-34.6861,1,0,0,0,0,0,0,0,0
1998171,-72.4272,-34.794,1,0,0,0,0,0,0,0,0
1998172,-72.3504,-34.8601,1,0,0,0,0,0,0,0,0
1998173,-72.309,-34.8843,1,0,0,0,0,0,0,0,0
1998174,-72.2676,-34.9087,1,0,0,0,0,0,0,0,0
1998175,-72.2318,-34.9727,1,0,0,0,0,0,0,0,0
1998176,-72.2015,-35.0765,1,0,0,0,0,0,0,0,0
1998177,-72.1712,-35.1804,1,0,0,0,0,0,0,0,0
1998178,-72.1354,-35.2984,1,0,0,0,0,0,0,0,0
1998179,-72.0941,-35.4305,1,0,0,0,0,0,0,0,0
