date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,size_1,size_2
1991090,0,0,0,-65.8,-59.5,1,20,9
1991125,0,0,0,-64.2,-55.5,1,20,9
1991335,0,0,0,-64.2,-55.8,1,20,9
1991336,0,0,0,-64.2087,-55.7668,0,0,0
1991337,0,0,0,-64.2316,-55.681,0,0,0
1991338,0,0,0,-64.2642,-55.5638,0,0,0
1991339,0,0,0,-64.3019,-55.4362,0,0,0
1991340,0,0,0,-64.3402,-55.319,0,0,0
1991341,0,0,0,-64.3744,-55.2332,0,0,0
1991342,0,0,0,-64.4,-55.2,1,20,9
1991356,0,0,0,-64.6,-55.4,1,20,9
1991357,0,0,0,-64.6208,-55.3881,0,0,0
1991358,0,0,0,-64.6466,-55.3558,0,0,0
1991359,0,0,0,-64.6754,-55.3083,0,0,0
1991360,0,0,0,-64.7052,-55.251,0,0,0
1991361,0,0,0,-64.734,-55.1891,0,0,0
1991362,0,0,0,-64.7599,-55.1278,0,0,0
1991363,0,0,0,-64.7809,-55.0723,0,0,0
1991364,0,0,0,-64.7949,-55.028,0,0,0
1991365,0,0,0,-64.8,-55,1,20,9
1992019,0,0,0,-64.7,-54.8,1,20,9
1992033,0,0,0,-65,-54.5,1,20,9
1992052,-64.64,-56.22,1,0,0,0,0,0
1992053,-64.64,-56.22,1,0,0,0,0,0
1992054,-64.64,-56.22,1,0,0,0,0,0
1992055,-64.64,-56.22,1,0,0,0,0,0
1992056,-64.64,-56.22,1,0,0,0,0,0
1992057,-64.64,-56.22,1,0,0,0,0,0
1992058,-64.64,-56.22,1,0,0,0,0,0
1992059,-64.64,-56.22,1,0,0,0,0,0
1992060,-64.64,-56.22,1,0,0,0,0,0
1992061,-64.6234,-56.1474,1,0,0,0,0,0
1992062,-64.5901,-56.0022,1,0,0,0,0,0
1992063,-64.5568,-55.8569,1,0,0,0,0,0
1992064,-64.5402,-55.7843,1,0,0,0,0,0
1992065,-64.5402,-55.7843,1,0,0,0,0,0
1992066,-64.5402,-55.7843,1,0,0,0,0,0
1992067,-64.5402,-55.7843,1,0,0,0,0,0
1992068,-64.5402,-55.7843,1,0,0,0,0,0
1992069,-64.5402,-55.7843,1,0,0,0,0,0
1992070,-64.4804,-55.6317,1,0,0,0,0,0
1992071,-64.3607,-55.3265,1,0,0,0,0,0
1992072,-64.241,-55.0213,1,0,0,0,0,0
1992073,-64.1812,-54.8687,1,0,0,0,0,0
1992074,-64.1812,-54.8687,1,0,0,0,0,0
1992075,-64.1812,-54.8687,1,0,0,0,0,0
1992076,-64.0325,-54.7501,0,0,0,0,0,0
1992077,-63.6847,-54.4892,0,0,0,0,0,0
1992078,-63.2854,-54.2284,0,0,0,0,0,0
1992079,-62.9822,-54.1098,1,0,0,0,0,0
1992080,-62.8118,-54.2091,1,0,0,0,0,0
1992081,-62.6415,-54.3084,1,0,0,0,0,0
1992082,-62.5683,-54.2831,1,0,0,0,0,0
1992083,-62.5922,-54.1331,1,0,0,0,0,0
1992084,-62.6161,-53.9831,1,0,0,0,0,0
1992085,-62.6104,-53.9583,1,0,0,0,0,0
1992086,-62.575,-54.0587,1,0,0,0,0,0
1992087,-62.5395,-54.1591,1,0,0,0,0,0
1992088,-62.4963,-54.283,1,0,0,0,0,0
1992089,-62.4454,-54.4303,1,0,0,0,0,0
1992090,-62.3945,-54.5776,1,0,0,0,0,0
1992091,-62.3771,-54.7255,1,0,0,0,0,0
1992092,-62.3932,-54.874,1,0,0,0,0,0
1992093,-62.4093,-55.0225,1,0,0,0,0,0
1992094,-62.4254,-55.1709,1,0,0,0,0,0
1992095,-62.4415,-55.3194,1,0,0,0,0,0
1992096,-62.4576,-55.4679,1,0,0,0,0,0
1992097,-62.4737,-55.6163,1,0,0,0,0,0
1992098,-62.4899,-55.7648,1,0,0,0,0,0
1992099,-62.506,-55.9133,1,0,0,0,0,0
1992100,-62.5221,-56.0617,1,0,0,0,0,0
1992101,-62.5382,-56.2102,1,0,0,0,0,0
1992102,-62.5543,-56.3587,1,0,0,0,0,0
1992103,-62.5704,-56.5071,1,0,0,0,0,0
1992104,-62.5865,-56.6556,1,0,0,0,0,0
1992105,-62.6026,-56.8041,1,0,0,0,0,0
1992106,-62.6174,-56.9248,1,0,0,0,0,0
1992107,-62.6307,-57.0177,1,0,0,0,0,0
1992108,-62.6441,-57.1106,1,0,0,0,0,0
1992109,-62.6615,-57.2261,1,0,0,0,0,0
1992110,-62.683,-57.3642,1,0,0,0,0,0
1992111,-62.7045,-57.5024,1,0,0,0,0,0
1992112,-62.7323,-57.7114,1,0,0,0,0,0
1992113,-62.7662,-57.9913,1,0,0,0,0,0
1992114,-62.8002,-58.2711,1,0,0,0,0,0
1992115,-62.8172,-58.411,1,0,0,0,0,0
1992116,-62.8172,-58.411,1,0,0,0,0,0
1992117,-62.8172,-58.411,1,0,0,0,0,0
1992118,-62.8554,-58.5769,1,0,0,0,0,0
1992119,-62.9318,-58.9087,1,0,0,0,0,0
1992120,-63.0081,-59.2405,1,0,0,0,0,0
1992121,-63.0542,-59.4574,1,0,0,0,0,0
1992122,-63.07,-59.5593,1,0,0,0,0,0
1992123,-63.0858,-59.6612,1,0,0,0,0,0
1992124,-63.0937,-59.7122,1,0,0,0,0,0
1992125,-63.0937,-59.7122,1,0,0,0,0,0
1992126,-63.0937,-59.7122,1,0,0,0,0,0
1992127,-63.0313,-59.6839,1,0,0,0,0,0
1992128,-62.9066,-59.6273,1,0,0,0,0,0
1992129,-62.782,-59.5707,1,0,0,0,0,0
1992130,-62.6746,-59.5635,1,0,0,0,0,0
1992131,-62.5846,-59.6057,1,0,0,0,0,0
1992132,-62.4945,-59.6479,1,0,0,0,0,0
1992133,-62.4495,-59.669,1,0,0,0,0,0
1992134,-62.4495,-59.669,1,0,0,0,0,0
1992135,-62.4495,-59.669,1,0,0,0,0,0
1992136,-62.4495,-59.669,1,0,0,0,0,0
1992137,-62.4495,-59.669,1,0,0,0,0,0
1992138,-62.4495,-59.669,1,0,0,0,0,0
1992139,-62.4495,-59.669,1,0,0,0,0,0
1992140,-62.4495,-59.669,1,0,0,0,0,0
1992141,-62.4495,-59.669,1,0,0,0,0,0
1992142,-62.4495,-59.669,1,0,0,0,0,0
1992143,-62.4495,-59.669,1,0,0,0,0,0
1992144,-62.4495,-59.669,1,0,0,0,0,0
1992145,-62.3977,-59.6214,1,0,0,0,0,0
1992146,-62.2942,-59.5261,1,0,0,0,0,0
1992147,-62.1907,-59.4308,1,0,0,0,0,0
1992148,-62.0872,-59.3356,1,0,0,0,0,0
1992149,-61.9837,-59.2403,1,0,0,0,0,0
1992150,-61.8802,-59.145,1,0,0,0,0,0
1992151,-61.8324,-59.218,1,0,0,0,0,0
1992152,-61.8404,-59.4591,1,0,0,0,0,0
1992153,-61.8483,-59.7002,1,0,0,0,0,0
1992154,-61.8587,-59.8915,1,0,0,0,0,0
1992155,-61.8713,-60.0332,1,0,0,0,0,0
1992156,-61.884,-60.1748,1,0,0,0,0,0
1992157,-61.8904,-60.2456,1,0,0,0,0,0
1992158,-61.8904,-60.2456,1,0,0,0,0,0
1992159,-61.8904,-60.2456,1,0,0,0,0,0
1992160,-61.8822,-60.1875,1,0,0,0,0,0
1992161,-61.8659,-60.0714,1,0,0,0,0,0
1992162,-61.8496,-59.9552,1,0,0,0,0,0
1992163,-61.8414,-59.8971,1,0,0,0,0,0
1992164,-61.8414,-59.8971,1,0,0,0,0,0
1992165,-61.8414,-59.8971,1,0,0,0,0,0
1992166,-61.8414,-59.8971,1,0,0,0,0,0
1992167,-61.8414,-59.8971,1,0,0,0,0,0
1992168,-61.8414,-59.8971,1,0,0,0,0,0
1992169,-61.8414,-59.8971,1,0,0,0,0,0
1992170,-61.8414,-59.8971,1,0,0,0,0,0
1992171,-61.8414,-59.8971,1,0,0,0,0,0
1992172,-61.8029,-59.7863,1,0,0,0,0,0
1992173,-61.7259,-59.5648,1,0,0,0,0,0
1992174,-61.6488,-59.3434,1,0,0,0,0,0
1992175,-61.5987,-59.1848,1,0,0,0,0,0
1992176,-61.5754,-59.0893,1,0,0,0,0,0
1992177,-61.5521,-58.9938,1,0,0,0,0,0
1992178,-61.5018,-58.7977,1,0,0,0,0,0
1992179,-61.4243,-58.501,1,0,0,0,0,0
1992180,-61.3468,-58.2043,1,0,0,0,0,0
1992181,-61.2693,-57.9076,1,0,0,0,0,0
1992182,-61.1918,-57.6109,1,0,0,0,0,0
1992183,-61.1143,-57.3142,1,0,0,0,0,0
1992184,-60.9981,-57.0033,1,0,0,0,0,0
1992185,-60.8432,-56.6782,1,0,0,0,0,0
1992186,-60.6883,-56.353,1,0,0,0,0,0
