date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,size_1,size_2
1995148,-65.03,-57.965,1,-65,-57.7,1,34,16
1995149,-65.0101,-57.8548,1,0,0,0,0,0
1995150,-64.9901,-57.7447,1,0,0,0,0,0
1995151,-64.9801,-57.6897,1,0,0,0,0,0
1995152,-64.9801,-57.6897,1,0,0,0,0,0
1995153,-64.9801,-57.6897,1,0,0,0,0,0
1995154,-64.9801,-57.6897,1,0,0,0,0,0
1995155,-64.9801,-57.6897,1,0,0,0,0,0
1995156,-64.9801,-57.6897,1,0,0,0,0,0
1995157,-64.9729,-57.6273,1,0,0,0,0,0
1995158,-64.9586,-57.5027,1,0,0,0,0,0
1995159,-64.9442,-57.378,1,0,0,0,0,0
1995160,-64.9422,-57.2063,1,0,0,0,0,0
1995161,-64.9527,-56.9875,1,0,0,0,0,0
1995162,-64.9631,-56.7689,1,0,0,0,0,0
1995163,-64.9683,-56.6595,1,0,0,0,0,0
1995164,-64.9683,-56.6595,1,0,0,0,0,0
1995165,-64.9683,-56.6595,1,0,0,0,0,0
1995166,-64.9505,-56.6183,1,0,0,0,0,0
1995167,-64.9149,-56.5361,1,0,0,0,0,0
1995168,-64.8792,-56.4537,1,0,0,0,0,0
1995169,-64.8429,-56.3818,1,0,0,0,0,0
1995170,-64.8058,-56.3202,1,0,0,0,0,0
1995171,-64.7688,-56.2586,1,0,0,0,0,0
1995172,-64.7503,-56.2278,1,0,0,0,0,0
1995173,-64.7503,-56.2278,1,0,0,0,0,0
1995174,-64.7503,-56.2278,1,0,0,0,0,0
1995175,-64.7503,-56.2278,1,0,0,0,0,0
1995176,-64.7503,-56.2278,1,0,0,0,0,0
1995177,-64.7503,-56.2278,1,0,0,0,0,0
1995178,-64.7362,-56.1993,1,0,0,0,0,0
1995179,-64.7079,-56.1423,1,0,0,0,0,0
1995180,-64.6796,-56.0852,1,0,0,0,0,0
1995181,-64.6373,-56.0139,1,0,0,0,0,0
1995182,-64.5809,-55.9282,1,0,0,0,0,0
1995183,-64.5245,-55.8426,1,0,0,0,0,0
1995184,-64.4652,-55.7482,1,0,0,0,0,0
1995185,-64.4032,-55.645,1,0,0,0,0,0
1995186,-64.341,-55.5419,1,0,0,0,0,0
1995187,-64.31,-55.4903,1,0,0,0,0,0
1995188,-64.31,-55.4903,1,0,0,0,0,0
1995189,-64.31,-55.4903,1,0,0,0,0,0
1995190,-64.2988,-55.4262,1,0,0,0,0,0
1995191,-64.2765,-55.298,1,0,0,0,0,0
1995192,-64.2541,-55.1698,1,0,0,0,0,0
1995193,-64.2374,-55.0552,1,0,0,0,0,0
1995194,-64.2264,-54.9543,1,0,0,0,0,0
1995195,-64.2154,-54.8534,1,0,0,0,0,0
1995196,-64.192,-54.745,1,0,0,0,0,0
1995197,-64.156,-54.6292,1,0,0,0,0,0
1995198,-64.1201,-54.5134,1,0,0,0,0,0
1995199,-64.091,-54.4006,1,0,0,0,0,0
1995200,-64.0686,-54.2908,1,0,0,0,0,0
1995201,-64.0462,-54.1811,1,0,0,0,0,0
1995202,-64.035,-54.1262,1,0,0,0,0,0
1995203,-64.035,-54.1262,1,0,0,0,0,0
1995204,-64.035,-54.1262,1,0,0,0,0,0
1995205,-64.0183,-54.0806,1,0,0,0,0,0
1995206,-63.9848,-53.9892,1,0,0,0,0,0
1995207,-63.9513,-53.8979,1,0,0,0,0,0
1995208,-63.9346,-53.8523,1,0,0,0,0,0
1995209,-63.9346,-53.8523,1,0,0,0,0,0
1995210,-63.9346,-53.8523,1,0,0,0,0,0
1995211,-63.9092,-53.849,1,-63.65,-53.75,1,34,16
1995212,-63.8583,-53.8423,1,0,0,0,0,0
1995213,-63.8074,-53.8356,1,0,0,0,0,0
1995214,-63.7554,-53.8123,1,0,0,0,0,0
1995215,-63.7023,-53.7724,1,0,0,0,0,0
1995216,-63.6492,-53.7325,1,0,0,0,0,0
1995217,-63.5996,-53.6917,1,0,0,0,0,0
1995218,-63.5537,-53.6501,1,0,0,0,0,0
1995219,-63.5078,-53.6084,1,0,0,0,0,0
1995220,-63.4848,-53.5876,1,0,0,0,0,0
1995221,-63.4848,-53.5876,1,0,0,0,0,0
1995222,-63.4848,-53.5876,1,0,0,0,0,0
1995223,-63.451,-53.5712,1,0,0,0,0,0
1995224,-63.3834,-53.5385,1,0,0,0,0,0
1995225,-63.3158,-53.5058,1,-63.5,-53.7,1,34,16
1995226,-63.282,-53.4894,1,-63.4647,-53.6838,0,0,0
1995227,-63.282,-53.4894,1,-63.4046,-53.6533,0,0,0
1995228,-63.282,-53.4894,1,-63.3274,-53.6145,0,0,0
1995229,-63.2721,-53.5017,1,-63.2407,-53.5736,0,0,0
1995230,-63.2523,-53.5262,1,-63.1521,-53.5368,0,0,0
1995231,-63.2325,-53.5507,1,-63.0693,-53.5102,0,0,0
1995232,-63.2226,-53.563,1,-63,-53.5,1,34,16
1995233,-63.2226,-53.563,1,0,0,0,0,0
1995234,-63.2226,-53.563,1,0,0,0,0,0
1995235,-63.165,-53.6027,1,0,0,0,0,0
1995236,-63.0497,-53.6821,1,0,0,0,0,0
1995237,-62.9344,-53.7615,1,0,0,0,0,0
1995238,-62.8125,-53.855,1,0,0,0,0,0
1995239,-62.684,-53.9625,1,0,0,0,0,0
