date,qscat_1,qscat_2,qscat_3
2000136,-75.0858,-58.9646,1
2000137,-75.0858,-58.9646,1
2000138,-75.0858,-58.9646,1
2000139,-75.1204,-58.8835,1
2000140,-75.1204,-58.8835,1
2000141,-75.1204,-58.8835,1
2000142,-75.1474,-58.4507,1
2000143,-75.1474,-58.4507,1
2000144,-75.1474,-58.4507,1
2000145,-75.1474,-58.4507,1
2000146,-75.1474,-58.4507,1
2000147,-75.1474,-58.4507,1
2000148,-75.1474,-58.4507,1
2000149,-75.1474,-58.4507,1
2000150,-75.1474,-58.4507,1
2000151,-75.1262,-58.3166,1
2000152,-75.1262,-58.3166,1
2000153,-75.1262,-58.3166,1
2000154,-75.1262,-58.3166,1
2000155,-75.1262,-58.3166,1
2000156,-75.1262,-58.3166,1
2000157,-75.1262,-58.3166,1
2000158,-75.1049,-58.1828,1
2000159,-75.1049,-58.1828,1
2000160,-75.1049,-58.1828,1
2000161,-75.1049,-58.1828,1
2000162,-75.0706,-58.2655,1
2000163,-75.0706,-58.2655,1
2000164,-75.0706,-58.2655,1
2000165,-75.0836,-58.0495,1
2000166,-75.0836,-58.0495,1
2000167,-75.0836,-58.0495,1
2000168,-75.0836,-58.0495,1
2000169,-75.0836,-58.0495,1
2000170,-75.0836,-58.0495,1
2000171,-75.0836,-58.0495,1
2000172,-75.0836,-58.0495,1
2000173,-75.0836,-58.0495,1
2000174,-75.0279,-57.9996,1
2000175,-75.0279,-57.9996,1
2000176,-75.0279,-57.9996,1
2000177,-75.0279,-57.9996,1
2000178,-75.0493,-58.1323,1
2000179,-75.0493,-58.1323,1
2000180,-75.0493,-58.1323,1
2000181,-75.0493,-58.1323,1
2000182,-75.0493,-58.1323,1
2000183,-75.0493,-58.1323,1
2000184,-75.0493,-58.1323,1
2000185,-75.0493,-58.1323,1
2000186,-75.0362,-58.3478,1
2000187,-75.0362,-58.3478,1
2000188,-75.0362,-58.3478,1
2000189,-75.0362,-58.3478,1
2000190,-75.0362,-58.3478,1
2000191,-75.0362,-58.3478,1
2000192,-75.0362,-58.3478,1
2000193,-75.0362,-58.3478,1
2000194,-75.0362,-58.3478,1
2000195,-75.0362,-58.3478,1
2000196,-75.0362,-58.3478,1
2000197,-75.0362,-58.3478,1
2000198,-75.0362,-58.3478,1
2000199,-75.0362,-58.3478,1
2000200,-75.019,-58.3888,0
2000201,-75.0018,-58.4297,1
2000202,-75.0018,-58.4297,1
2000203,-75.0018,-58.4297,1
2000204,-75.0018,-58.4297,1
2000205,-74.9673,-58.5112,1
2000206,-74.9673,-58.5112,1
2000207,-74.9673,-58.5112,1
2000208,-74.9673,-58.5112,1
2000209,-74.9673,-58.5112,1
2000210,-74.9673,-58.5112,1
2000211,-74.9673,-58.5112,1
2000212,-74.9462,-58.3786,1
2000213,-74.9462,-58.3786,1
2000214,-74.9462,-58.3786,1
2000215,-74.9462,-58.3786,1
2000216,-74.925,-58.2464,1
2000217,-74.9037,-58.1146,1
2000218,-74.9037,-58.1146,1
2000219,-74.8694,-58.1963,1
2000220,-74.8694,-58.1963,1
2000221,-74.8694,-58.1963,1
2000222,-74.8694,-58.1963,1
2000223,-74.8137,-58.1465,1
2000224,-74.8137,-58.1465,1
2000225,-74.8137,-58.1465,1
2000226,-74.8137,-58.1465,1
