date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1998270,0,0,0,-76.3,-38.9,1,0,0,0,17,12
1998283,-76.16,-39.07,1,0,0,0,0,0,0,0,0
1998284,-76.16,-39.07,1,-76.3,-38.9,1,0,0,0,17,12
1998285,-76.16,-39.07,1,-76.3,-38.9,0,0,0,0,0,0
1998286,-76.16,-39.07,1,-76.3,-38.9,0,0,0,0,0,0
1998287,-76.16,-39.07,1,-76.3,-38.9,0,0,0,0,0,0
1998288,-76.16,-39.07,1,-76.3,-38.9,0,0,0,0,0,0
1998289,-76.1407,-39.0663,1,-76.3,-38.9,0,0,0,0,0,0
1998290,-76.102,-39.0589,1,-76.3,-38.9,0,0,0,0,0,0
1998291,-76.0633,-39.0516,1,-76.3,-38.9,1,0,0,0,17,12
1998292,-76.044,-39.0479,1,-76.3,-38.9,0,0,0,0,0,0
1998293,-76.044,-39.0479,1,-76.3,-38.9,0,0,0,0,0,0
1998294,-76.044,-39.0479,1,-76.3,-38.9,0,0,0,0,0,0
1998295,-76.039,-39.0854,1,-76.3,-38.9,0,0,0,0,0,0
1998296,-76.0289,-39.1602,1,-76.3,-38.9,0,0,0,0,0,0
1998297,-76.0188,-39.2352,1,-76.3,-38.9,0,0,0,0,0,0
1998298,-76.0138,-39.2726,1,-76.3,-38.9,1,0,0,0,17,12
1998299,-76.0138,-39.2726,1,-76.2922,-38.918,0,0,0,0,0,0
1998300,-76.0138,-39.2726,1,-76.2719,-38.9647,0,0,0,0,0,0
1998301,-76.0138,-39.2726,1,-76.2439,-39.0293,0,0,0,0,0,0
1998302,-76.0138,-39.2726,1,-76.2129,-39.1009,0,0,0,0,0,0
1998303,-76.0138,-39.2726,1,-76.1838,-39.1688,0,0,0,0,0,0
1998304,-76.0138,-39.2726,1,-76.1612,-39.2221,0,0,0,0,0,0
1998305,-76.0138,-39.2726,1,-76.15,-39.25,1,0,0,0,17,12
1998306,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998307,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998308,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998309,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998310,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998311,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998312,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998313,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998314,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998315,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998316,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998317,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998318,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998319,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998320,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998321,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998322,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998323,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998324,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998325,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998326,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998327,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998328,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998329,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998330,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998331,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998332,-76.0138,-39.2726,1,0,0,0,0,0,0,0,0
1998333,-76.0138,-39.2726,1,-76.1,-39.4,1,0,0,0,17,12
1998334,-76.0138,-39.2726,1,-76.0917,-39.4188,0,0,0,0,0,0
1998335,-76.0138,-39.2726,1,-76.0763,-39.4503,0,0,0,0,0,0
1998336,-76.0138,-39.2726,1,-76.057,-39.489,0,0,0,0,0,0
1998337,-76.0138,-39.2726,1,-76.0366,-39.529,0,0,0,0,0,0
1998338,-76.0138,-39.2726,1,-76.0183,-39.5646,0,0,0,0,0,0
1998339,-76.0138,-39.2726,1,-76.0051,-39.5902,0,0,0,0,0,0
1998340,-75.9981,-39.3185,1,-76,-39.6,1,0,0,0,17,9
1998341,-75.9666,-39.4102,1,0,0,0,0,0,0,0,0
1998342,-75.9351,-39.502,1,0,0,0,0,0,0,0,0
1998343,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998344,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998345,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998346,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998347,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998348,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998349,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998350,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998351,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998352,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998353,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998354,-75.9193,-39.5479,1,-76.1,-39.6,1,0,0,0,17,9
1998355,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998356,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998357,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998358,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998359,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998360,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998361,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998362,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998363,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998364,-75.9193,-39.5479,1,0,0,0,0,0,0,0,0
1998365,-75.8802,-39.6032,0,0,0,0,0,0,0,0,0
1999001,-75.8082,-39.7053,1,0,0,0,0,0,0,0,0
1999002,-75.8081,-39.7056,1,0,0,0,0,0,0,0,0
1999003,-75.8079,-39.7058,1,-75.8,-40.2,1,0,0,0,17,9
1999004,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999005,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999006,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999007,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999008,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999009,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999010,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999011,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999012,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999013,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999014,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999015,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999016,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999017,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999018,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999019,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999020,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999021,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999022,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999023,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999024,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999025,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999026,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999027,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999028,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999029,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999030,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999031,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999032,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999033,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999034,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999035,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999036,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999037,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999038,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999039,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999040,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999041,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999042,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999043,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999044,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999045,-75.8079,-39.7058,1,-75.8,-40.4,1,0,0,0,17,9
1999046,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999047,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999048,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999049,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999050,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999051,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999052,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999053,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999054,-75.8079,-39.7058,1,0,0,0,0,0,0,0,0
1999055,-75.768,-39.7496,1,0,0,0,0,0,0,0,0
1999056,-75.6883,-39.8373,1,0,0,0,0,0,0,0,0
1999057,-75.6085,-39.925,1,0,0,0,0,0,0,0,0
1999058,-75.5677,-40.0271,1,0,0,0,0,0,0,0,0
1999059,-75.566,-40.1437,1,0,0,0,0,0,0,0,0
1999060,-75.5642,-40.2603,1,0,0,0,0,0,0,0,0
1999061,-75.5633,-40.3186,1,0,0,0,0,0,0,0,0
1999062,-75.5633,-40.3186,1,0,0,0,0,0,0,0,0
1999063,-75.5633,-40.3186,1,0,0,0,0,0,0,0,0
1999064,-75.5399,-40.4165,1,0,0,0,0,0,0,0,0
1999065,-75.4931,-40.6123,1,0,0,0,0,0,0,0,0
1999066,-75.4463,-40.8081,1,0,0,0,0,0,0,0,0
1999067,-75.3982,-40.9263,1,0,0,0,0,0,0,0,0
1999068,-75.3488,-40.9669,1,0,0,0,0,0,0,0,0
1999069,-75.2994,-41.0075,1,0,0,0,0,0,0,0,0
1999070,-75.2455,-40.9986,1,0,0,0,0,0,0,0,0
1999071,-75.1872,-40.94,1,0,0,0,0,0,0,0,0
1999072,-75.1288,-40.8816,1,0,0,0,0,0,0,0,0
1999073,-75.0996,-40.8523,1,0,0,0,0,0,0,0,0
1999074,-75.0996,-40.8523,1,0,0,0,0,0,0,0,0
1999075,-75.0996,-40.8523,1,0,0,0,0,0,0,0,0
1999076,-75.1375,-40.9462,1,0,0,0,0,0,0,0,0
1999077,-75.2133,-41.1339,1,0,0,0,0,0,0,0,0
1999078,-75.2892,-41.3216,1,0,0,0,0,0,0,0,0
1999079,-75.3419,-41.5491,1,0,0,0,0,0,0,0,0
1999080,-75.3715,-41.8163,1,-75.4,-42.2,1,0,0,0,17,9
1999081,-75.4012,-42.0835,1,0,0,0,0,0,0,0,0
1999082,-75.416,-42.2171,1,0,0,0,0,0,0,0,0
1999083,-75.416,-42.2171,1,0,0,0,0,0,0,0,0
1999084,-75.416,-42.2171,1,0,0,0,0,0,0,0,0
1999085,-75.3994,-42.1484,1,0,0,0,0,0,0,0,0
1999086,-75.3662,-42.0109,1,0,0,0,0,0,0,0,0
1999087,-75.333,-41.8734,1,0,0,0,0,0,0,0,0
1999088,-75.2945,-41.8616,1,0,0,0,0,0,0,0,0
1999089,-75.2506,-41.9757,1,0,0,0,0,0,0,0,0
1999090,-75.2067,-42.0897,1,0,0,0,0,0,0,0,0
1999091,-75.1848,-42.1467,1,0,0,0,0,0,0,0,0
1999092,-75.1848,-42.1467,1,0,0,0,0,0,0,0,0
1999093,-75.1848,-42.1467,1,0,0,0,0,0,0,0,0
1999094,-75.1848,-42.1467,1,0,0,0,0,0,0,0,0
1999095,-75.1848,-42.1467,1,0,0,0,0,0,0,0,0
1999096,-75.1848,-42.1467,1,0,0,0,0,0,0,0,0
1999097,-75.1848,-42.1467,1,0,0,0,0,0,0,0,0
1999098,-75.1848,-42.1467,1,0,0,0,0,0,0,0,0
1999099,-75.1848,-42.1467,1,0,0,0,0,0,0,0,0
1999100,-75.1997,-42.2896,1,0,0,0,0,0,0,0,0
1999101,-75.2295,-42.5755,1,0,0,0,0,0,0,0,0
1999102,-75.2593,-42.8614,1,0,0,0,0,0,0,0,0
1999103,-75.265,-43.0703,1,0,0,0,0,0,0,0,0
1999104,-75.2465,-43.2023,1,0,0,0,0,0,0,0,0
1999105,-75.2281,-43.3343,1,0,0,0,0,0,0,0,0
1999106,-75.2189,-43.4003,1,0,0,0,0,0,0,0,0
1999107,-75.2189,-43.4003,1,0,0,0,0,0,0,0,0
1999108,-75.2189,-43.4003,1,0,0,0,0,0,0,0,0
1999109,-75.2279,-43.4793,1,0,0,0,0,0,0,0,0
1999110,-75.2458,-43.6372,1,0,0,0,0,0,0,0,0
1999111,-75.2636,-43.7951,1,0,0,0,0,0,0,0,0
1999112,-75.2801,-43.9487,1,0,0,0,0,0,0,0,0
1999113,-75.2951,-44.0979,1,0,0,0,0,0,0,0,0
1999114,-75.3101,-44.2471,1,0,0,0,0,0,0,0,0
1999115,-75.3043,-44.3547,1,0,0,0,0,0,0,0,0
1999116,-75.2778,-44.4207,1,0,0,0,0,0,0,0,0
1999117,-75.2513,-44.4868,1,0,0,0,0,0,0,0,0
1999118,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999119,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999120,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999121,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999122,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999123,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999124,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999125,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999126,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999127,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999128,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999129,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999130,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999131,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999132,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999133,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999134,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999135,-75.238,-44.5198,1,0,0,0,0,0,0,0,0
1999136,-75.2114,-44.427,1,0,0,0,0,0,0,0,0
1999137,-75.1583,-44.2413,1,0,0,0,0,0,0,0,0
1999138,-75.1052,-44.0556,1,0,0,0,0,0,0,0,0
1999139,-75.0644,-43.9646,1,0,0,0,0,0,0,0,0
1999140,-75.0361,-43.9682,1,0,0,0,0,0,0,0,0
1999141,-75.0078,-43.9719,1,0,0,0,0,0,0,0,0
1999142,-74.9936,-43.9737,1,0,0,0,0,0,0,0,0
1999143,-74.9936,-43.9737,1,0,0,0,0,0,0,0,0
1999144,-74.9936,-43.9737,1,0,0,0,0,0,0,0,0
1999145,-75.0384,-44.1736,1,0,0,0,0,0,0,0,0
1999146,-75.1282,-44.5734,1,0,0,0,0,0,0,0,0
1999147,-75.2178,-44.9732,1,0,0,0,0,0,0,0,0
