date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1999202,0,0,0,-73.3357,-59.1887,1,0,0,0,0,0
1999203,0,0,0,-73.2805,-59.1402,1,0,0,0,0,0
1999204,0,0,0,-73.2253,-59.0921,1,0,0,0,0,0
1999205,0,0,0,-73.246,-59.2118,1,0,0,0,0,0
1999206,0,0,0,-73.2046,-58.9727,1,0,0,0,0,0
1999207,0,0,0,-73.2046,-58.9727,1,0,0,0,0,0
1999208,0,0,0,-73.2391,-58.9008,1,0,0,0,0,0
1999209,0,0,0,-73.2598,-59.0204,1,0,0,0,0,0
1999210,0,0,0,-73.2598,-59.0204,1,0,0,0,0,0
1999211,0,0,0,-73.1701,-59.0443,1,0,0,0,0,0
1999212,0,0,0,-73.0942,-58.8783,1,0,0,0,0,0
1999213,0,0,0,-73.1494,-58.9253,1,0,0,0,0,0
1999214,0,0,0,-73.0804,-59.0679,1,0,0,0,0,0
1999215,0,0,0,-73.0597,-58.9496,1,0,0,0,0,0
1999216,0,0,0,-73.0389,-58.8315,1,0,0,0,0,0
1999217,0,0,0,-73.0942,-58.8783,1,0,0,0,0,0
1999218,0,0,0,-73.0942,-58.8783,1,0,0,0,0,0
1999219,0,0,0,-73.0597,-58.9496,1,0,0,0,0,0
1999220,0,0,0,-73.0389,-58.8315,1,0,0,0,0,0
1999221,0,0,0,-73.0597,-58.9496,1,0,0,0,0,0
1999222,0,0,0,-73.0942,-58.8783,1,0,0,0,0,0
1999223,0,0,0,-73.0253,-59.0206,1,0,0,0,0,0
1999224,0,0,0,-73.0045,-58.9027,1,0,0,0,0,0
1999225,0,0,0,-73.0389,-58.8315,1,0,0,0,0,0
1999226,0,0,0,-73.0733,-58.7601,1,0,0,0,0,0
1999227,0,0,0,-73.0181,-58.7138,1,0,0,0,0,0
1999228,0,0,0,-73.0389,-58.8315,1,0,0,0,0,0
1999229,0,0,0,-72.9837,-58.7851,1,0,0,0,0,0
1999230,0,0,0,-72.9837,-58.7851,1,0,0,0,0,0
1999231,0,0,0,-72.9285,-58.739,1,0,0,0,0,0
1999232,0,0,0,-72.9628,-58.6678,1,0,0,0,0,0
1999233,0,0,0,-72.9285,-58.739,1,0,0,0,0,0
