date,qscat_1,qscat_2,qscat_3
2004118,-52.1069,-29.2836,1
2004119,-52.0652,-29.7107,1
2004120,-51.9736,-29.717,1
2004121,-51.9693,-29.9916,1
2004122,-52.0594,-30.1038,1
2004123,-52.0629,-30.3215,1
2004124,-52.1888,-30.2794,1
2004125,-52.2867,-30.2707,1
2004126,-52.4077,-30.2578,1
2004127,-52.5389,-30.0009,1
2004128,-52.5389,-30.0009,1
2004129,-52.4371,-29.7371,0
2004130,-52.2856,-29.4372,1
2004131,-52.2008,-29.3918,1
2004132,-52.1534,-29.4183,1
2004133,-52.0328,-29.5005,0
2004134,-51.8649,-29.6143,0
2004135,-51.7449,-29.6717,1
2004136,-51.6983,-29.565,1
2004137,-51.6089,-29.4106,1
2004138,-51.5433,-29.2758,1
2004139,-51.494,-29.068,1
2004140,-51.4453,-28.8994,1
2004141,-51.3612,-28.6649,1
2004142,-51.3168,-28.5489,1
2004143,-51.369,-28.3094,1
2004144,-51.4214,-28.2232,0
2004145,-51.4952,-28.1852,1
2004146,-51.6789,-28.1797,1
2004147,-51.7887,-28.2299,1
2004148,-51.809,-28.3261,1
2004149,-51.9006,-28.2615,0
2004150,-52.0439,-28.183,1
2004151,-52.1986,-28.1644,1
2004152,-52.4952,-28.1186,1
2004153,-52.8599,-28.1137,1
2004154,-53.2151,-27.6313,1
2004155,-53.2372,-27.2767,1
2004156,-53.0793,-27.0064,1
2004157,-52.7242,-26.9492,0
2004158,-52.4232,-26.8974,1
2004159,-52.3612,-26.7297,1
2004160,-52.33,-26.258,1
2004161,-52.3991,-25.2236,1
2004162,-52.3019,-24.6538,1
2004163,-52.232,-24.1963,1
2004164,-52.2978,-23.7332,1
2004165,-52.6288,-23.1441,1
2004166,-52.6954,-22.9401,1
2004167,-52.6785,-22.6023,1
2004168,-52.4357,-22.1261,1
2004169,-52.2559,-21.7507,1
2004170,-52.1059,-21.3111,1
2004171,-52.1161,-20.8942,1
2004172,-52.0687,-20.7915,1
2004173,-51.9586,-20.57,1
2004174,-51.8676,-20.4911,1
2004175,-51.7487,-20.4479,1
2004176,-51.601,-20.4143,1
2004177,-51.4896,-20.3776,0
2004178,-51.3965,-20.3457,1
2004179,-51.3189,-20.3259,1
2004180,-51.2049,-20.2457,1
2004181,-51.135,-20.0551,0
2004182,-51.0719,-19.9164,1
2004183,-50.9932,-20.0138,1
2004184,-50.8759,-19.6557,1
2004185,-50.8483,-19.4968,1
2004186,-50.8311,-19.2885,1
2004187,-50.8924,-19.1077,1
2004188,-50.9115,-18.816,1
2004189,-50.9751,-18.6021,1
2004190,-50.9154,-18.5133,1
2004191,-50.9631,-18.3805,1
2004192,-50.9006,-18.3413,1
2004193,-50.9913,-18.2769,1
2004194,-51.1687,-18.1265,1
2004195,-51.3217,-18.0302,0
2004196,-51.4642,-17.9522,0
2004197,-51.6142,-17.8564,1
2004198,-51.7829,-17.7083,1
2004199,-51.7829,-17.7083,1
2004200,-51.7881,-17.5884,1
2004201,-51.7881,-17.5884,1
2004202,-51.8246,-17.3326,1
2004203,-51.8246,-17.3326,1
2004204,-51.8246,-17.3326,1
2004205,-51.6909,-16.6963,1
2004206,-51.4985,-16.3536,1
2004207,-51.4554,-16.3763,1
2004208,-51.3105,-16.4716,1
2004209,-51.1639,-16.7219,1
2004210,-51.0109,-17.2761,1
2004211,-50.9153,-17.586,0
2004212,-50.8128,-17.81,1
2004213,-50.6148,-17.9806,1
2004214,-50.3376,-17.7032,1
2004215,-50.2513,-17.6192,1
2004216,-50.3404,-17.3351,1
2004217,-50.3404,-17.3351,1
2004218,-50.5682,-17.1752,1
2004219,-50.5682,-17.1752,0
2004220,-50.5682,-17.1752,1
2004221,-50.614,-17.2809,1
2004222,-50.6527,-17.3295,1
2004223,-50.644,-17.5698,1
2004224,-50.6393,-17.6611,1
2004225,-50.6561,-17.6488,0
2004226,-50.6931,-17.6218,0
2004227,-50.7302,-17.5948,0
2004228,-50.747,-17.5825,1
2004229,-50.7039,-17.8409,1
2004230,-50.74,-17.6938,1
2004231,-50.74,-17.6938,1
2004232,-50.7399,-17.7863,1
2004233,-50.7525,-17.8431,0
2004234,-50.7651,-17.8766,1
2004235,-50.7226,-17.8875,1
2004236,-50.5029,-17.8521,0
2004237,-50.316,-17.8167,1
2004238,-50.316,-17.8167,1
2004239,-50.3918,-17.5444,1
2004240,-50.5886,-17.0354,1
2004241,-50.6492,-16.8959,1
2004242,-50.7072,-16.9485,1
2004243,-50.7809,-16.9504,1
2004244,-50.8961,-16.9548,1
