date,qscat_1,qscat_2,qscat_3
2004120,-52.1762,-27.5651,1
2004121,-52.505,-26.9117,0
2004122,-52.7202,-26.3822,0
2004123,-52.8377,-25.9787,0
2004124,-52.8733,-25.7035,1
2004125,-52.7768,-25.5495,1
2004126,-52.6211,-25.5391,1
2004127,-52.3061,-25.2084,1
2004128,-52.217,-25.1095,1
2004129,-51.9997,-24.9505,0
2004130,-51.7828,-24.8163,1
2004131,-51.6945,-24.7705,1
2004132,-51.6039,-24.6572,1
2004133,-51.5656,-24.5356,1
2004134,-51.5656,-24.5356,1
2004135,-51.5148,-24.1945,1
2004136,-51.5847,-23.9045,1
2004137,-51.7744,-23.7159,1
2004138,-51.9532,-23.4697,1
2004139,-52.1894,-23.0542,1
2004140,-52.2635,-22.6668,1
2004141,-52.4053,-22.1368,1
2004142,-52.4926,-21.6614,1
2004143,-52.5052,-21.3624,1
2004144,-52.4021,-21.0402,1
2004145,-52.2886,-20.8666,1
2004146,-52.1423,-20.9413,1
2004147,-51.9656,-21.0132,1
2004148,-51.8244,-21.1792,1
2004149,-51.6348,-21.4708,0
2004150,-51.4315,-21.8095,0
2004151,-51.3038,-21.9836,1
2004152,-51.2627,-21.9963,1
2004153,-51.4328,-22.8748,1
2004154,-51.3924,-23.1472,1
2004155,-51.4812,-23.3679,1
2004156,-51.5643,-23.4878,1
2004157,-51.7808,-23.4305,0
2004158,-51.9419,-23.3665,1
2004159,-51.847,-23.3583,1
2004160,-51.8054,-23.3712,0
2004161,-51.7763,-23.407,0
2004162,-51.7534,-23.4608,0
2004163,-51.7303,-23.5281,1
2004164,-51.7071,-23.6651,1
2004165,-51.9223,-23.4481,1
2004166,-51.8496,-23.2786,0
2004167,-51.6897,-23.1357,0
2004168,-51.5297,-22.9746,0
2004169,-51.457,-22.7505,1
2004170,-51.7843,-22.3226,1
2004171,-51.7778,-21.5266,0
2004172,-51.758,-20.9272,1
2004173,-51.6136,-20.8528,1
