date,nic_1,nic_2,nic_3,size_1,size_2
1999031,-77.5,-49.2,1,19,6
1999045,-77.5,-49.8,1,19,6
1999080,-77.4,-50,1,19,6
1999108,-77.8,-49.9,1,19,6
1999122,-77.3,-50.1,1,19,6
1999136,-77.3,-50.2,1,19,6
1999150,-77.3,-50.2,1,19,6
1999171,-77.3,-50.2,1,19,6
1999178,-77.4,-50.3,1,19,6
1999185,-77.4,-50.3,1,19,6
1999199,-77.4,-50.3,1,19,6
1999220,-77.4,-50.3,1,19,6
1999241,-77.4,-50.3,1,19,6
1999255,-77.3,-50.1,1,19,6
1999276,-77.3,-50.1,1,19,6
1999325,-77.3,-50.1,1,19,6
1999332,-77.3,-50.1,1,19,6
1999353,-77.3,-50.1,1,19,6
2000002,-77.3,-50.1,1,19,6
2000009,-77.3,-50.1,1,19,6
2000044,-77.3,-50.1,1,19,6
2000051,-77.3,-50.1,1,19,6
2000065,-77.3,-50.1,1,19,6
2000079,-77.3,-50.1,1,19,6
2000093,-77.3,-50.1,1,19,6
2000121,-77.3,-50.1,1,19,6
2000149,-77.3,-50.1,1,19,6
2000156,-77.3,-50.1,1,19,6
2000170,-77.3,-50.1,1,19,6
2000177,-77.3,-50.1,1,19,6
2000184,-77.3,-50.1,1,19,6
2000198,-77.3,-50.1,1,19,6
2000205,-77.3,-50.1,1,19,6
2000212,-77.3,-50.1,1,19,6
2000219,-77.3,-50.1,1,19,6
2000226,-77.3,-50.1,1,19,6
2000233,-77.3,-50.1,1,19,6
2000275,-77.3,-50.1,1,19,6
2001007,-77.3,-50.1,1,19,6
2001126,-77.3,-49,1,19,6
