date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1999136,-77.6,-48.9,1,0,0,0,0,0,0,20,5
1999150,-77.7,-48.8,1,0,0,0,0,0,0,20,5
2000170,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2000171,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000172,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000173,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000174,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000175,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000176,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000177,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2000178,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000179,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000180,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000181,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000182,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000183,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000184,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2000198,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2000199,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000200,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000201,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000202,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000203,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000204,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000205,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2000206,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000207,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000208,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000209,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000210,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000211,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000212,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2000213,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000214,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000215,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000216,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000217,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000218,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000219,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2000220,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000221,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000222,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000223,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000224,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000225,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000226,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2000227,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000228,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000229,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000230,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000231,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000232,-77.1,-48.7,0,0,0,0,0,0,0,0,0
2000233,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2000275,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2000317,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2001007,-77.1,-48.7,1,0,0,0,0,0,0,20,5
2001009,0,0,0,-77.1,-48.7,1,0,0,0,0,0
2001010,0,0,0,-77.1115,-48.7163,1,0,0,0,0,0
2001011,0,0,0,-77.2134,-48.7265,1,0,0,0,0,0
2001012,0,0,0,-77.2134,-48.7265,1,0,0,0,0,0
2001013,0,0,0,-77.177,-48.5293,1,0,0,0,0,0
2001014,0,0,0,-77.177,-48.5293,1,0,0,0,0,0
2001015,0,0,0,-77.1954,-48.7494,1,0,0,0,0,0
2001016,0,0,0,-77.1988,-48.5498,1,0,0,0,0,0
2001017,0,0,0,-77.1988,-48.5498,1,0,0,0,0,0
2001018,0,0,0,-77.2021,-48.5849,1,0,0,0,0,0
2001019,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001020,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001021,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001022,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001023,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001024,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001025,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001026,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001027,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001028,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001029,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001030,0,0,0,-77.1965,-48.5381,1,0,0,0,0,0
2001031,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001032,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001033,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001034,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001035,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001036,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001037,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001038,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001039,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001040,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001041,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001042,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001043,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
2001044,0,0,0,-77.184,-48.8919,1,0,0,0,0,0
