date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2000051,-75.2,-58.9,1,0,0,0,0,0,0,93,18
2000128,-75.2,-59,1,0,0,0,0,0,0,93,18
2000136,0,0,0,-75.0858,-58.9646,1,0,0,0,0,0
2000137,0,0,0,-75.0858,-58.9646,1,0,0,0,0,0
2000138,0,0,0,-75.0858,-58.9646,1,0,0,0,0,0
2000139,0,0,0,-75.1204,-58.8835,1,0,0,0,0,0
2000140,0,0,0,-75.1204,-58.8835,1,0,0,0,0,0
2000141,0,0,0,-75.1204,-58.8835,1,0,0,0,0,0
2000142,0,0,0,-75.1474,-58.4507,1,0,0,0,0,0
2000143,0,0,0,-75.1474,-58.4507,1,0,0,0,0,0
2000144,0,0,0,-75.1474,-58.4507,1,0,0,0,0,0
2000145,0,0,0,-75.1474,-58.4507,1,0,0,0,0,0
2000146,0,0,0,-75.1474,-58.4507,1,0,0,0,0,0
2000147,0,0,0,-75.1474,-58.4507,1,0,0,0,0,0
2000148,0,0,0,-75.1474,-58.4507,1,0,0,0,0,0
2000149,-75.1,-59,1,-75.1474,-58.4507,1,0,0,0,93,18
2000150,0,0,0,-75.1474,-58.4507,1,0,0,0,0,0
2000151,0,0,0,-75.1262,-58.3166,1,0,0,0,0,0
2000152,0,0,0,-75.1262,-58.3166,1,0,0,0,0,0
2000153,0,0,0,-75.1262,-58.3166,1,0,0,0,0,0
2000154,0,0,0,-75.1262,-58.3166,1,0,0,0,0,0
2000155,0,0,0,-75.1262,-58.3166,1,0,0,0,0,0
2000156,0,0,0,-75.1262,-58.3166,1,0,0,0,0,0
2000157,0,0,0,-75.1262,-58.3166,1,0,0,0,0,0
2000158,0,0,0,-75.1049,-58.1828,1,0,0,0,0,0
2000159,0,0,0,-75.1049,-58.1828,1,0,0,0,0,0
2000160,0,0,0,-75.1049,-58.1828,1,0,0,0,0,0
2000161,0,0,0,-75.1049,-58.1828,1,0,0,0,0,0
2000162,0,0,0,-75.0706,-58.2655,1,0,0,0,0,0
2000163,0,0,0,-75.0706,-58.2655,1,0,0,0,0,0
2000164,0,0,0,-75.0706,-58.2655,1,0,0,0,0,0
2000165,0,0,0,-75.0836,-58.0495,1,0,0,0,0,0
2000166,0,0,0,-75.0836,-58.0495,1,0,0,0,0,0
2000167,0,0,0,-75.0836,-58.0495,1,0,0,0,0,0
2000168,0,0,0,-75.0836,-58.0495,1,0,0,0,0,0
2000169,0,0,0,-75.0836,-58.0495,1,0,0,0,0,0
2000170,-75,-58.8,1,-75.0836,-58.0495,1,0,0,0,93,18
2000171,-75,-58.8222,0,-75.0836,-58.0495,1,0,0,0,0,0
2000172,-75,-58.8793,0,-75.0836,-58.0495,1,0,0,0,0,0
2000173,-75,-58.9574,0,-75.0836,-58.0495,1,0,0,0,0,0
2000174,-75,-59.0426,0,-75.0279,-57.9996,1,0,0,0,0,0
2000175,-75,-59.1207,0,-75.0279,-57.9996,1,0,0,0,0,0
2000176,-75,-59.1778,0,-75.0279,-57.9996,1,0,0,0,0,0
2000177,-75,-59.2,1,-75.0279,-57.9996,1,0,0,0,93,18
2000178,-75,-59.185,0,-75.0493,-58.1323,1,0,0,0,0,0
2000179,-75,-59.146,0,-75.0493,-58.1323,1,0,0,0,0,0
2000180,-75,-59.0917,0,-75.0493,-58.1323,1,0,0,0,0,0
2000181,-75,-59.0311,0,-75.0493,-58.1323,1,0,0,0,0,0
2000182,-75,-58.973,0,-75.0493,-58.1323,1,0,0,0,0,0
2000183,-75,-58.9264,0,-75.0493,-58.1323,1,0,0,0,0,0
2000184,-75,-58.9,1,-75.0493,-58.1323,1,0,0,0,93,18
2000185,0,0,0,-75.0493,-58.1323,1,0,0,0,0,0
2000186,0,0,0,-75.0362,-58.3478,1,0,0,0,0,0
2000187,0,0,0,-75.0362,-58.3478,1,0,0,0,0,0
2000188,0,0,0,-75.0362,-58.3478,1,0,0,0,0,0
2000189,0,0,0,-75.0362,-58.3478,1,0,0,0,0,0
2000190,0,0,0,-75.0362,-58.3478,1,0,0,0,0,0
2000191,0,0,0,-75.0362,-58.3478,1,0,0,0,0,0
