date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
2000128,-76.4,-53.4,1,0,0,0,0,0,0,44,24
2000149,-76.3,-53.2,1,0,0,0,0,0,0,44,24
2000150,-76.3055,-53.2055,0,-76.1494,-53.3515,1,0,0,0,0,0
2000151,-76.3198,-53.2198,0,-76.1252,-53.216,1,0,0,0,0,0
2000152,-76.3394,-53.2394,0,-76.1252,-53.216,1,0,0,0,0,0
2000153,-76.3606,-53.2606,0,-76.1252,-53.216,1,0,0,0,0,0
2000154,-76.3802,-53.2802,0,-76.1252,-53.216,1,0,0,0,0,0
2000155,-76.3945,-53.2945,0,-76.1252,-53.216,1,0,0,0,0,0
2000156,-76.4,-53.3,1,-76.1252,-53.216,1,0,0,0,44,24
2000157,0,0,0,-76.1252,-53.216,1,0,0,0,0,0
2000158,0,0,0,-76.1252,-53.216,1,0,0,0,0,0
2000159,0,0,0,-76.1252,-53.216,1,0,0,0,0,0
2000160,0,0,0,-76.0927,-53.3169,1,0,0,0,0,0
2000161,0,0,0,-76.1169,-53.4522,1,0,0,0,0,0
2000162,0,0,0,-76.0843,-53.5525,1,0,0,0,0,0
2000163,0,0,0,-76.0843,-53.5525,1,0,0,0,0,0
2000164,0,0,0,-76.0843,-53.5525,1,0,0,0,0,0
2000165,0,0,0,-76.0843,-53.5525,1,0,0,0,0,0
2000166,0,0,0,-76.1083,-53.6881,1,0,0,0,0,0
2000167,0,0,0,-76.1323,-53.8242,1,0,0,0,0,0
2000168,0,0,0,-76.1323,-53.8242,1,0,0,0,0,0
2000169,0,0,0,-76.1083,-53.6881,1,0,0,0,0,0
2000170,-76.2,-53.3,1,-76.1083,-53.6881,1,0,0,0,44,24
2000171,-76.2,-53.3166,0,-76.1083,-53.6881,1,0,0,0,0,0
2000172,-76.2,-53.3595,0,-76.1083,-53.6881,1,0,0,0,0,0
2000173,-76.2,-53.4181,0,-76.1083,-53.6881,1,0,0,0,0,0
2000174,-76.2,-53.4819,0,-76.1083,-53.6881,1,0,0,0,0,0
2000175,-76.2,-53.5405,0,-76.1083,-53.6881,1,0,0,0,0,0
