date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2001273,-70.1,-57.5,1,0,0,0,21,2
2001276,0,0,0,-70.0014,-57.8275,1,0,0
2001277,0,0,0,-70.0014,-57.8275,1,0,0
2001278,0,0,0,-70.0014,-57.8275,1,0,0
2001279,0,0,0,-70.0014,-57.8275,1,0,0
2001280,0,0,0,-70.0014,-57.8275,1,0,0
2001281,0,0,0,-70.0014,-57.8275,1,0,0
2001282,0,0,0,-70.0014,-57.8275,1,0,0
2001283,0,0,0,-70.0014,-57.8275,1,0,0
2001284,0,0,0,-70.0014,-57.8275,1,0,0
2001285,0,0,0,-70.0014,-57.8275,1,0,0
2001286,0,0,0,-70.0014,-57.8275,1,0,0
2001287,0,0,0,-70.0014,-57.8275,1,0,0
2001288,0,0,0,-70.0014,-57.8275,1,0,0
2001289,0,0,0,-70.0014,-57.8275,1,0,0
2001290,0,0,0,-70.0014,-57.8275,1,0,0
2001291,0,0,0,-70.1628,-57.6121,1,0,0
2001292,0,0,0,-70.1628,-57.6121,1,0,0
2001293,0,0,0,-70.1628,-57.6121,1,0,0
2001294,0,0,0,-70.1628,-57.6121,1,0,0
2001295,0,0,0,-70.1628,-57.6121,1,0,0
2001296,0,0,0,-70.1628,-57.6121,1,0,0
2001297,0,0,0,-70.1628,-57.6121,1,0,0
2001298,0,0,0,-70.0761,-57.4373,1,0,0
2001299,0,0,0,-70.0761,-57.4373,1,0,0
2001300,0,0,0,-70.0341,-57.662,1,0,0
2001301,0,0,0,-70.0341,-57.662,1,0,0
2001302,0,0,0,-70.0341,-57.662,1,0,0
2001303,0,0,0,-70.0341,-57.662,1,0,0
2001304,0,0,0,-70.0341,-57.662,1,0,0
2001305,0,0,0,-70.0341,-57.662,1,0,0
2001306,0,0,0,-70.0341,-57.662,1,0,0
2001307,0,0,0,-70.174,-57.595,1,0,0
2001308,0,0,0,-70.174,-57.595,1,0,0
2001309,0,0,0,-70.174,-57.595,1,0,0
2001310,0,0,0,-70.174,-57.595,1,0,0
2001311,0,0,0,-70.174,-57.595,1,0,0
2001312,0,0,0,-70.174,-57.595,1,0,0
2001313,0,0,0,-70.174,-57.595,1,0,0
2001314,0,0,0,-70.174,-57.595,1,0,0
2001315,0,0,0,-70.165,-57.8203,1,0,0
2001316,0,0,0,-70.165,-57.8203,1,0,0
2001317,0,0,0,-70.165,-57.8203,1,0,0
2001318,0,0,0,-70.165,-57.8203,1,0,0
2001319,0,0,0,-70.165,-57.8203,1,0,0
2001320,0,0,0,-70.165,-57.8203,1,0,0
2001321,0,0,0,-70.165,-57.8203,1,0,0
2001322,0,0,0,-70.165,-57.8203,0,0,0
2001323,0,0,0,-70.165,-57.8203,1,0,0
2001324,0,0,0,-70.165,-57.8203,1,0,0
2001325,0,0,0,-70.165,-57.8203,1,0,0
2001326,0,0,0,-70.0748,-57.7935,1,0,0
2001327,0,0,0,-70.0748,-57.7935,1,0,0
2001328,0,0,0,-70.0748,-57.7935,1,0,0
2001329,0,0,0,-70.0748,-57.7935,1,0,0
2001330,0,0,0,-70.0748,-57.7935,1,0,0
2001331,0,0,0,-70.0748,-57.7935,1,0,0
2001332,0,0,0,-70.0748,-57.7935,1,0,0
2001333,0,0,0,-70.0748,-57.7935,1,0,0
2001334,0,0,0,-70.0748,-57.7935,1,0,0
2001335,0,0,0,-70.0748,-57.7935,1,0,0
2001336,-70,-57.5,1,-70.0748,-57.7935,1,21,2
2001337,-70.0055,-57.4887,0,-70.0748,-57.7935,1,0,0
2001338,-70.0198,-57.4582,0,-70.0748,-57.7935,1,0,0
2001339,-70.0394,-57.4138,0,-70.0748,-57.7935,1,0,0
2001340,-70.0606,-57.3606,0,-70.0748,-57.7935,1,0,0
2001341,-70.0802,-57.3038,0,-70.0748,-57.7935,1,0,0
2001342,-70.0945,-57.2485,0,-70.0748,-57.7935,1,0,0
2001343,-70.1,-57.2,1,-70.0748,-57.7935,1,21,2
2001344,0,0,0,-70.0748,-57.7935,1,0,0
2001345,0,0,0,-70.0748,-57.7935,1,0,0
2001346,0,0,0,-70.0748,-57.7935,1,0,0
2001347,0,0,0,-70.0748,-57.7935,1,0,0
2001348,0,0,0,-70.14,-57.6106,1,0,0
2001349,0,0,0,-70.14,-57.6106,1,0,0
2001350,0,0,0,-70.14,-57.6106,1,0,0
2003005,-58.4,-39.7,1,0,0,0,12,2
2003007,0,0,0,-58.4322,-39.7612,1,0,0
2003022,0,0,0,-57.1064,-36.4454,1,0,0
2003023,0,0,0,-56.6079,-35.8415,1,0,0
2003040,-56.7,-33.7,1,0,0,0,12,2
2003042,0,0,0,-56.713,-33.7167,1,0,0
2003043,0,0,0,-56.6478,-33.6875,1,0,0
2003044,0,0,0,-56.5486,-33.5766,1,0,0
2003045,0,0,0,-56.4431,-33.461,1,0,0
2003046,0,0,0,-56.4431,-33.461,1,0,0
2003047,0,0,0,-56.3688,-33.394,1,0,0
2003048,0,0,0,-56.1933,-33.057,1,0,0
2003049,0,0,0,-56.0453,-32.8388,1,0,0
2003050,0,0,0,-56.0055,-32.8057,1,0,0
2003051,0,0,0,-55.8188,-32.676,1,0,0
2003052,0,0,0,-55.7343,-32.5028,1,0,0
2003053,0,0,0,-55.7038,-32.4311,1,0,0
2003054,0,0,0,-55.6304,-32.2989,1,0,0
2003055,0,0,0,-55.5571,-32.147,1,0,0
2003056,0,0,0,-55.4886,-32.1785,1,0,0
2003057,0,0,0,-55.4139,-32.0998,1,0,0
2003058,0,0,0,-55.4139,-32.0998,1,0,0
2003059,0,0,0,-55.3189,-32.1695,1,0,0
2003060,0,0,0,-55.3013,-32.3262,1,0,0
2003061,0,0,0,-55.2436,-32.4465,1,0,0
2003062,0,0,0,-55.2436,-32.4465,1,0,0
2003063,0,0,0,-55.116,-32.4785,1,0,0
2003064,0,0,0,-54.8262,-32.5664,1,0,0
2003065,0,0,0,-55.0925,-32.7895,1,0,0
2003066,0,0,0,-54.6364,-32.7021,1,0,0
2003067,0,0,0,-54.6098,-32.7812,1,0,0
2003068,0,0,0,-54.5856,-32.8613,1,0,0
2003069,0,0,0,-54.4787,-33.0792,1,0,0
2003070,0,0,0,-54.4787,-33.0792,1,0,0
2003096,-59.2,-35.8,1,0,0,0,12,2
2003292,-53.4,-40.4,1,0,0,0,12,2
