date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2006018,0,0,0,-65.5202,-61.504,1,0,0
2006019,0,0,0,-65.628,-61.5129,1,0,0
2006020,0,0,0,-65.628,-61.5129,1,0,0
2006021,0,0,0,-65.628,-61.5129,1,0,0
2006022,0,0,0,-65.628,-61.5129,1,0,0
2006023,0,0,0,-65.628,-61.5129,1,0,0
2006024,0,0,0,-65.628,-61.5129,1,0,0
2006025,0,0,0,-65.628,-61.5129,1,0,0
2006026,0,0,0,-65.628,-61.5129,1,0,0
2006027,0,0,0,-65.628,-61.5129,1,0,0
2006028,0,0,0,-65.628,-61.5129,1,0,0
2006029,0,0,0,-65.628,-61.5129,1,0,0
2006030,0,0,0,-65.628,-61.5129,1,0,0
2006031,0,0,0,-65.628,-61.5129,1,0,0
2006032,0,0,0,-65.628,-61.5129,1,0,0
2006033,0,0,0,-65.628,-61.5129,1,0,0
2006034,0,0,0,-65.628,-61.5129,1,0,0
2006035,0,0,0,-65.628,-61.5129,1,0,0
2006036,-65.73,-61.48,1,-65.628,-61.5129,1,25,13
2006037,0,0,0,-65.628,-61.5129,1,0,0
2006038,0,0,0,-65.628,-61.5129,1,0,0
2006039,0,0,0,-65.628,-61.5129,1,0,0
2006040,0,0,0,-65.628,-61.5129,1,0,0
2006041,0,0,0,-65.628,-61.5129,1,0,0
2006042,0,0,0,-65.628,-61.5129,1,0,0
2006043,0,0,0,-65.628,-61.5129,1,0,0
2006044,0,0,0,-65.628,-61.5129,1,0,0
2006045,0,0,0,-65.596,-61.3926,1,0,0
2006046,0,0,0,-65.596,-61.3926,1,0,0
2006047,0,0,0,-65.596,-61.3926,1,0,0
2006048,0,0,0,-65.596,-61.3926,1,0,0
2006049,0,0,0,-65.596,-61.3926,1,0,0
2006050,-65.63,-61.42,1,-65.596,-61.3926,1,30,13
2006051,0,0,0,-65.596,-61.3926,1,0,0
2006052,0,0,0,-65.596,-61.3926,1,0,0
2006053,0,0,0,-65.596,-61.3926,1,0,0
2006054,0,0,0,-65.596,-61.3926,1,0,0
2006055,0,0,0,-65.596,-61.3926,1,0,0
2006056,0,0,0,-65.596,-61.3926,1,0,0
2006057,-65.52,-61.32,1,-65.4781,-61.3912,1,30,13
2006058,0,0,0,-65.4781,-61.3912,1,0,0
2006059,0,0,0,-65.4781,-61.3912,1,0,0
2006060,0,0,0,-65.4781,-61.3912,1,0,0
2006061,0,0,0,-65.4781,-61.3912,1,0,0
2006062,0,0,0,-65.4781,-61.3912,1,0,0
2006063,0,0,0,-65.4781,-61.3912,1,0,0
2006064,-65.405,-61.34,1,-65.4781,-61.3912,1,30,13
2006065,0,0,0,-65.4277,-61.2166,1,0,0
2006066,0,0,0,-65.4277,-61.2166,1,0,0
2006067,0,0,0,-65.4277,-61.2166,1,0,0
2006068,0,0,0,-65.4277,-61.2166,1,0,0
2006069,0,0,0,-65.4277,-61.2166,1,0,0
2006070,0,0,0,-65.4277,-61.2166,1,0,0
2006071,0,0,0,-65.4277,-61.2166,1,0,0
2006072,0,0,0,-65.4277,-61.2166,1,0,0
2006073,0,0,0,-65.4277,-61.2166,1,0,0
2006074,0,0,0,-65.4277,-61.2166,1,0,0
2006075,0,0,0,-65.4277,-61.2166,1,0,0
2006076,0,0,0,-65.4277,-61.2166,1,0,0
2006077,0,0,0,-65.3667,-61.0173,1,0,0
2006078,-65.47,-61.1,1,-65.3667,-61.0173,1,30,13
2006079,0,0,0,-65.3667,-61.0173,1,0,0
2006080,0,0,0,-65.3667,-61.0173,1,0,0
2006081,0,0,0,-65.3667,-61.0173,1,0,0
2006082,0,0,0,-65.3667,-61.0173,1,0,0
2006083,0,0,0,-65.3667,-61.0173,1,0,0
2006084,0,0,0,-65.3667,-61.0173,1,0,0
