date,nic_1,nic_2,nic_3,size_1,size_2
2006211,-64.595,-56.285,1,0,0
2006212,-64.581,-56.2542,0,0,0
2006213,-64.5671,-56.2241,0,0,0
2006214,-64.5533,-56.1951,0,0,0
2006215,-64.5397,-56.1677,0,0,0
2006216,-64.5263,-56.1424,0,0,0
2006217,-64.513,-56.1197,0,0,0
2006218,-64.5,-56.1,1,0,0
2006232,-64.33,-55.92,1,0,0
2006246,-64.2,-55.92,1,0,0
2006260,-63.9,-55.28,1,0,0
2006261,-63.8955,-55.28,0,0,0
2006262,-63.8913,-55.28,0,0,0
2006263,-63.8876,-55.28,0,0,0
2006264,-63.8845,-55.28,0,0,0
2006265,-63.8821,-55.28,0,0,0
2006266,-63.8805,-55.28,0,0,0
2006267,-63.88,-55.28,1,0,0
2006268,-63.8827,-55.2728,0,0,0
2006269,-63.8898,-55.2542,0,0,0
2006270,-63.9002,-55.2288,0,0,0
2006271,-63.9127,-55.2012,0,0,0
2006272,-63.9259,-55.1758,0,0,0
2006273,-63.9388,-55.1572,0,0,0
2006274,-63.95,-55.15,1,0,0
2006275,-63.9598,-55.1574,0,0,0
2006276,-63.9693,-55.1768,0,0,0
2006277,-63.9787,-55.2038,0,0,0
2006278,-63.9883,-55.234,0,0,0
2006279,-63.9982,-55.263,0,0,0
2006280,-64.0087,-55.2864,0,0,0
2006281,-64.02,-55.3,1,0,0
2006282,-64.0342,-55.3069,0,0,0
2006283,-64.0518,-55.3132,0,0,0
2006284,-64.0709,-55.3188,0,0,0
2006285,-64.0893,-55.3234,0,0,0
2006286,-64.105,-55.327,0,0,0
2006287,-64.1159,-55.3292,0,0,0
2006288,-64.12,-55.33,1,0,0
2006289,-64.1134,-55.3261,0,0,0
2006290,-64.0962,-55.315,0,0,0
2006291,-64.0728,-55.2975,0,0,0
2006292,-64.0472,-55.2744,0,0,0
2006293,-64.0238,-55.2466,0,0,0
2006294,-64.0066,-55.2148,0,0,0
2006295,-64,-55.18,1,0,0
2006296,-64.0183,-55.1201,0,0,0
2006297,-64.0654,-55.021,0,0,0
2006298,-64.1299,-54.8953,0,0,0
2006299,-64.2001,-54.7557,0,0,0
2006300,-64.2646,-54.6149,0,0,0
2006301,-64.3117,-54.4854,0,0,0
2006302,-64.33,-54.38,1,0,0
2006316,-63.55,-53.4,1,0,0
2006317,-63.5397,-53.3403,0,0,0
2006318,-63.5316,-53.2821,0,0,0
2006319,-63.5251,-53.2255,0,0,0
2006320,-63.5194,-53.1708,0,0,0
2006321,-63.5138,-53.1181,0,0,0
2006322,-63.5076,-53.0678,0,0,0
2006323,-63.5,-53.02,1,0,0
2006351,-63.17,-51.95,1,0,0
2007021,-62.03,-53.1,1,0,0
2007022,-61.9795,-53.0141,0,0,0
2007023,-61.9207,-52.7927,0,0,0
2007024,-61.8564,-52.4899,0,0,0
2007025,-61.7894,-52.1601,0,0,0
2007026,-61.7224,-51.8573,0,0,0
2007027,-61.6583,-51.6359,0,0,0
2007028,-61.6,-51.55,1,0,0
2007042,-60.93,-52.77,1,0,0
