ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
0,0,0,2011023,-70.04,-1.74,1,0,0,0,13,5
0,0,0,2011024,-70.04,-1.74,0,0,0,0,0,0
0,0,0,2011025,-70.04,-1.74,0,0,0,0,0,0
0,0,0,2011026,-70.04,-1.74,0,0,0,0,0,0
0,0,0,2011027,-70.04,-1.74,0,0,0,0,0,0
0,0,0,2011028,-70.04,-1.74,0,0,0,0,0,0
0,0,0,2011029,-70.04,-1.74,0,0,0,0,0,0
0,0,0,2011030,-70.04,-1.74,1,0,0,0,13,5
0,0,0,2011031,-70.0405,-1.7492,0,0,0,0,0,0
0,0,0,2011032,-70.0418,-1.7759,0,0,0,0,0,0
0,0,0,2011033,-70.0441,-1.8186,0,0,0,0,0,0
0,0,0,2011034,-70.047,-1.8758,0,0,0,0,0,0
0,0,0,2011035,-70.0507,-1.9461,0,0,0,0,0,0
0,0,0,2011036,-70.0551,-2.028,0,0,0,0,0,0
0,0,0,2011037,-70.06,-2.12,1,0,0,0,13,5
0,0,0,2011038,-70.0743,-2.3521,0,0,0,0,0,0
0,0,0,2011039,-70.1028,-2.7973,0,0,0,0,0,0
0,0,0,2011040,-70.14,-3.3691,0,0,0,0,0,0
0,0,0,2011041,-70.18,-3.9809,0,0,0,0,0,0
0,0,0,2011042,-70.2172,-4.546,0,0,0,0,0,0
0,0,0,2011043,-70.2457,-4.9779,0,0,0,0,0,0
0,0,0,2011044,-70.26,-5.19,1,0,0,0,13,5
0,0,0,2011045,-70.2645,-5.2594,0,0,0,0,0,0
0,0,0,2011046,-70.2677,-5.3203,0,0,0,0,0,0
0,0,0,2011047,-70.2702,-5.372,0,0,0,0,0,0
0,0,0,2011048,-70.2722,-5.4137,0,0,0,0,0,0
0,0,0,2011049,-70.2743,-5.4444,0,0,0,0,0,0
0,0,0,2011050,-70.2767,-5.4635,0,0,0,0,0,0
0,0,0,2011051,-70.28,-5.47,1,0,0,0,13,5
0,0,0,2011052,-70.285,-5.4584,0,0,0,0,0,0
0,0,0,2011053,-70.2918,-5.4284,0,0,0,0,0,0
0,0,0,2011054,-70.2995,-5.3873,0,0,0,0,0,0
0,0,0,2011055,-70.3071,-5.3427,0,0,0,0,0,0
0,0,0,2011056,-70.3136,-5.3016,0,0,0,0,0,0
0,0,0,2011057,-70.3183,-5.2716,0,0,0,0,0,0
0,0,0,2011058,-70.32,-5.26,1,0,0,0,13,5
0,0,0,2011059,-70.3183,-5.2733,0,0,0,0,0,0
0,0,0,2011060,-70.3136,-5.3076,0,0,0,0,0,0
0,0,0,2011061,-70.3071,-5.3545,0,0,0,0,0,0
0,0,0,2011062,-70.2995,-5.4055,0,0,0,0,0,0
