ascat_1,ascat_2,ascat_3,date
-67.8158,-60.9092,1,2017177
-67.8115,-60.8889,1,2017191
-67.8115,-60.8889,1,2017192
-67.8115,-60.8889,1,2017193
-67.8115,-60.8889,1,2017194
-67.8115,-60.8889,1,2017195
-67.8115,-60.8889,1,2017196
-67.7767,-60.9934,1,2017197
-67.7857,-60.8734,1,2017198
-67.7879,-60.8305,1,2017199
-67.7879,-60.8305,1,2017200
-67.7879,-60.8305,1,2017201
-67.7879,-60.8305,1,2017202
-67.7879,-60.8305,1,2017203
-67.7879,-60.8305,1,2017204
-67.7879,-60.8305,1,2017205
-67.7879,-60.8305,1,2017206
-67.7879,-60.8305,1,2017207
-67.7879,-60.8305,1,2017208
-67.7879,-60.8305,1,2017209
-67.7879,-60.8305,1,2017210
-67.7879,-60.8305,1,2017211
-67.7879,-60.8305,1,2017212
-67.7879,-60.8305,1,2017213
-67.7879,-60.8305,1,2017214
-67.7879,-60.8305,1,2017215
-67.7879,-60.8305,0,2017216
-67.7879,-60.8305,0,2017217
-67.7879,-60.8305,0,2017218
-67.7879,-60.8305,1,2017219
-67.7879,-60.8305,1,2017220
-67.7879,-60.8305,1,2017221
-67.7879,-60.8305,1,2017222
-67.7663,-60.7822,1,2017223
-67.7663,-60.7822,1,2017224
-67.747,-60.691,1,2017225
-67.7535,-60.7217,1,2017226
-67.7535,-60.7217,1,2017227
-67.7535,-60.7217,1,2017228
-67.7535,-60.7217,1,2017229
-67.7535,-60.7217,1,2017230
-67.7535,-60.7217,1,2017231
-67.7535,-60.7217,1,2017232
-67.7535,-60.7217,1,2017233
-67.7535,-60.7217,1,2017234
-67.7535,-60.7217,1,2017235
-67.7535,-60.7217,0,2017236
-67.7535,-60.7217,0,2017237
-67.7535,-60.7217,0,2017238
-67.7535,-60.7217,0,2017239
-67.7535,-60.7217,1,2017240
-67.7535,-60.7217,1,2017241
-67.7535,-60.7217,1,2017242
-67.7535,-60.7217,1,2017243
-67.7535,-60.7217,1,2017244
-67.7535,-60.7217,1,2017245
-67.7535,-60.7217,1,2017246
-67.7535,-60.7217,1,2017247
-67.7535,-60.7217,1,2017248
-67.7535,-60.7217,1,2017249
-67.7535,-60.7217,1,2017250
-67.7535,-60.7217,1,2017251
-67.7535,-60.7217,1,2017252
-67.7535,-60.7217,1,2017253
-67.7535,-60.7217,1,2017254
-67.7535,-60.7217,1,2017255
-67.7535,-60.7217,1,2017256
-67.7535,-60.7217,0,2017257
-67.7535,-60.7217,1,2017258
-67.7535,-60.7217,1,2017259
-67.7535,-60.7217,1,2017260
-67.7535,-60.7217,1,2017261
-67.7535,-60.7217,1,2017262
-67.7535,-60.7217,1,2017263
-67.7535,-60.7217,1,2017264
-67.7535,-60.7217,1,2017265
