ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
0,0,0,2017244,-67.9333,-60.85,1,82,25
0,0,0,2017245,-67.9404,-60.8415,0,0,0
0,0,0,2017246,-67.9472,-60.8326,0,0,0
0,0,0,2017247,-67.9535,-60.8234,0,0,0
0,0,0,2017248,-67.9588,-60.8138,0,0,0
0,0,0,2017249,-67.963,-60.8039,0,0,0
-67.9,-60.5,1,2017250,-67.9657,-60.7937,0,0,0
-67.9,-60.5,1,2017251,-67.9667,-60.7833,1,82,25
-67.9,-60.5,1,2017252,-67.9667,-60.7724,0,0,0
-67.9,-60.5,1,2017253,-67.9667,-60.7608,0,0,0
-67.9,-60.5,1,2017254,-67.9667,-60.7489,0,0,0
-67.9,-60.5,1,2017255,-67.9667,-60.7367,0,0,0
-67.9,-60.5,0,2017256,-67.9667,-60.7243,0,0,0
-67.9,-60.5,0,2017257,-67.9667,-60.7121,0,0,0
-67.9,-60.5,0,2017258,-67.9667,-60.7,1,82,25
-67.9,-60.5,0,2017259,-67.9648,-60.6882,0,0,0
-67.9,-60.5,0,2017260,-67.9601,-60.6766,0,0,0
-67.9,-60.5,0,2017261,-67.9536,-60.6651,0,0,0
-67.9,-60.5,1,2017262,-67.9464,-60.6535,0,0,0
-67.9,-60.5,1,2017263,-67.9399,-60.6416,0,0,0
-67.9,-60.5,1,2017264,-67.9352,-60.6294,0,0,0
-67.9,-60.5,1,2017265,-67.9333,-60.6167,1,82,25
-67.9,-60.5,1,2017266,-67.9342,-60.6016,0,0,0
-67.9,-60.5,1,2017267,-67.9366,-60.5836,0,0,0
-67.9136,-60.6111,0,2017268,-67.9399,-60.5646,0,0,0
-67.9486,-60.8975,0,2017269,-67.9434,-60.5465,0,0,0
0,0,0,2017270,-67.9467,-60.5312,0,0,0
0,0,0,2017271,-67.9491,-60.5206,0,0,0
0,0,0,2017272,-67.95,-60.5167,1,82,25
0,0,0,2017273,-67.9482,-60.5232,0,0,0
-68.1451,-62.5051,1,2017274,-67.9434,-60.5398,0,0,0
-68.1451,-62.5051,1,2017275,-67.9369,-60.5626,0,0,0
0,0,0,2017276,-67.9298,-60.5874,0,0,0
-67.8075,-60.5088,1,2017277,-67.9233,-60.6102,0,0,0
-67.8075,-60.5088,1,2017278,-67.9185,-60.6268,0,0,0
-67.8075,-60.5088,1,2017279,-67.9167,-60.6333,1,82,25
-67.8075,-60.5088,1,2017280,-67.9167,-60.6315,0,0,0
-67.8075,-60.5088,0,2017281,-67.9167,-60.6267,0,0,0
-67.8075,-60.5088,0,2017282,-67.9167,-60.6202,0,0,0
-67.8075,-60.5088,0,2017283,-67.9167,-60.6131,0,0,0
-67.8075,-60.5088,1,2017284,-67.9167,-60.6066,0,0,0
-67.8075,-60.5088,0,2017285,-67.9167,-60.6018,0,0,0
-67.8075,-60.5088,0,2017286,-67.9167,-60.6,1,82,25
-67.8075,-60.5088,0,2017287,-67.9167,-60.6,0,0,0
-67.8075,-60.5088,0,2017288,-67.9167,-60.6,0,0,0
-67.8075,-60.5088,1,2017289,-67.9167,-60.6,0,0,0
-67.8075,-60.5088,0,2017290,-67.9167,-60.6,0,0,0
-67.8075,-60.5088,1,2017291,-67.9167,-60.6,0,0,0
-67.8075,-60.5088,1,2017292,-67.9167,-60.6,0,0,0
-67.8075,-60.5088,0,2017293,-67.9167,-60.6,1,82,25
-67.8075,-60.5088,1,2017294,-67.9167,-60.6046,0,0,0
-67.8075,-60.5088,1,2017295,-67.9167,-60.6165,0,0,0
-67.8075,-60.5088,1,2017296,-67.9167,-60.6328,0,0,0
-67.8075,-60.5088,1,2017297,-67.9167,-60.6505,0,0,0
-67.8075,-60.5088,0,2017298,-67.9167,-60.6668,0,0,0
-67.8075,-60.5088,1,2017299,-67.9167,-60.6787,0,0,0
-67.8075,-60.5088,0,2017300,-67.9167,-60.6833,1,82,25
-67.8075,-60.5088,0,2017301,-67.9167,-60.682,0,0,0
-67.8075,-60.5088,1,2017302,-67.9167,-60.6786,0,0,0
-67.7999,-60.5019,0,2017303,-67.9167,-60.6737,0,0,0
-67.7806,-60.4842,0,2017304,-67.9167,-60.6678,0,0,0
-67.7546,-60.4601,0,2017305,-67.9167,-60.6615,0,0,0
-67.7271,-60.4342,0,2017306,-67.9167,-60.6553,0,0,0
-67.703,-60.4111,0,2017307,-67.9167,-60.65,1,82,25
-67.6874,-60.3951,1,2017308,-67.9172,-60.6456,0,0,0
-67.6779,-60.384,0,2017309,-67.9185,-60.6416,0,0,0
-67.6702,-60.3747,0,2017310,-67.9206,-60.6377,0,0,0
-67.6671,-60.3708,1,2017311,-67.9233,-60.6336,0,0,0
-67.6671,-60.3708,1,2017312,-67.9264,-60.6289,0,0,0
-67.6671,-60.3708,0,2017313,-67.9298,-60.6234,0,0,0
-67.6671,-60.3708,1,2017314,-67.9333,-60.6167,1,82,25
-67.6671,-60.3708,1,2017315,-67.9387,-60.6048,0,0,0
-67.6671,-60.3708,0,2017316,-67.9468,-60.586,0,0,0
-67.6671,-60.3708,0,2017317,-67.9565,-60.5635,0,0,0
-67.6671,-60.3708,1,2017318,-67.9662,-60.5405,0,0,0
-67.6357,-60.3263,1,2017319,-67.9748,-60.5201,0,0,0
-67.6357,-60.3263,1,2017320,-67.981,-60.5056,0,0,0
-67.6357,-60.3263,0,2017321,-67.9833,-60.5,1,82,25
-67.6357,-60.3263,1,2017322,-67.9833,-60.5009,0,0,0
-67.6357,-60.3263,1,2017323,-67.9833,-60.5033,0,0,0
-67.6357,-60.3263,0,2017324,-67.9833,-60.5066,0,0,0
-67.6357,-60.3263,0,2017325,-67.9833,-60.5101,0,0,0
-67.6357,-60.3263,1,2017326,-67.9833,-60.5134,0,0,0
-67.6357,-60.3263,0,2017327,-67.9833,-60.5158,0,0,0
-67.6357,-60.3263,0,2017328,-67.9833,-60.5167,1,82,25
-67.6357,-60.3263,1,2017329,0,0,0,0,0
-67.6357,-60.3263,1,2017330,0,0,0,0,0
-67.6357,-60.3263,1,2017331,0,0,0,0,0
-67.6369,-60.3866,0,2017332,0,0,0,0,0
-67.638,-60.4468,1,2017333,0,0,0,0,0
-67.638,-60.4468,1,2017334,0,0,0,0,0
-67.638,-60.4468,1,2017335,0,0,0,0,0
-67.638,-60.4468,1,2017336,0,0,0,0,0
-67.638,-60.4468,1,2017337,0,0,0,0,0
-67.638,-60.4468,0,2017338,0,0,0,0,0
-67.638,-60.4468,1,2017339,0,0,0,0,0
-67.638,-60.4468,1,2017340,0,0,0,0,0
-67.638,-60.4468,1,2017341,0,0,0,0,0
-67.624,-60.4331,0,2017342,-67.9,-60.5167,1,82,25
-67.5933,-60.4009,0,2017343,-67.8951,-60.5195,0,0,0
-67.5626,-60.3637,0,2017344,-67.8907,-60.5266,0,0,0
-67.5486,-60.335,1,2017345,-67.8864,-60.5364,0,0,0
-67.5626,-60.3183,1,2017346,-67.8822,-60.547,0,0,0
