ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-60.41,-51.04,1,2020115,-60.4167,-51.1,1,11,7
-60.33,-50.9284,1,2020116,-60.3826,-51.0177,0,0,0
-60.2226,-50.7278,1,2020117,-60.3502,-50.9453,0,0,0
-60.2496,-50.7942,1,2020118,-60.3205,-50.8837,0,0,0
-60.2496,-50.7942,1,2020119,-60.2945,-50.834,0,0,0
-60.2496,-50.7942,1,2020120,-60.2734,-50.7973,0,0,0
-60.2052,-50.685,1,2020121,-60.2582,-50.7745,0,0,0
-60.2433,-50.779,0,2020122,-60.25,-50.7667,1,11,7
-60.2814,-50.8729,1,2020123,-60.2464,-50.7736,0,0,0
-60.2765,-50.8551,0,2020124,-60.2441,-50.7928,0,0,0
-60.267,-50.8372,1,2020125,-60.2425,-50.8216,0,0,0
-60.2559,-50.8625,0,2020126,-60.241,-50.8576,0,0,0
-60.2419,-50.9233,0,2020127,-60.2394,-50.8983,0,0,0
-60.2257,-50.9968,0,2020128,-60.237,-50.941,0,0,0
-60.2085,-51.0605,1,2020129,-60.2333,-50.9833,1,11,7
-60.1896,-51.1026,0,2020130,-60.2228,-51.0376,0,0,0
-60.1683,-51.1374,0,2020131,-60.2014,-51.1113,0,0,0
-60.1454,-51.1809,0,2020132,-60.1712,-51.1943,0,0,0
-60.1213,-51.2496,1,2020133,-60.134,-51.2764,0,0,0
-60.0948,-51.4439,1,2020134,-60.0918,-51.3476,0,0,0
-60.0482,-51.3836,0,2020135,-60.0464,-51.3977,0,0,0
-59.9822,-51.238,0,2020136,-60,-51.4167,1,11,7
-59.9014,-51.0604,0,2020137,-59.9364,-51.3854,0,0,0
-59.8104,-50.9039,1,2020138,-59.847,-51.3,0,0,0
-59.6893,-50.7798,1,2020139,-59.7447,-51.1735,0,0,0
-59.4961,-50.6293,0,2020140,-59.6425,-51.019,0,0,0
-59.3706,-50.4778,1,2020141,-59.5535,-50.8494,0,0,0
-59.3801,-50.3464,0,2020142,-59.4906,-50.6776,0,0,0
-59.4058,-50.2237,0,2020143,-59.4667,-50.5167,1,11,7
-59.4441,-50.1062,0,2020144,-59.4759,-50.3346,0,0,0
-59.4911,-49.9907,0,2020145,-59.4997,-50.108,0,0,0
-59.5428,-49.8735,0,2020146,-59.5323,-49.8635,0,0,0
-59.5955,-49.7514,1,2020147,-59.5677,-49.6274,0,0,0
-59.6635,-49.6226,1,2020148,-59.6003,-49.426,0,0,0
-59.6531,-49.3586,1,2020149,-59.6241,-49.2859,0,0,0
-59.6204,-49.3652,0,2020150,-59.6333,-49.2333,1,11,7
-59.5579,-49.383,0,2020151,-59.6222,-49.2462,0,0,0
-59.4734,-49.4093,0,2020152,-59.5936,-49.2796,0,0,0
-59.3747,-49.4413,0,2020153,-59.5546,-49.3252,0,0,0
-59.2696,-49.476,0,2020154,-59.512,-49.3748,0,0,0
-59.1661,-49.5108,0,2020155,-59.473,-49.4204,0,0,0
-59.0719,-49.5428,0,2020156,-59.4444,-49.4538,0,0,0
-58.9949,-49.5691,0,2020157,-59.4333,-49.4667,1,9,5
-58.943,-49.5869,0,2020158,-59.4333,-49.3494,0,0,0
-58.9239,-49.5935,1,2020159,-59.4333,-49.0471,0,0,0
-58.9736,-49.3534,0,2020160,-59.4333,-48.6336,0,0,0
-59.0921,-48.7809,0,2020161,-59.4333,-48.1831,0,0,0
-59.2334,-48.0976,0,2020162,-59.4333,-47.7696,0,0,0
-59.3519,-47.5251,0,2020163,-59.4333,-47.4673,0,0,0
-59.4016,-47.285,1,2020164,-59.4333,-47.35,1,9,5
-59.3058,-47.3996,0,2020165,-59.3997,-47.3694,0,0,0
-59.1178,-47.6252,0,2020166,-59.313,-47.4194,0,0,0
-58.9865,-47.7849,1,2020167,-59.194,-47.4878,0,0,0
-58.9494,-47.8324,1,2020168,-59.0639,-47.5622,0,0,0
-58.9131,-47.8193,1,2020169,-58.9437,-47.6306,0,0,0
-58.8195,-47.6705,0,2020170,-58.8543,-47.6806,0,0,0
-58.6965,-47.378,0,2020171,-58.8167,-47.7,1,9,5
-58.6353,-47.108,1,2020172,-58.8129,-47.643,0,0,0
-58.6415,-46.9041,0,2020173,-58.8106,-47.4926,0,0,0
-58.6569,-46.7035,0,2020174,-58.809,-47.2802,0,0,0
-58.677,-46.5131,0,2020175,-58.8078,-47.0369,0,0,0
-58.6971,-46.3399,0,2020176,-58.8062,-46.7938,0,0,0
-58.7125,-46.1907,0,2020177,-58.8038,-46.5822,0,0,0
-58.7187,-46.0723,1,2020178,-58.8,-46.4333,1,9,5
-58.6534,-45.9922,1,2020179,-58.7559,-46.3402,0,0,0
-58.5131,-45.9721,0,2020180,-58.6459,-46.2688,0,0,0
-58.3286,-45.9599,0,2020181,-58.4892,-46.2096,0,0,0
-58.197,-45.9558,1,2020182,-58.3053,-46.1528,0,0,0
-58.1441,-45.997,1,2020183,-58.1135,-46.0887,0,0,0
-58.0166,-46.0523,1,2020184,-57.933,-46.0077,0,0,0
-57.8754,-45.9387,0,2020185,-57.7833,-45.9,1,9,5
-57.7304,-45.6751,0,2020186,-57.645,-45.7197,0,0,0
-57.606,-45.3771,1,2020187,-57.4942,-45.4444,0,0,0
-57.5147,-45.0461,1,2020188,-57.3431,-45.1001,0,0,0
-57.4287,-44.7584,1,2020189,-57.2042,-44.7125,0,0,0
-57.36,-44.0479,1,2020190,-57.0897,-44.3078,0,0,0
-57.2022,-43.5282,0,2020191,-57.012,-43.9116,0,0,0
-57.0023,-43.0916,0,2020192,-56.9833,-43.55,1,9,5
-56.9038,-42.7193,1,2020193,-57.017,-43.2132,0,0,0
-57.0715,-42.4194,1,2020194,-57.1051,-42.8751,0,0,0
-57.3283,-42.3506,1,2020195,-57.2283,-42.5366,0,0,0
-57.5378,-41.6931,0,2020196,-57.3671,-42.1988,0,0,0
-57.7416,-40.8454,1,2020197,-57.5022,-41.8627,0,0,0
-58.0034,-40.4416,0,2020198,-57.614,-41.5294,0,0,0
-58.2146,-40.1062,1,2020199,-57.6833,-41.2,1,9,5
-58.3002,-39.7555,1,2020200,-57.724,-40.8382,0,0,0
-58.2564,-39.5335,0,2020201,-57.762,-40.431,0,0,0
-58.1519,-39.3332,0,2020202,-57.7962,-40.0141,0,0,0
-58.0271,-39.1706,0,2020203,-57.825,-39.6235,0,0,0
-57.9226,-39.0615,0,2020204,-57.8473,-39.2948,0,0,0
-57.8788,-39.0216,1,2020205,-57.8616,-39.0639,0,0,0
-57.8788,-39.0216,0,2020206,-57.8667,-38.9667,1,9,5
-57.8788,-39.0216,1,2020207,-57.866,-38.9515,0,0,0
-57.8897,-39.0006,0,2020208,-57.8639,-38.9414,0,0,0
-57.9005,-38.9513,1,2020209,-57.8604,-38.9346,0,0,0
-57.8731,-38.8397,1,2020210,-57.8556,-38.9291,0,0,0
-57.8653,-38.883,0,2020211,-57.8494,-38.9228,0,0,0
-57.8623,-38.9263,1,2020212,-57.842,-38.9137,0,0,0
-57.8948,-38.8508,1,2020213,-57.8333,-38.9,1,9,5
-57.9162,-38.6834,1,2020214,-57.7554,-38.8753,0,0,0
-57.829,-38.6996,0,2020215,-57.5694,-38.8349,0,0,0
-57.6101,-38.7382,0,2020216,-57.3191,-38.7795,0,0,0
-57.3234,-38.7844,0,2020217,-57.0483,-38.7095,0,0,0
-57.0328,-38.823,0,2020218,-56.8006,-38.6253,0,0,0
-56.8024,-38.8392,1,2020219,-56.6199,-38.5275,0,0,0
-56.6432,-38.6085,1,2020220,-56.55,-38.4167,1,9,5
-56.7165,-38.2546,0,2020221,-56.5971,-38.2037,0,0,0
-56.8918,-37.7985,0,2020222,-56.7185,-37.8373,0,0,0
-57.1019,-37.2933,0,2020223,-56.8845,-37.3745,0,0,0
-57.2795,-36.7925,0,2020224,-57.0655,-36.8723,0,0,0
-57.3577,-36.3492,1,2020225,-57.2315,-36.3878,0,0,0
-57.3627,-35.9412,0,2020226,-57.3529,-35.978,0,0,0
-57.3647,-35.6224,1,2020227,-57.4,-35.7,1,9,5
-57.3632,-35.4087,0,2020228,-57.3965,-35.5192,0,0,0
-57.3595,-35.2109,0,2020229,-57.3871,-35.3611,0,0,0
-57.3546,-35.0391,0,2020230,-57.3738,-35.2226,0,0,0
