ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-56.6733,-35.8494,1,2021030,-57.47,-34.47,1,20,5
-56.9063,-35.8361,1,2021031,-57.47,-34.47,1,20,5
-57.1141,-35.8369,1,2021032,-57.47,-34.47,1,20,5
-57.1033,-35.7295,0,2021033,-57.47,-34.47,0,0,0
-57.0722,-35.4462,0,2021034,-57.47,-34.47,0,0,0
-57.0228,-35.0458,0,2021035,-57.47,-34.47,0,0,0
-56.9573,-34.5867,0,2021036,-57.47,-34.47,1,20,5
-56.8776,-34.1276,0,2021037,-57.4096,-34.429,0,0,0
-56.7859,-33.7271,0,2021038,-57.2526,-34.3233,0,0,0
-56.6841,-33.4438,1,2021039,-57.0358,-34.1787,0,0,0
-56.4959,-33.2783,1,2021040,-56.7955,-34.0213,0,0,0
-56.462,-33.3705,1,2021041,-56.5684,-33.8767,0,0,0
-56.4273,-33.5188,0,2021042,-56.3911,-33.771,0,0,0
-56.3928,-33.7235,0,2021043,-56.3,-33.73,1,20,3
-56.3583,-33.9676,0,2021044,-56.2698,-33.8308,0,0,0
-56.3235,-34.2342,0,2021045,-56.2484,-34.0908,0,0,0
-56.2881,-34.5062,0,2021046,-56.2325,-34.4463,0,0,0
-56.2519,-34.7668,0,2021047,-56.219,-34.8337,0,0,0
-56.2145,-34.999,0,2021048,-56.2046,-35.1892,0,0,0
-56.1756,-35.1859,0,2021049,-56.186,-35.4492,0,0,0
-56.135,-35.3104,0,2021050,-56.16,-35.55,1,20,3
-56.0924,-35.3557,1,2021051,-56.1215,-35.512,0,0,0
-56.0436,-35.2456,1,2021052,-56.0692,-35.4109,0,0,0
-55.9501,-35.0841,1,2021053,-56.0058,-35.2666,0,0,0
-55.9007,-34.963,0,2021054,-55.9336,-35.0987,0,0,0
-55.869,-34.86,0,2021055,-55.8553,-34.9268,0,0,0
-55.8323,-34.7612,0,2021056,-55.7732,-34.7707,0,0,0
-55.7682,-34.6529,1,2021057,-55.69,-34.65,1,20,3
-55.5626,-34.5276,1,2021058,-55.6033,-34.5492,0,0,0
-55.3824,-34.5453,0,2021059,-55.5093,-34.4445,0,0,0
-55.197,-34.5953,0,2021060,-55.4079,-34.343,0,0,0
-55.0097,-34.6728,0,2021061,-55.2992,-34.2517,0,0,0
-54.8235,-34.7731,0,2021062,-55.1833,-34.1777,0,0,0
-54.6418,-34.8916,0,2021063,-55.0602,-34.1281,0,0,0
-54.4678,-35.0235,0,2021064,-54.93,-34.11,1,13,3
-54.3046,-35.1641,0,2021065,-54.7895,-34.1592,0,0,0
-54.1555,-35.3088,0,2021066,-54.6362,-34.2992,0,0,0
-54.0237,-35.4527,0,2021067,-54.4709,-34.5185,0,0,0
-53.9124,-35.5912,0,2021068,-54.2948,-34.8057,0,0,0
-53.8248,-35.7196,0,2021069,-54.1086,-35.1494,0,0,0
-53.7641,-35.8332,0,2021070,-53.9134,-35.5379,0,0,0
-53.7336,-35.9273,1,2021071,-53.71,-35.96,1,7,1
-53.724,-36.0006,1,2021072,0,0,0,0,0
