ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-56.19,-35.19,1,2021043,-56.19,-35.91,1,15,2
-56.1437,-35.436,0,2021044,-56.1661,-35.9211,0,0,0
-56.1039,-35.6226,0,2021045,-56.1416,-35.9291,0,0,0
-56.0707,-35.7578,0,2021046,-56.1164,-35.9344,0,0,0
-56.0445,-35.8492,0,2021047,-56.0907,-35.9376,0,0,0
-56.0255,-35.9049,0,2021048,-56.0643,-35.9393,0,0,0
-56.0139,-35.9325,0,2021049,-56.0374,-35.9399,0,0,0
-56.01,-35.94,1,2021050,-56.01,-35.94,1,10,2
-56.0114,-35.8516,1,2021051,-55.982,-35.8977,0,0,0
-56.005,-35.7185,0,2021052,-55.9532,-35.7791,0,0,0
-55.9862,-35.5489,0,2021053,-55.9238,-35.5968,0,0,0
-55.9557,-35.3417,0,2021054,-55.8938,-35.3632,0,0,0
-55.914,-35.0958,0,2021055,-55.8631,-35.0909,0,0,0
-55.8619,-34.8099,0,2021056,-55.8319,-34.7923,0,0,0
-55.8,-34.483,1,2021057,-55.8,-34.48,1,8,2
