ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-56.26,-33.67,1,2021043,-56.26,-33.67,1,15,2
-56.2467,-33.8032,1,2021044,-56.256,-34.0941,0,0,0
-56.2278,-34.0447,0,2021045,-56.2448,-34.481,0,0,0
-56.204,-34.3914,0,2021046,-56.2274,-34.8206,0,0,0
-56.1783,-34.7767,0,2021047,-56.2051,-35.1025,0,0,0
-56.1537,-35.1342,0,2021048,-56.179,-35.3165,0,0,0
-56.1333,-35.3975,0,2021049,-56.1503,-35.4524,0,0,0
-56.12,-35.5,1,2021050,-56.12,-35.5,1,15,2
-56.1136,-35.4217,1,2021051,-56.0828,-35.4968,0,0,0
-56.0285,-35.2506,1,2021052,-56.0337,-35.4802,0,0,0
0,0,0,2021053,-55.974,-35.4402,0,0,0
0,0,0,2021054,-55.9053,-35.3664,0,0,0
0,0,0,2021055,-55.8291,-35.2485,0,0,0
0,0,0,2021056,-55.7468,-35.0765,0,0,0
0,0,0,2021057,-55.66,-34.84,1,6,2
