ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-54.55,-41.69,1,2023125,-54.55,-41.69,1,19,5
-54.5245,-41.6006,0,2023126,-54.4562,-41.7364,0,0,0
-54.5208,-41.5483,1,2023127,-54.3673,-41.7814,0,0,0
-54.5747,-41.5274,0,2023128,-54.2849,-41.8248,0,0,0
-54.6285,-41.5187,1,2023129,-54.2104,-41.8664,0,0,0
-54.3117,-41.868,0,2023130,-54.1454,-41.9062,0,0,0
-53.9899,-42.3063,1,2023131,-54.0914,-41.9441,0,0,0
-53.9845,-42.4659,0,2023132,-54.05,-41.98,1,19,5
-53.9799,-42.5365,1,2023133,-54.016,-42.0172,0,0,0
-53.9566,-42.3447,0,2023134,-53.984,-42.0571,0,0,0
-53.9373,-42.1529,1,2023135,-53.9551,-42.0967,0,0,0
-53.9373,-42.1529,0,2023136,-53.9302,-42.1329,0,0,0
-53.9373,-42.1529,1,2023137,-53.9103,-42.1626,0,0,0
-53.9204,-42.1562,0,2023138,-53.8966,-42.1826,0,0,0
-53.8839,-42.1667,0,2023139,-53.89,-42.19,1,19,5
-53.8492,-42.1854,1,2023140,-53.8875,-42.1856,0,0,0
-53.8241,-42.3068,1,2023141,-53.8853,-42.1737,0,0,0
-53.8497,-42.2401,0,2023142,-53.8834,-42.1563,0,0,0
-53.8974,-42.1164,0,2023143,-53.882,-42.1353,0,0,0
-53.923,-42.0497,1,2023144,-53.8809,-42.1126,0,0,0
-53.9015,-42.0598,0,2023145,-53.8802,-42.0902,0,0,0
-53.88,-42.07,1,2023146,-53.88,-42.07,1,19,5
-53.88,-42.07,0,2023147,-53.8817,-42.0487,0,0,0
-53.88,-42.07,1,2023148,-53.8859,-42.0234,0,0,0
-53.8808,-42.0622,0,2023149,-53.8918,-41.9968,0,0,0
-53.8832,-42.0422,0,2023150,-53.8982,-41.9715,0,0,0
-53.8868,-42.0149,0,2023151,-53.9041,-41.9502,0,0,0
-53.8915,-41.9851,0,2023152,-53.9083,-41.9355,0,0,0
-53.8971,-41.9578,0,2023153,-53.91,-41.93,1,19,5
-53.9033,-41.9378,0,2023154,-53.9097,-41.9571,0,0,0
-53.91,-41.93,1,2023155,-53.9089,-42.0271,0,0,0
-53.9197,-42.0005,0,2023156,-53.9076,-42.1229,0,0,0
-53.9332,-42.1516,1,2023157,-53.906,-42.2271,0,0,0
-53.9516,-42.4042,1,2023158,-53.9042,-42.3229,0,0,0
-53.8967,-42.5222,1,2023159,-53.9021,-42.3929,0,0,0
-53.8631,-42.5339,1,2023160,-53.9,-42.42,1,19,5
-53.8631,-42.5339,1,2023161,0,0,0,0,0
-53.8816,-42.4769,0,2023162,0,0,0,0,0
-53.9,-42.42,1,2023163,0,0,0,0,0
-53.9,-42.42,1,2023164,0,0,0,0,0
-53.9,-42.42,1,2023165,0,0,0,0,0
-53.9,-42.42,1,2023166,0,0,0,0,0
-53.9,-42.42,0,2023167,0,0,0,0,0
-53.9,-42.42,1,2023168,0,0,0,0,0
-53.8139,-42.3903,1,2023169,0,0,0,0,0
-53.8373,-42.4334,0,2023170,0,0,0,0,0
-53.8606,-42.4766,1,2023171,0,0,0,0,0
-53.8606,-42.4766,1,2023172,0,0,0,0,0
-53.9095,-42.4771,1,2023173,0,0,0,0,0
-53.9095,-42.4771,1,2023174,0,0,0,0,0
-53.9095,-42.4771,1,2023175,0,0,0,0,0
-53.9095,-42.4771,1,2023176,0,0,0,0,0
-53.9095,-42.4771,1,2023177,0,0,0,0,0
-53.8298,-42.2335,0,2023178,0,0,0,0,0
-53.75,-41.99,1,2023179,0,0,0,0,0
-53.75,-41.99,1,2023180,0,0,0,0,0
-53.75,-41.9919,0,2023181,-53.75,-41.99,1,19,5
-53.75,-41.9969,0,2023182,-53.75,-41.99,0,0,0
-53.7501,-42.0046,0,2023183,-53.75,-41.99,0,0,0
-53.7501,-42.014,0,2023184,-53.75,-41.99,0,0,0
-53.7501,-42.0244,0,2023185,-53.75,-41.99,0,0,0
-53.7502,-42.0353,0,2023186,-53.75,-41.99,0,0,0
-53.7502,-42.0457,0,2023187,-53.75,-41.99,0,0,0
-53.7502,-42.0551,0,2023188,-53.75,-41.99,1,19,5
-53.7503,-42.0628,0,2023189,-53.719,-41.7108,0,0,0
-53.7503,-42.0678,0,2023190,-53.639,-40.9908,0,0,0
