ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-53.6141,-43.1762,1,2023132,-53.65,-43.05,1,8,4
-53.5501,-43.2647,1,2023133,-53.5891,-43.2327,0,0,0
-53.5501,-43.2647,1,2023134,-53.531,-43.4058,0,0,0
-53.5514,-43.4026,1,2023135,-53.4777,-43.5663,0,0,0
-53.5811,-43.7667,1,2023136,-53.4317,-43.7111,0,0,0
-53.5811,-43.7667,1,2023137,-53.3952,-43.837,0,0,0
-53.4729,-43.8793,0,2023138,-53.3706,-43.941,0,0,0
-53.36,-44.02,1,2023139,-53.36,-44.02,1,8,4
-53.3549,-44.0552,0,2023140,-53.3574,-44.0847,0,0,0
-53.35,-44.0923,1,2023141,-53.3552,-44.1463,0,0,0
-53.2867,-44.2879,0,2023142,-53.3534,-44.2022,0,0,0
-53.2281,-44.4534,1,2023143,-53.3519,-44.25,0,0,0
-53.2281,-44.4534,0,2023144,-53.3509,-44.2872,0,0,0
-53.2281,-44.4534,0,2023145,-53.3502,-44.3114,0,0,0
-53.2281,-44.4534,1,2023146,-53.35,-44.32,1,8,4
-53.2281,-44.4534,1,2023147,-53.3539,-44.299,0,0,0
-53.2363,-44.4313,0,2023148,-53.3639,-44.2447,0,0,0
-53.2581,-44.3732,0,2023149,-53.3776,-44.1704,0,0,0
-53.2888,-44.291,0,2023150,-53.3924,-44.0896,0,0,0
-53.3241,-44.1967,0,2023151,-53.4061,-44.0153,0,0,0
-53.3593,-44.1024,0,2023152,-53.4161,-43.961,0,0,0
-53.39,-44.0202,0,2023153,-53.42,-43.94,1,8,4
-53.4118,-43.9621,0,2023154,-53.4107,-43.9655,0,0,0
-53.42,-43.94,1,2023155,-53.3854,-44.0312,0,0,0
-53.2092,-44.4675,1,2023156,-53.3478,-44.121,0,0,0
-53.169,-44.5987,1,2023157,-53.3017,-44.219,0,0,0
-53.15,-44.4,1,2023158,-53.2509,-44.3088,0,0,0
-53.15,-44.4,1,2023159,-53.199,-44.3745,0,0,0
-53.15,-44.4,1,2023160,-53.15,-44.4,1,8,4
-53.15,-44.4,1,2023161,0,0,0,0,0
-53.15,-44.4,1,2023162,0,0,0,0,0
-53.15,-44.4,1,2023163,0,0,0,0,0
-53.15,-44.4,1,2023164,0,0,0,0,0
-53.0139,-44.256,1,2023165,0,0,0,0,0
-52.8996,-44.0328,1,2023166,0,0,0,0,0
-52.8359,-43.9511,0,2023167,0,0,0,0,0
-52.7918,-43.8649,1,2023168,0,0,0,0,0
-52.7622,-43.5851,1,2023169,0,0,0,0,0
-52.7008,-43.3599,1,2023170,0,0,0,0,0
-52.6083,-43.1892,1,2023171,0,0,0,0,0
-52.4378,-42.9279,1,2023172,0,0,0,0,0
-52.3431,-42.7671,1,2023173,0,0,0,0,0
-52.2309,-42.4961,1,2023174,0,0,0,0,0
-52.0644,-42.2564,1,2023175,0,0,0,0,0
-51.79,-40.58,1,2023176,0,0,0,0,0
-51.79,-40.58,1,2023177,0,0,0,0,0
0,0,0,2023181,-51.79,-40.58,1,8,4
0,0,0,2023182,-51.79,-40.58,0,0,0
0,0,0,2023183,-51.79,-40.58,0,0,0
0,0,0,2023184,-51.79,-40.58,0,0,0
0,0,0,2023185,-51.79,-40.58,0,0,0
0,0,0,2023186,-51.79,-40.58,0,0,0
0,0,0,2023187,-51.79,-40.58,0,0,0
0,0,0,2023188,-51.79,-40.58,1,8,4
0,0,0,2023189,-51.7568,-40.59,0,0,0
0,0,0,2023190,-51.671,-40.6157,0,0,0
0,0,0,2023191,-51.5538,-40.6508,0,0,0
0,0,0,2023192,-51.4262,-40.6892,0,0,0
0,0,0,2023193,-51.309,-40.7243,0,0,0
0,0,0,2023194,-51.2232,-40.75,0,0,0
0,0,0,2023195,-51.19,-40.76,1,8,4
0,0,0,2023196,-51.19,-40.76,0,0,0
0,0,0,2023197,-51.19,-40.76,0,0,0
0,0,0,2023198,-51.19,-40.76,0,0,0
0,0,0,2023199,-51.19,-40.76,0,0,0
0,0,0,2023200,-51.19,-40.76,0,0,0
0,0,0,2023201,-51.19,-40.76,0,0,0
0,0,0,2023202,-51.19,-40.76,1,8,4
0,0,0,2023216,-51.19,-40.76,1,8,4
0,0,0,2023217,-51.19,-40.76,0,0,0
0,0,0,2023218,-51.19,-40.76,0,0,0
0,0,0,2023219,-51.19,-40.76,0,0,0
0,0,0,2023220,-51.19,-40.76,0,0,0
0,0,0,2023221,-51.19,-40.76,0,0,0
0,0,0,2023222,-51.19,-40.76,0,0,0
0,0,0,2023223,-51.19,-40.76,1,8,4
0,0,0,2023224,-51.19,-40.76,0,0,0
0,0,0,2023225,-51.19,-40.76,0,0,0
0,0,0,2023226,-51.19,-40.76,0,0,0
0,0,0,2023227,-51.19,-40.76,0,0,0
0,0,0,2023228,-51.19,-40.76,0,0,0
0,0,0,2023229,-51.19,-40.76,0,0,0
0,0,0,2023230,-51.19,-40.76,1,8,4
