ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-54.8876,-40.6454,1,2023132,-54.92,-41.05,1,17,11
-54.8876,-40.6454,1,2023133,-54.9149,-40.5709,0,0,0
-55.0094,-40.0852,1,2023134,-54.9007,-40.1456,0,0,0
-55.0169,-39.908,1,2023135,-54.8786,-39.7813,0,0,0
-55.0169,-39.908,1,2023136,-54.8502,-39.4854,0,0,0
-55.0169,-39.908,1,2023137,-54.8166,-39.265,0,0,0
-54.6951,-39.248,1,2023138,-54.7795,-39.1275,0,0,0
-54.6291,-39.1405,1,2023139,-54.74,-39.08,1,17,11
-54.7683,-39.1135,1,2023140,-54.6751,-39.1431,0,0,0
-54.7683,-39.1135,1,2023141,-54.5722,-39.306,0,0,0
-54.6194,-38.7397,1,2023142,-54.4488,-39.5287,0,0,0
-54.6194,-38.7397,1,2023143,-54.3224,-39.7713,0,0,0
-54.69,-38.551,1,2023144,-54.2105,-39.994,0,0,0
-54.69,-38.551,0,2023145,-54.1305,-40.1569,0,0,0
-54.69,-38.551,1,2023146,-54.1,-40.22,1,17,11
-54.7284,-38.5848,0,2023147,-54.1249,-40.2142,0,0,0
-54.7667,-38.6541,1,2023148,-54.1892,-40.1986,0,0,0
-54.7639,-38.7683,0,2023149,-54.2771,-40.1764,0,0,0
-54.7558,-38.9482,0,2023150,-54.3729,-40.1504,0,0,0
-54.743,-39.1636,0,2023151,-54.4608,-40.1237,0,0,0
-54.7262,-39.3839,0,2023152,-54.5251,-40.0993,0,0,0
-54.7058,-39.5789,0,2023153,-54.55,-40.08,1,17,11
-54.6824,-39.7182,0,2023154,-54.5483,-40.0635,0,0,0
-54.6567,-39.7714,1,2023155,-54.5441,-40.0462,0,0,0
-54.6107,-39.6637,1,2023156,-54.5382,-40.0292,0,0,0
-54.4183,-39.6027,1,2023157,-54.5318,-40.0139,0,0,0
-54.4863,-39.6534,1,2023158,-54.5259,-40.0015,0,0,0
-54.52,-39.99,1,2023159,-54.5217,-39.9931,0,0,0
-54.52,-39.99,1,2023160,-54.52,-39.99,1,17,11
-54.5047,-40.0882,1,2023161,0,0,0,0,0
-54.4808,-40.3638,0,2023162,0,0,0,0,0
-54.4654,-40.5726,1,2023163,0,0,0,0,0
-54.4654,-40.5726,1,2023164,0,0,0,0,0
-54.4654,-40.5726,1,2023165,0,0,0,0,0
-54.4475,-40.4711,1,2023166,0,0,0,0,0
-54.4475,-40.4711,0,2023167,0,0,0,0,0
-54.4475,-40.4711,1,2023168,0,0,0,0,0
-54.3839,-40.4521,1,2023169,0,0,0,0,0
-54.4669,-40.2758,0,2023170,0,0,0,0,0
-54.6019,-40.1151,1,2023171,0,0,0,0,0
-54.7023,-40.1639,1,2023172,0,0,0,0,0
-54.7023,-40.1639,1,2023173,0,0,0,0,0
-54.7486,-40.1152,1,2023174,0,0,0,0,0
-54.705,-40.0731,1,2023175,0,0,0,0,0
-54.705,-40.0731,1,2023176,0,0,0,0,0
-54.6822,-40.0223,1,2023177,0,0,0,0,0
-54.687,-40.091,0,2023178,0,0,0,0,0
-54.6918,-40.1598,1,2023179,0,0,0,0,0
-54.6918,-40.1598,1,2023180,0,0,0,0,0
-54.6916,-40.1591,0,2023181,-54.66,-40.08,1,17,11
-54.6909,-40.1569,0,2023182,-54.66,-40.08,0,0,0
-54.6896,-40.153,0,2023183,-54.66,-40.08,0,0,0
-54.6876,-40.1471,0,2023184,-54.66,-40.08,0,0,0
-54.6845,-40.139,0,2023185,-54.66,-40.08,0,0,0
-54.6804,-40.1284,0,2023186,-54.66,-40.08,0,0,0
-54.6751,-40.1153,0,2023187,-54.66,-40.08,0,0,0
-54.6683,-40.0992,0,2023188,-54.66,-40.08,1,17,11
-54.66,-40.08,1,2023189,-54.655,-40.0783,0,0,0
-54.5497,-39.9853,1,2023190,-54.6422,-40.0741,0,0,0
-54.4428,-39.9327,1,2023191,-54.6246,-40.0682,0,0,0
-54.4428,-39.9327,1,2023192,-54.6054,-40.0618,0,0,0
-54.5032,-39.9914,0,2023193,-54.5878,-40.0559,0,0,0
-54.57,-40.05,1,2023194,-54.575,-40.0517,0,0,0
-54.5802,-39.9219,0,2023195,-54.57,-40.05,1,17,11
-54.584,-39.7681,1,2023196,-54.57,-40.05,0,0,0
-54.5157,-39.7339,1,2023197,-54.57,-40.05,0,0,0
