ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-54.4,-41.68,1,2023132,-54.4,-41.68,1,32,6
-54.5303,-41.5874,1,2023133,-54.4877,-41.4101,0,0,0
-54.7041,-41.346,1,2023134,-54.5714,-41.1512,0,0,0
-54.6936,-41.1375,1,2023135,-54.6481,-40.9048,0,0,0
-54.7864,-40.7297,1,2023136,-54.7144,-40.6721,0,0,0
-54.9399,-40.0881,1,2023137,-54.7673,-40.4545,0,0,0
-54.82,-40.07,1,2023138,-54.8036,-40.2534,0,0,0
-54.8131,-39.7433,1,2023139,-54.82,-40.07,1,32,6
-54.7666,-39.5122,1,2023140,-54.8244,-39.9086,0,0,0
-54.7299,-39.3099,1,2023141,-54.8273,-39.7674,0,0,0
-54.6825,-39.0243,1,2023142,-54.8292,-39.6385,0,0,0
-54.6825,-39.0243,1,2023143,-54.8308,-39.5142,0,0,0
-54.6825,-39.0243,1,2023144,-54.8327,-39.3865,0,0,0
-54.7613,-39.0571,0,2023145,-54.8355,-39.2477,0,0,0
-54.84,-39.09,1,2023146,-54.84,-39.09,1,32,6
-54.7605,-39.0116,0,2023147,-54.8646,-38.9023,0,0,0
-54.6809,-38.8668,1,2023148,-54.9204,-38.6863,0,0,0
-54.7017,-38.7181,0,2023149,-54.9966,-38.4533,0,0,0
-54.7586,-38.5433,0,2023150,-55.0824,-38.2149,0,0,0
-54.8431,-38.3512,0,2023151,-55.167,-37.9822,0,0,0
-54.9469,-38.1502,0,2023152,-55.2398,-37.7668,0,0,0
-55.0615,-37.9489,0,2023153,-55.29,-37.58,1,32,6
-55.1787,-37.756,0,2023154,-55.3236,-37.4158,0,0,0
-55.29,-37.58,1,2023155,-55.3541,-37.2604,0,0,0
-55.411,-37.425,1,2023156,-55.3813,-37.1137,0,0,0
-55.4043,-37.1015,1,2023157,-55.4055,-36.9755,0,0,0
-55.4873,-37.0015,1,2023158,-55.4266,-36.8456,0,0,0
-55.46,-36.61,1,2023159,-55.4448,-36.7238,0,0,0
-55.476,-36.529,1,2023160,-55.46,-36.61,1,28,3
-55.4797,-36.4344,1,2023161,0,0,0,0,0
-55.4948,-36.3912,0,2023162,0,0,0,0,0
-55.52,-36.34,1,2023163,0,0,0,0,0
-55.5533,-36.1457,1,2023164,0,0,0,0,0
-55.5533,-36.1457,1,2023165,0,0,0,0,0
-55.5533,-36.1457,1,2023166,0,0,0,0,0
-55.5809,-36.1094,0,2023167,0,0,0,0,0
-55.6085,-36.0732,1,2023168,0,0,0,0,0
-55.5236,-36.1599,1,2023169,0,0,0,0,0
-55.5363,-36.1451,0,2023170,0,0,0,0,0
-55.549,-36.1303,1,2023171,0,0,0,0,0
-55.549,-36.1303,1,2023172,0,0,0,0,0
-55.5851,-36.0431,1,2023173,0,0,0,0,0
-55.6325,-35.9568,1,2023174,0,0,0,0,0
-55.6325,-35.9568,1,2023175,0,0,0,0,0
-55.7043,-35.898,1,2023176,0,0,0,0,0
-55.5926,-35.6431,1,2023177,0,0,0,0,0
-55.6163,-35.1548,0,2023178,0,0,0,0,0
-55.64,-34.82,1,2023179,0,0,0,0,0
-55.64,-34.82,1,2023180,0,0,0,0,0
-55.64,-34.82,0,2023181,-55.64,-34.82,1,28,3
-55.64,-34.82,0,2023182,-55.64,-34.82,0,0,0
-55.64,-34.82,0,2023183,-55.64,-34.82,0,0,0
-55.64,-34.82,0,2023184,-55.64,-34.82,0,0,0
-55.64,-34.82,0,2023185,-55.64,-34.82,0,0,0
-55.64,-34.82,0,2023186,-55.64,-34.82,0,0,0
-55.64,-34.82,0,2023187,-55.64,-34.82,0,0,0
