ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-54.16,-41.96,1,2023132,-54.16,-41.96,1,7,6
-54.16,-41.96,1,2023133,-54.16,-41.96,0,0,0
-54.0928,-42.1085,1,2023134,-54.16,-41.96,0,0,0
-54.062,-41.9964,1,2023135,-54.16,-41.96,0,0,0
-54.062,-41.9964,1,2023136,-54.16,-41.96,0,0,0
-54.062,-41.9964,1,2023137,-54.16,-41.96,0,0,0
-54.0782,-42.024,0,2023138,-54.16,-41.96,0,0,0
-54.1121,-42.0771,1,2023139,-54.16,-41.96,1,7,6
-54.1656,-42.1416,1,2023140,0,0,0,0,0
-54.064,-42.1818,1,2023141,0,0,0,0,0
-54.064,-42.1818,1,2023142,0,0,0,0,0
-54.064,-42.1818,1,2023143,0,0,0,0,0
-54.064,-42.1818,1,2023144,0,0,0,0,0
-54.064,-42.1818,0,2023145,0,0,0,0,0
-54.064,-42.1818,1,2023146,0,0,0,0,0
-53.9522,-42.3233,1,2023147,0,0,0,0,0
-53.9522,-42.3233,1,2023148,0,0,0,0,0
