ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-55.5,-36.92,1,2023160,-55.5,-36.92,1,35,4
-55.4798,-36.7642,1,2023161,0,0,0,0,0
-55.5282,-36.4109,0,2023162,0,0,0,0,0
-55.6261,-35.9601,1,2023163,0,0,0,0,0
-55.7641,-35.5452,1,2023164,0,0,0,0,0
-55.769,-35.3884,1,2023165,0,0,0,0,0
-55.7966,-35.0545,1,2023166,0,0,0,0,0
-55.8024,-34.9485,0,2023167,0,0,0,0,0
-55.8045,-34.861,1,2023168,0,0,0,0,0
-55.727,-34.7047,1,2023169,0,0,0,0,0
-55.6977,-34.6386,1,2023170,0,0,0,0,0
-55.6483,-34.5602,0,2023171,0,0,0,0,0
-55.5996,-34.4721,1,2023172,0,0,0,0,0
-55.5721,-34.3716,1,2023173,0,0,0,0,0
-55.5721,-34.3716,1,2023174,0,0,0,0,0
-55.5721,-34.3716,1,2023175,0,0,0,0,0
-55.5374,-34.3165,1,2023176,0,0,0,0,0
-55.5374,-34.3165,1,2023177,0,0,0,0,0
-55.2532,-34.2233,0,2023178,0,0,0,0,0
-54.94,-34.13,1,2023179,0,0,0,0,0
-54.9047,-34.2545,1,2023180,0,0,0,0,0
-54.8082,-34.3094,0,2023181,-54.94,-34.13,1,35,4
-54.6861,-34.3629,1,2023182,-54.94,-34.13,0,0,0
-54.5831,-34.4873,0,2023183,-54.94,-34.13,0,0,0
-54.4955,-34.6192,1,2023184,-54.94,-34.13,0,0,0
-54.4213,-34.7129,0,2023185,-54.94,-34.13,0,0,0
-54.3825,-34.7609,1,2023186,-54.94,-34.13,0,0,0
-54.527,-34.5973,0,2023187,-54.94,-34.13,0,0,0
-54.7955,-34.2936,0,2023188,-54.94,-34.13,1,35,4
-54.94,-34.13,1,2023189,-54.8619,-34.2419,0,0,0
-54.9055,-34.2226,1,2023190,-54.6605,-34.5305,0,0,0
-54.6631,-34.5695,0,2023191,-54.385,-34.925,0,0,0
-54.1983,-35.1715,0,2023192,-54.085,-35.355,0,0,0
-53.7432,-35.7809,0,2023193,-53.8095,-35.7495,0,0,0
-53.53,-36.15,1,2023194,-53.6081,-36.0381,0,0,0
-53.5178,-36.3007,0,2023195,-53.53,-36.15,1,35,4
-53.5131,-36.3683,1,2023196,-53.53,-36.15,0,0,0
-53.5131,-36.3683,1,2023197,-53.53,-36.15,0,0,0
-53.5131,-36.3683,0,2023198,-53.53,-36.15,0,0,0
-53.5131,-36.3683,1,2023199,-53.53,-36.15,0,0,0
-53.4967,-36.4137,0,2023200,-53.53,-36.15,0,0,0
-53.4607,-36.5269,0,2023201,-53.53,-36.15,0,0,0
-53.4246,-36.6728,0,2023202,-53.53,-36.15,1,35,4
-53.4082,-36.8168,1,2023203,0,0,0,0,0
-53.4107,-36.9652,1,2023204,0,0,0,0,0
-53.3693,-37.1787,0,2023205,0,0,0,0,0
-53.2924,-37.4067,0,2023206,0,0,0,0,0
-53.251,-37.5129,1,2023207,0,0,0,0,0
-53.251,-37.5129,1,2023208,0,0,0,0,0
-53.1611,-37.9944,1,2023209,0,0,0,0,0
-53.1813,-38.2305,0,2023210,0,0,0,0,0
-53.2187,-38.3989,0,2023211,0,0,0,0,0
-53.2389,-38.4631,1,2023212,0,0,0,0,0
-53.2389,-38.4631,1,2023213,0,0,0,0,0
0,0,0,2023216,-52.49,-38.14,1,35,4
