ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-71.43,-60.33,1,2022336,-71.43,-60.33,1,13,5
-71.43,-60.33,1,2022337,0,0,0,0,0
-71.43,-60.33,1,2022338,0,0,0,0,0
-71.43,-60.33,1,2022339,0,0,0,0,0
-71.5151,-60.1795,1,2022340,0,0,0,0,0
-71.5151,-60.1795,1,2022341,0,0,0,0,0
-71.5151,-60.1795,1,2022342,0,0,0,0,0
-71.4817,-60.2397,1,2022343,0,0,0,0,0
-71.4817,-60.2397,1,2022344,0,0,0,0,0
-71.4817,-60.2397,1,2022345,0,0,0,0,0
-71.4817,-60.2397,1,2022346,0,0,0,0,0
-71.4817,-60.2397,1,2022347,0,0,0,0,0
-71.5071,-60.1938,1,2022348,0,0,0,0,0
-71.5047,-60.1504,0,2022349,0,0,0,0,0
-71.5023,-60.1046,1,2022350,0,0,0,0,0
-71.5207,-60.0349,0,2022351,0,0,0,0,0
-71.5391,-59.9902,1,2022352,0,0,0,0,0
-71.5391,-59.9902,1,2022353,0,0,0,0,0
-71.5476,-59.909,1,2022354,0,0,0,0,0
-71.5688,-59.8373,1,2022355,0,0,0,0,0
-71.49,-59.96,1,2022356,0,0,0,0,0
-71.49,-59.96,1,2022357,-71.49,-59.96,1,13,5
-71.49,-59.96,1,2022358,-71.4969,-59.9249,0,0,0
-71.49,-59.96,1,2022359,-71.5069,-59.8794,0,0,0
-71.49,-59.96,1,2022360,-71.5193,-59.8257,0,0,0
-71.5095,-59.7671,1,2022361,-71.5334,-59.7659,0,0,0
-71.5375,-59.6678,1,2022362,-71.5486,-59.7019,0,0,0
-71.5464,-59.6513,1,2022363,-71.5644,-59.6359,0,0,0
-71.58,-59.57,1,2022364,-71.58,-59.57,1,6,3
-71.6054,-59.457,0,2022365,0,0,0,0,0
-71.6265,-59.3369,1,2023001,0,0,0,0,0
-71.6265,-59.3369,0,2023002,0,0,0,0,0
-71.6265,-59.3369,1,2023003,0,0,0,0,0
-71.6847,-59.2119,1,2023004,0,0,0,0,0
-71.6847,-59.2119,1,2023005,0,0,0,0,0
-71.7287,-59.1951,1,2023006,0,0,0,0,0
