date,nic_1,nic_2,nic_3,sass_1,sass_2,sass_3,size_1,size_2
1978204,0,0,0,-73.25,-135.1,1,0,0
1978205,0,0,0,-73.25,-135.1,1,0,0
1978206,0,0,0,-73.25,-135.1,1,0,0
1978207,0,0,0,-73.25,-135.1,1,0,0
1978208,0,0,0,-73.25,-135.1,1,0,0
1978209,0,0,0,-73.25,-135.1,1,0,0
1978210,0,0,0,-73.25,-135.1,1,0,0
1978211,0,0,0,-73.25,-135.1,1,0,0
1978212,0,0,0,-73.25,-135.1,1,0,0
1978213,0,0,0,-73.25,-135.1,1,0,0
1978214,0,0,0,-73.25,-135.1,1,0,0
1978215,0,0,0,-73.25,-135.1,1,0,0
1978216,0,0,0,-73.25,-135.1,1,0,0
1978217,0,0,0,-73.25,-135.1,1,0,0
1978218,0,0,0,-73.25,-135.1,1,0,0
1978219,0,0,0,-73.25,-135.1,1,0,0
1978220,0,0,0,-73.25,-135.1,1,0,0
1978221,0,0,0,-73.25,-135.1,1,0,0
1978222,0,0,0,-73.2303,-135.2189,1,0,0
1978223,0,0,0,-73.1908,-135.4568,1,0,0
1978224,0,0,0,-73.1514,-135.6947,1,0,0
1978225,0,0,0,-73.1119,-135.9326,1,0,0
1978226,0,0,0,-73.0725,-136.1705,1,0,0
1978227,0,0,0,-73.033,-136.4084,1,0,0
1978228,0,0,0,-73.0073,-136.5161,1,0,0
1978229,0,0,0,-72.9953,-136.4934,1,0,0
1978230,0,0,0,-72.9833,-136.4707,1,0,0
1978231,0,0,0,-72.9714,-136.448,1,0,0
1978232,0,0,0,-72.9594,-136.4253,1,0,0
1978233,0,0,0,-72.9474,-136.4026,1,0,0
1978234,0,0,0,-72.9494,-136.4064,1,0,0
1978235,0,0,0,-72.9654,-136.4367,1,0,0
1978236,0,0,0,-72.9813,-136.4669,1,0,0
1978237,0,0,0,-72.9973,-136.4972,1,0,0
1978238,0,0,0,-73.0133,-136.5274,1,0,0
1978239,0,0,0,-72.9654,-136.4367,1,0,0
1978240,0,0,0,-72.9381,-136.3931,1,0,0
1978241,0,0,0,-72.9314,-136.3968,1,0,0
1978242,0,0,0,-72.9246,-136.4005,1,0,0
1978243,0,0,0,-72.918,-136.4041,1,0,0
