date,nic_1,nic_2,nic_3,size_1,size_2
1987102,-72.6,-109.5,1,20,20
1987172,-71.8,-113.3,1,20,20
1987186,-72.1,-113.9,1,20,20
1987249,-73.2,-112.1,1,20,20
1987250,-73.1778,-112.1055,0,0,0
1987251,-73.1207,-112.1198,0,0,0
1987252,-73.0426,-112.1394,0,0,0
1987253,-72.9574,-112.1606,0,0,0
1987254,-72.8793,-112.1802,0,0,0
1987255,-72.8222,-112.1945,0,0,0
1987256,-72.8,-112.2,1,20,20
1987257,-72.8055,-112.1778,0,0,0
1987258,-72.8198,-112.1207,0,0,0
1987259,-72.8394,-112.0426,0,0,0
1987260,-72.8606,-111.9574,0,0,0
1987261,-72.8802,-111.8793,0,0,0
1987262,-72.8945,-111.8222,0,0,0
1987263,-72.9,-111.8,1,20,20
1987277,-72.9,-112.2,1,20,20
1987305,-72.9,-112.1,1,20,20
1987319,-72.95,-112.05,1,20,20
1987333,-73.1,-112.5,1,20,20
1987334,-73.0889,-112.4723,0,0,0
1987335,-73.0603,-112.4009,0,0,0
1987336,-73.0213,-112.3032,0,0,0
1987337,-72.9787,-112.1968,0,0,0
1987338,-72.9397,-112.0991,0,0,0
1987339,-72.9111,-112.0277,0,0,0
1987340,-72.9,-112,1,20,20
1987361,-73,-112,1,20,15
1988010,-72.8,-112.4,1,20,15
1988045,-72.8,-112.8,1,20,15
1988122,-73.9,-112.8,1,20,12
1988136,-73.7,-113.8,1,20,12
1988150,-73.7,-115.8,1,20,12
1988151,-73.6501,-115.9113,0,0,0
1988152,-73.5216,-116.0157,0,0,0
1988153,-73.3458,-116.1151,0,0,0
1988154,-73.1542,-116.2113,0,0,0
1988155,-72.9784,-116.3063,0,0,0
1988156,-72.8499,-116.4019,0,0,0
1988157,-72.8,-116.5,1,20,12
1988158,-72.8443,-116.6122,0,0,0
1988159,-72.9586,-116.7408,0,0,0
1988160,-73.1149,-116.8735,0,0,0
1988161,-73.2851,-116.998,0,0,0
1988162,-73.4414,-117.102,0,0,0
1988163,-73.5557,-117.1735,0,0,0
1988164,-73.6,-117.2,1,20,12
1988178,-73.6,-117.2,1,20,12
1988227,-73.8,-118.3,1,20,12
1988332,-73.6,-119,1,20,12
1988353,-73.8,-118.5,1,20,12
1989008,-73.7,-121,1,20,12
