date,nic_1,nic_2,nic_3,size_1,size_2
1990084,-76.4,-153.7,1,10,7
1990112,-76.5,-155.8,1,10,7
1990168,-76.4,-156,1,10,7
1990182,-76.7,-157.4,1,10,7
1990203,-76.8,-157.7,1,10,7
1990266,-76.8,-157.7,1,10,7
1990315,-76.8,-157.8,1,10,7
1991097,-77,-157.8,1,10,7
1991098,-76.9963,-157.7557,0,0,0
1991099,-76.9862,-157.6414,0,0,0
1991100,-76.9716,-157.4851,0,0,0
1991101,-76.9539,-157.3149,0,0,0
1991102,-76.935,-157.1586,0,0,0
1991103,-76.9165,-157.0443,0,0,0
1991104,-76.9,-157,1,10,7
1991216,-75.1,-157.8,1,10,7
1991217,-75.1,-157.8,0,0,0
1991218,-75.1,-157.8,0,0,0
1991219,-75.1,-157.8,0,0,0
1991220,-75.1,-157.8,0,0,0
1991221,-75.1,-157.8,0,0,0
1991222,-75.1,-157.8,0,0,0
1991223,-75.1,-157.8,1,10,7
1991224,-75.1665,-157.5397,0,0,0
1991225,-75.3379,-156.8682,0,0,0
1991226,-75.5723,-155.9501,0,0,0
1991227,-75.8277,-154.9499,0,0,0
1991228,-76.0621,-154.0318,0,0,0
1991229,-76.2335,-153.3603,0,0,0
1991230,-76.3,-153.1,1,10,7
1991279,-75.6,-161.8,1,10,7
1991314,-75.6,-161.8,1,10,7
