date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,size_1,size_2
1990084,0,0,0,-74,-134.1,1,10,5
1990105,0,0,0,-74.2,-138.8,1,10,5
1990182,0,0,0,-73.3,-149.8,1,10,5
1990231,0,0,0,-73.5,-151,1,10,5
1990266,0,0,0,-73.5,-151.1,1,10,5
1991069,0,0,0,-74.1,-159.4,1,10,5
1991174,0,0,0,-69,-178.8,1,10,5
1991188,0,0,0,-68.6,-179.4,1,10,5
1991216,0,0,0,-67.8,-179.5,1,10,5
1992019,0,0,0,-67.3,-171.8,1,10,5
1992037,-69.8775,-174.6157,1,0,0,0,0,0
1992038,-69.8637,-174.4852,1,0,0,0,0,0
1992039,-69.8498,-174.3547,1,0,0,0,0,0
1992040,-69.8324,-174.1423,1,-67.3,-171.8,1,10,5
1992041,-69.8114,-173.8479,1,0,0,0,0,0
1992042,-69.7903,-173.5535,1,0,0,0,0,0
1992043,-69.7798,-173.4063,1,0,0,0,0,0
1992044,-69.7798,-173.4063,1,0,0,0,0,0
1992045,-69.7798,-173.4063,1,0,0,0,0,0
1992046,-69.8185,-173.6451,1,0,0,0,0,0
1992047,-69.896,-174.1226,1,0,0,0,0,0
1992048,-69.9735,-174.6001,1,0,0,0,0,0
1992049,-70.0216,-174.9381,1,0,0,0,0,0
1992050,-70.0405,-175.1365,1,0,0,0,0,0
1992051,-70.0593,-175.335,1,0,0,0,0,0
