ascat_1,ascat_2,ascat_3,date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
0,0,0,1989225,0,0,0,-70.9,170.2,1,0,0,0,0,0,0,0,0,0,0,0,0,55,19
0,0,0,1989226,0,0,0,-70.8361,170.0693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989227,0,0,0,-70.7735,169.9391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989228,0,0,0,-70.7127,169.8095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989229,0,0,0,-70.6544,169.6808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989230,0,0,0,-70.5991,169.5528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989231,0,0,0,-70.5474,169.4259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989232,0,0,0,-70.5,169.3,1,0,0,0,0,0,0,0,0,0,0,0,0,55,19
0,0,0,1989246,0,0,0,-70,167.6,1,0,0,0,0,0,0,0,0,0,0,0,0,55,19
0,0,0,1989247,0,0,0,-69.9801,167.6055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989248,0,0,0,-69.9603,167.6198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989249,0,0,0,-69.9416,167.6394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989250,0,0,0,-69.925,167.6606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989251,0,0,0,-69.9119,167.6802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989252,0,0,0,-69.9032,167.6945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989253,0,0,0,-69.9,167.7,1,0,0,0,0,0,0,0,0,0,0,0,0,55,19
0,0,0,1989254,0,0,0,-69.9055,167.6973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989255,0,0,0,-69.9198,167.6896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989256,0,0,0,-69.9394,167.6776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989257,0,0,0,-69.9606,167.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989258,0,0,0,-69.9802,167.6434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989259,0,0,0,-69.9945,167.6225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989260,0,0,0,-70,167.6,1,0,0,0,0,0,0,0,0,0,0,0,0,55,19
0,0,0,1989274,0,0,0,-69.8,166.2,1,0,0,0,0,0,0,0,0,0,0,0,0,55,19
0,0,0,1989275,0,0,0,-69.8,166.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989276,0,0,0,-69.8,166.2793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989277,0,0,0,-69.8,166.3574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989278,0,0,0,-69.8,166.4426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989279,0,0,0,-69.8,166.5207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1989280,0,0,0,-69.8,166.5778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
