ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
0,0,0,2010339,-67.09,144.88,1,0,0,0,13,3
0,0,0,2010346,-67.08,144.89,1,0,0,0,13,3
0,0,0,2010353,-67.08,144.89,1,0,0,0,13,3
0,0,0,2010360,-67.08,144.89,1,0,0,0,13,3
0,0,0,2011002,-67.08,144.89,1,0,0,0,13,3
0,0,0,2011009,-67.09,144.86,1,0,0,0,13,3
0,0,0,2011016,-67.09,144.87,1,0,0,0,13,3
0,0,0,2011023,-67.1,144.87,1,0,0,0,13,3
0,0,0,2011030,-67.09,144.88,1,0,0,0,13,3
0,0,0,2011037,-67.09,144.88,1,0,0,0,13,3
0,0,0,2011044,-67.07,144.92,1,0,0,0,13,3
0,0,0,2011045,-67.0674,144.93,0,0,0,0,0,0
0,0,0,2011046,-67.0651,144.9428,0,0,0,0,0,0
0,0,0,2011047,-67.0629,144.9578,0,0,0,0,0,0
0,0,0,2011051,-67.05,145.03,1,0,0,0,13,3
0,0,0,2011052,-67.0424,145.0525,0,0,0,0,0,0
0,0,0,2011053,-67.0302,145.0807,0,0,0,0,0,0
0,0,0,2011055,-66.9964,145.1407,0,0,0,0,0,0
0,0,0,2011056,-66.9772,145.1659,0,0,0,0,0,0
0,0,0,2011057,-66.958,145.1834,0,0,0,0,0,0
0,0,0,2011058,-66.94,145.19,1,0,0,0,13,3
0,0,0,2011059,-66.9232,145.183,0,0,0,0,0,0
0,0,0,2011060,-66.9064,145.1642,0,0,0,0,0,0
0,0,0,2011061,-66.8893,145.1369,0,0,0,0,0,0
0,0,0,2011062,-66.8715,145.1046,0,0,0,0,0,0
0,0,0,2011063,-66.8526,145.0704,0,0,0,0,0,0
0,0,0,2011064,-66.8323,145.0378,0,0,0,0,0,0
0,0,0,2011065,-66.81,145.01,1,0,0,0,13,3
0,0,0,2011066,-66.7858,144.9878,0,0,0,0,0,0
0,0,0,2011067,-66.7597,144.9685,0,0,0,0,0,0
0,0,0,2011068,-66.7313,144.9501,0,0,0,0,0,0
0,0,0,2011069,-66.7005,144.9309,0,0,0,0,0,0
0,0,0,2011070,-66.6668,144.909,0,0,0,0,0,0
0,0,0,2011071,-66.6301,144.8827,0,0,0,0,0,0
0,0,0,2011072,-66.59,144.85,1,0,0,0,13,3
0,0,0,2011073,-66.5348,144.8056,0,0,0,0,0,0
0,0,0,2011074,-66.46,144.7456,0,0,0,0,0,0
0,0,0,2011075,-66.3758,144.6701,0,0,0,0,0,0
0,0,0,2011076,-66.2924,144.5796,0,0,0,0,0,0
0,0,0,2011077,-66.2201,144.4742,0,0,0,0,0,0
0,0,0,2011078,-66.1692,144.3542,0,0,0,0,0,0
0,0,0,2011079,-66.15,144.22,1,0,0,0,13,3
0,0,0,2011080,-66.1611,144.0277,0,0,0,0,0,0
0,0,0,2011081,-66.1897,143.7494,0,0,0,0,0,0
0,0,0,2011082,-66.2287,143.4096,0,0,0,0,0,0
0,0,0,2011083,-66.2713,143.0325,0,0,0,0,0,0
0,0,0,2011084,-66.3103,142.6423,0,0,0,0,0,0
0,0,0,2011085,-66.3389,142.2634,0,0,0,0,0,0
0,0,0,2011086,-66.35,141.92,1,0,0,0,13,3
0,0,0,2011087,-66.3286,141.5994,0,0,0,0,0,0
0,0,0,2011088,-66.2715,141.2756,0,0,0,0,0,0
0,0,0,2011089,-66.1895,140.9533,0,0,0,0,0,0
0,0,0,2011090,-66.0936,140.637,0,0,0,0,0,0
0,0,0,2011091,-65.9945,140.3313,0,0,0,0,0,0
0,0,0,2011092,-65.903,140.0408,0,0,0,0,0,0
0,0,0,2011093,-65.83,139.77,1,0,0,0,13,3
0,0,0,2011107,-65.15,136.73,1,0,0,0,13,3
0,0,0,2011108,-65.0955,136.446,0,0,0,0,0,0
0,0,0,2011109,-65.033,136.131,0,0,0,0,0,0
0,0,0,2011110,-64.9686,135.7962,0,0,0,0,0,0
0,0,0,2011111,-64.9081,135.4526,0,0,0,0,0,0
0,0,0,2011112,-64.8576,135.1113,0,0,0,0,0,0
0,0,0,2011113,-64.8229,134.7834,0,0,0,0,0,0
0,0,0,2011114,-64.81,134.48,1,0,0,0,13,3
0,0,0,2011115,-64.8127,134.1851,0,0,0,0,0,0
0,0,0,2011116,-64.8199,133.883,0,0,0,0,0,0
0,0,0,2011117,-64.8308,133.5849,0,0,0,0,0,0
0,0,0,2011118,-64.8443,133.3022,0,0,0,0,0,0
0,0,0,2011119,-64.8593,133.0463,0,0,0,0,0,0
0,0,0,2011120,-64.8749,132.8284,0,0,0,0,0,0
0,0,0,2011121,-64.89,132.66,1,0,0,0,13,3
0,0,0,2011122,-64.9081,132.5234,0,0,0,0,0,0
0,0,0,2011123,-64.9315,132.3954,0,0,0,0,0,0
0,0,0,2011124,-64.9574,132.2791,0,0,0,0,0,0
0,0,0,2011125,-64.983,132.1773,0,0,0,0,0,0
0,0,0,2011126,-65.0055,132.0933,0,0,0,0,0,0
0,0,0,2011127,-65.0221,132.0298,0,0,0,0,0,0
0,0,0,2011128,-65.03,131.99,1,0,0,0,13,3
0,0,0,2011129,-65.0325,131.9656,0,0,0,0,0,0
0,0,0,2011130,-65.0347,131.9456,0,0,0,0,0,0
0,0,0,2011131,-65.0365,131.9292,0,0,0,0,0,0
0,0,0,2011132,-65.038,131.9154,0,0,0,0,0,0
0,0,0,2011133,-65.0391,131.9033,0,0,0,0,0,0
0,0,0,2011134,-65.0398,131.8918,0,0,0,0,0,0
0,0,0,2011135,-65.04,131.88,1,0,0,0,13,3
0,0,0,2011136,-65.0381,131.8693,0,0,0,0,0,0
0,0,0,2011137,-65.0328,131.8608,0,0,0,0,0,0
0,0,0,2011138,-65.0248,131.8533,0,0,0,0,0,0
0,0,0,2011139,-65.0148,131.8457,0,0,0,0,0,0
0,0,0,2011140,-65.0036,131.8367,0,0,0,0,0,0
0,0,0,2011141,-64.9917,131.8252,0,0,0,0,0,0
0,0,0,2011142,-64.98,131.81,1,0,0,0,13,3
0,0,0,2011143,-64.965,131.783,0,0,0,0,0,0
0,0,0,2011144,-64.9445,131.7383,0,0,0,0,0,0
0,0,0,2011145,-64.9216,131.6783,0,0,0,0,0,0
0,0,0,2011146,-64.8988,131.6052,0,0,0,0,0,0
0,0,0,2011147,-64.8791,131.5213,0,0,0,0,0,0
0,0,0,2011148,-64.8652,131.4288,0,0,0,0,0,0
0,0,0,2011149,-64.86,131.33,1,0,0,0,13,3
0,0,0,2011150,-64.8631,131.2005,0,0,0,0,0,0
0,0,0,2011151,-64.8716,131.0246,0,0,0,0,0,0
0,0,0,2011152,-64.8843,130.8173,0,0,0,0,0,0
0,0,0,2011153,-64.8997,130.594,0,0,0,0,0,0
0,0,0,2011154,-64.9167,130.3699,0,0,0,0,0,0
0,0,0,2011155,-64.9339,130.1602,0,0,0,0,0,0
0,0,0,2011156,-64.95,129.98,1,0,0,0,13,3
0,0,0,2011157,-64.9658,129.8322,0,0,0,0,0,0
0,0,0,2011158,-64.9827,129.7032,0,0,0,0,0,0
0,0,0,2011159,-65.0006,129.5838,0,0,0,0,0,0
0,0,0,2011160,-65.0194,129.465,0,0,0,0,0,0
0,0,0,2011161,-65.039,129.3375,0,0,0,0,0,0
0,0,0,2011162,-65.0592,129.1923,0,0,0,0,0,0
0,0,0,2011163,-65.08,129.02,1,0,0,0,13,3
0,0,0,2011164,-65.1035,128.8009,0,0,0,0,0,0
0,0,0,2011165,-65.1307,128.5307,0,0,0,0,0,0
0,0,0,2011166,-65.1594,128.2232,0,0,0,0,0,0
0,0,0,2011167,-65.1877,127.8924,0,0,0,0,0,0
0,0,0,2011168,-65.2136,127.5523,0,0,0,0,0,0
0,0,0,2011169,-65.2351,127.2168,0,0,0,0,0,0
0,0,0,2011170,-65.25,126.9,1,0,0,0,13,3
0,0,0,2011171,-65.2595,126.6039,0,0,0,0,0,0
0,0,0,2011172,-65.2666,126.3169,0,0,0,0,0,0
0,0,0,2011173,-65.2723,126.0322,0,0,0,0,0,0
0,0,0,2011174,-65.2775,125.7429,0,0,0,0,0,0
0,0,0,2011175,-65.2832,125.4423,0,0,0,0,0,0
0,0,0,2011176,-65.2904,125.1236,0,0,0,0,0,0
0,0,0,2011177,-65.3,124.78,1,0,0,0,13,3
0,0,0,2011178,-65.3173,124.3818,0,0,0,0,0,0
0,0,0,2011179,-65.3441,123.9227,0,0,0,0,0,0
0,0,0,2011180,-65.3764,123.4313,0,0,0,0,0,0
0,0,0,2011181,-65.4102,122.9358,0,0,0,0,0,0
0,0,0,2011182,-65.4414,122.4648,0,0,0,0,0,0
0,0,0,2011183,-65.466,122.0468,0,0,0,0,0,0
0,0,0,2011184,-65.48,121.71,1,0,0,0,13,3
0,0,0,2011185,-65.4861,121.4384,0,0,0,0,0,0
0,0,0,2011186,-65.4902,121.194,0,0,0,0,0,0
0,0,0,2011187,-65.4932,120.9721,0,0,0,0,0,0
0,0,0,2011188,-65.4959,120.7683,0,0,0,0,0,0
0,0,0,2011189,-65.499,120.578,0,0,0,0,0,0
0,0,0,2011190,-65.5034,120.3967,0,0,0,0,0,0
0,0,0,2011191,-65.51,120.22,1,0,0,0,13,3
0,0,0,2011192,-65.531,120.0325,0,0,0,0,0,0
0,0,0,2011193,-65.5736,119.8323,0,0,0,0,0,0
0,0,0,2011194,-65.6305,119.6343,0,0,0,0,0,0
0,0,0,2011195,-65.6948,119.454,0,0,0,0,0,0
0,0,0,2011196,-65.7592,119.3063,0,0,0,0,0,0
0,0,0,2011197,-65.8166,119.2066,0,0,0,0,0,0
0,0,0,2011198,-65.86,119.17,1,0,0,0,13,3
0,0,0,2011199,-65.8949,119.1772,0,0,0,0,0,0
0,0,0,2011200,-65.9303,119.1958,0,0,0,0,0,0
0,0,0,2011201,-65.9641,119.2212,0,0,0,0,0,0
0,0,0,2011202,-65.9941,119.2488,0,0,0,0,0,0
0,0,0,2011203,-66.0182,119.2742,0,0,0,0,0,0
