ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-66.5029,142.1028,1,2015295,0,0,0,0,0
-66.5029,142.1028,1,2015296,0,0,0,0,0
-66.5029,142.1028,1,2015297,0,0,0,0,0
-66.5029,142.1028,1,2015298,0,0,0,0,0
-66.4361,141.9467,1,2015299,0,0,0,0,0
-66.4361,141.9467,1,2015300,0,0,0,0,0
-66.4707,141.8917,1,2015301,0,0,0,0,0
-66.4707,141.8917,1,2015302,0,0,0,0,0
-66.4707,141.8917,1,2015303,-66.5,142.0333,1,12,6
-66.4112,141.9485,1,2015304,-66.4592,142.0228,0,0,0
-66.3628,141.9537,1,2015305,-66.4176,141.9998,0,0,0
-66.3074,141.9369,1,2015306,-66.3754,141.9662,0,0,0
-66.2284,141.9662,1,2015307,-66.3325,141.9241,0,0,0
-66.2036,141.8016,1,2015308,-66.289,141.8754,0,0,0
-66.2036,141.8016,1,2015309,-66.2448,141.8223,0,0,0
-66.2036,141.8016,1,2015310,-66.2,141.7667,1,12,6
-66.2036,141.8016,1,2015311,-66.1526,141.6958,0,0,0
-66.0779,141.6508,1,2015312,-66.1018,141.6006,0,0,0
-65.9668,141.319,0,2015313,-66.0496,141.4883,0,0,0
-65.9075,141.0824,1,2015314,-65.998,141.3664,0,0,0
-65.9075,141.0824,1,2015315,-65.949,141.2422,0,0,0
-65.839,141.031,1,2015316,-65.9046,141.1232,0,0,0
-65.784,140.8632,1,2015317,-65.8667,141.0167,1,12,6
-65.7676,140.7371,1,2015318,0,0,0,0,0
-65.7285,140.6619,1,2015319,0,0,0,0,0
-65.7285,140.6619,1,2015320,0,0,0,0,0
-65.7285,140.6619,1,2015321,0,0,0,0,0
-65.6515,140.397,1,2015322,0,0,0,0,0
-65.6515,140.397,1,2015323,0,0,0,0,0
-65.6127,140.2459,1,2015324,0,0,0,0,0
-65.6127,140.2459,1,2015325,0,0,0,0,0
-65.6127,140.2459,1,2015326,0,0,0,0,0
-65.5886,139.9876,1,2015327,0,0,0,0,0
-65.5101,139.84,1,2015328,0,0,0,0,0
-65.5101,139.84,1,2015329,0,0,0,0,0
-65.5101,139.84,1,2015330,0,0,0,0,0
-65.5101,139.84,1,2015331,-65.5167,139.7833,1,12,6
-65.5101,139.84,1,2015332,-65.5133,139.7544,0,0,0
-65.5101,139.84,1,2015333,-65.5109,139.7271,0,0,0
-65.5101,139.84,0,2015334,-65.509,139.7022,0,0,0
-65.5101,139.84,1,2015335,-65.5074,139.681,0,0,0
-65.5101,139.84,1,2015336,-65.5056,139.6645,0,0,0
-65.5101,139.84,1,2015337,-65.5032,139.6538,0,0,0
-65.4826,139.6128,1,2015338,-65.5,139.65,1,12,6
-65.4826,139.6128,1,2015339,-65.4945,139.6537,0,0,0
-65.4826,139.6128,1,2015340,-65.4862,139.6632,0,0,0
-65.4645,139.5999,0,2015341,-65.476,139.6763,0,0,0
-65.4463,139.587,1,2015342,-65.4647,139.6904,0,0,0
-65.4463,139.587,1,2015343,-65.4533,139.7035,0,0,0
-65.4463,139.587,1,2015344,-65.4425,139.713,0,0,0
-65.4463,139.587,1,2015345,-65.4333,139.7167,1,12,6
-65.4463,139.587,1,2015346,-65.4245,139.6881,0,0,0
-65.3757,139.4597,1,2015347,-65.4151,139.6143,0,0,0
-65.3757,139.4597,0,2015348,-65.4056,139.5133,0,0,0
-65.3757,139.4597,1,2015349,-65.397,139.4034,0,0,0
-65.3757,139.4597,1,2015350,-65.3899,139.3024,0,0,0
-65.3757,139.4597,1,2015351,-65.3851,139.2286,0,0,0
-65.3577,139.1892,1,2015352,-65.3833,139.2,1,12,6
-65.3577,139.1892,1,2015353,0,0,0,0,0
-65.396,139.1879,1,2015354,0,0,0,0,0
-65.396,139.1879,1,2015355,0,0,0,0,0
-65.4109,139.3056,1,2015356,0,0,0,0,0
-65.4109,139.3056,1,2015357,0,0,0,0,0
-65.4109,139.3056,1,2015358,0,0,0,0,0
-65.4109,139.3056,1,2015359,0,0,0,0,0
-65.4109,139.3056,1,2015360,0,0,0,0,0
-65.4109,139.3056,1,2015361,0,0,0,0,0
-65.4109,139.3056,0,2015362,0,0,0,0,0
-65.4109,139.3056,1,2015363,0,0,0,0,0
-65.3977,139.3745,1,2015364,0,0,0,0,0
-65.4106,139.4152,1,2015365,0,0,0,0,0
-65.4106,139.4152,1,2016001,-65.4,139.3833,1,12,6
-65.4106,139.4152,1,2016002,-65.3889,139.3988,0,0,0
-65.4106,139.4152,1,2016003,-65.3603,139.4169,0,0,0
-65.4106,139.4152,1,2016004,-65.3213,139.4359,0,0,0
-65.4106,139.4152,1,2016005,-65.2787,139.4539,0,0,0
-65.2299,139.5692,1,2016006,-65.2397,139.469,0,0,0
-65.2299,139.5692,1,2016007,-65.2111,139.4794,0,0,0
-65.2299,139.5692,1,2016008,-65.2,139.4833,1,0,0
-65.2299,139.5692,1,2016009,-65.2,139.4773,0,0,0
-65.1782,139.522,1,2016010,-65.2,139.4611,0,0,0
-65.1782,139.522,1,2016011,-65.2,139.4372,0,0,0
-65.1782,139.522,1,2016012,-65.2,139.4083,0,0,0
-65.2837,139.2715,1,2016013,-65.2,139.3768,0,0,0
-65.2837,139.2715,1,2016014,-65.2,139.3454,0,0,0
-65.2837,139.2715,1,2016015,-65.2,139.3167,1,12,6
-65.3429,139.292,1,2016016,0,0,0,0,0
-65.3815,139.2364,1,2016017,0,0,0,0,0
-65.4921,138.6876,1,2016018,0,0,0,0,0
-65.026,139.334,1,2016019,0,0,0,0,0
-65.0168,139.144,1,2016020,0,0,0,0,0
-65.0168,139.144,1,2016021,0,0,0,0,0
-64.9284,139.0853,1,2016022,0,0,0,0,0
-64.9284,139.0853,1,2016023,0,0,0,0,0
-64.9521,138.9871,0,2016024,0,0,0,0,0
-64.9759,138.8889,1,2016025,0,0,0,0,0
-64.9759,138.8889,1,2016026,0,0,0,0,0
-64.9759,138.8889,1,2016027,0,0,0,0,0
-64.9759,138.8889,1,2016028,0,0,0,0,0
-64.9759,138.8889,1,2016029,-64.9,138.8833,1,12,6
-64.9759,138.8889,1,2016030,0,0,0,0,0
-65.0247,139.006,0,2016031,0,0,0,0,0
-65.0734,139.1232,1,2016032,0,0,0,0,0
-65.0734,139.1232,1,2016033,0,0,0,0,0
-65.0938,139.2154,1,2016034,0,0,0,0,0
-65.0547,139.072,1,2016035,0,0,0,0,0
-65.0547,139.072,1,2016036,0,0,0,0,0
-65.0547,139.072,1,2016037,0,0,0,0,0
-65.0547,139.072,1,2016038,0,0,0,0,0
-64.975,139.1069,1,2016039,0,0,0,0,0
-64.8904,138.9823,1,2016040,0,0,0,0,0
-64.8904,138.9823,1,2016041,0,0,0,0,0
-64.9162,138.9421,1,2016042,0,0,0,0,0
-64.8461,138.8702,1,2016043,0,0,0,0,0
-64.9183,138.6978,1,2016044,0,0,0,0,0
-64.8861,138.7588,1,2016045,0,0,0,0,0
-64.8861,138.7588,1,2016046,0,0,0,0,0
-64.8861,138.7588,0,2016047,0,0,0,0,0
-64.8861,138.7588,1,2016048,0,0,0,0,0
-64.9755,138.9262,1,2016049,0,0,0,0,0
-64.9791,139.082,1,2016050,0,0,0,0,0
-64.9791,139.082,1,2016051,0,0,0,0,0
-65.045,138.899,1,2016052,0,0,0,0,0
-65.045,138.899,1,2016053,0,0,0,0,0
-65.045,138.899,1,2016054,0,0,0,0,0
-65.045,138.899,0,2016055,0,0,0,0,0
-65.045,138.899,1,2016056,0,0,0,0,0
-64.9894,138.8611,1,2016057,0,0,0,0,0
-64.9894,138.8611,1,2016058,0,0,0,0,0
-64.9777,138.6151,1,2016059,0,0,0,0,0
-64.9777,138.6151,1,2016060,0,0,0,0,0
-65.1155,138.3445,1,2016061,0,0,0,0,0
-65.1714,138.2562,1,2016062,0,0,0,0,0
-65.1714,138.2562,1,2016063,0,0,0,0,0
-65.1714,138.2562,1,2016064,-65.1833,138.25,1,12,6
-65.1808,138.3554,1,2016065,-65.1805,138.2577,0,0,0
-65.1708,138.4717,1,2016066,-65.1734,138.2786,0,0,0
-65.1708,138.4717,1,2016067,-65.1636,138.3095,0,0,0
-65.1629,138.5015,0,2016068,-65.153,138.347,0,0,0
-65.155,138.5701,1,2016069,-65.1432,138.3879,0,0,0
-65.1565,138.7153,1,2016070,-65.1361,138.4289,0,0,0
-65.1565,138.7153,1,2016071,-65.1333,138.4667,1,12,6
-65.2264,138.7584,1,2016072,-65.136,138.5082,0,0,0
-65.2169,138.8434,1,2016073,-65.1432,138.5587,0,0,0
-65.2169,138.8434,1,2016074,-65.1536,138.6126,0,0,0
-65.1911,138.8338,0,2016075,-65.1657,138.6643,0,0,0
-65.1652,138.8085,1,2016076,-65.1784,138.7082,0,0,0
-65.1872,138.7216,1,2016077,-65.1903,138.7386,0,0,0
-65.1872,138.7216,1,2016078,-65.2,138.75,1,12,6
-65.1872,138.7216,1,2016079,-65.2079,138.75,0,0,0
-65.1872,138.7216,1,2016080,-65.2153,138.75,0,0,0
-65.1964,138.8211,1,2016081,-65.2224,138.75,0,0,0
-65.2585,138.8457,1,2016082,-65.2293,138.75,0,0,0
-65.2585,138.8457,1,2016083,-65.2361,138.75,0,0,0
-65.2768,138.7535,1,2016084,-65.243,138.75,0,0,0
-65.2728,138.6726,1,2016085,-65.25,138.75,1,12,6
-65.2728,138.6726,1,2016086,-65.258,138.7454,0,0,0
-65.2728,138.6726,1,2016087,-65.2672,138.7323,0,0,0
-65.2728,138.6726,1,2016088,-65.2767,138.7119,0,0,0
-65.2728,138.6726,1,2016089,-65.2856,138.6856,0,0,0
-65.3042,138.5412,1,2016090,-65.293,138.6546,0,0,0
-65.3294,138.3979,1,2016091,-65.2981,138.6201,0,0,0
-65.3251,138.2812,1,2016092,-65.3,138.5833,1,0,0
-65.3251,138.2812,1,2016093,-65.2996,138.5354,0,0,0
-65.3251,138.2812,1,2016094,-65.2984,138.4689,0,0,0
