date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1995225,0,0,0,-72.3,-125.7,1,0,0,0,0,0,0,64,33
1995239,0,0,0,-72,-125,1,0,0,0,0,0,0,60,25
1995240,0,0,0,-72.0055,-125.0111,0,0,0,0,0,0,0,0,0
1995241,0,0,0,-72.0198,-125.0397,0,0,0,0,0,0,0,0,0
1995242,0,0,0,-72.0394,-125.0787,0,0,0,0,0,0,0,0,0
1995243,0,0,0,-72.0606,-125.1213,0,0,0,0,0,0,0,0,0
1995244,0,0,0,-72.0802,-125.1603,0,0,0,0,0,0,0,0,0
1995245,0,0,0,-72.0945,-125.1889,0,0,0,0,0,0,0,0,0
1995246,0,0,0,-72.1,-125.2,1,0,0,0,0,0,0,60,25
1995260,0,0,0,-72,-125.2,1,0,0,0,0,0,0,60,25
1995265,-71.91,-125.1,1,0,0,0,0,0,0,0,0,0,0,0
1995266,-71.91,-125.1,1,0,0,0,0,0,0,0,0,0,0,0
1995267,-71.91,-125.1,1,0,0,0,0,0,0,0,0,0,0,0
1995268,-71.91,-125.1,1,0,0,0,0,0,0,0,0,0,0,0
1995269,-71.91,-125.1,1,0,0,0,0,0,0,0,0,0,0,0
1995270,-71.91,-125.1,1,0,0,0,0,0,0,0,0,0,0,0
1995271,-71.8878,-125.2057,1,0,0,0,0,0,0,0,0,0,0,0
1995272,-71.8434,-125.417,1,0,0,0,0,0,0,0,0,0,0,0
1995273,-71.799,-125.6284,1,0,0,0,0,0,0,0,0,0,0,0
1995274,-71.7768,-125.7341,1,-71,-125.1,1,0,0,0,0,0,0,60,25
1995275,-71.7768,-125.7341,1,0,0,0,0,0,0,0,0,0,0,0
1995276,-71.7768,-125.7341,1,0,0,0,0,0,0,0,0,0,0,0
1995277,-71.7768,-125.7341,1,0,0,0,0,0,0,0,0,0,0,0
1995278,-71.7768,-125.7341,1,0,0,0,0,0,0,0,0,0,0,0
1995279,-71.7768,-125.7341,1,0,0,0,0,0,0,0,0,0,0,0
1995280,-71.7733,-125.8045,1,0,0,0,0,0,0,0,0,0,0,0
1995281,-71.7662,-125.9452,1,0,0,0,0,0,0,0,0,0,0,0
1995282,-71.7592,-126.0859,1,0,0,0,0,0,0,0,0,0,0,0
1995283,-71.7557,-126.1563,1,0,0,0,0,0,0,0,0,0,0,0
