date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,size_1,size_2
1997054,0,0,0,-75.6,-159.3,1,13,3
1997055,0,0,0,-75.6,-159.5128,0,0,0
1997056,0,0,0,-75.6,-159.7169,0,0,0
1997057,0,0,0,-75.6,-159.9035,0,0,0
1997058,0,0,0,-75.6,-160.0638,0,0,0
1997059,0,0,0,-75.6,-160.1892,0,0,0
1997060,0,0,0,-75.6,-160.2708,0,0,0
1997061,0,0,0,-75.6,-160.3,1,13,3
1997062,0,0,0,-75.6,-160.3,0,0,0
1997063,0,0,0,-75.6,-160.3,0,0,0
1997064,0,0,0,-75.6,-160.3,0,0,0
1997065,0,0,0,-75.6,-160.3,0,0,0
1997066,0,0,0,-75.6,-160.3,0,0,0
1997067,0,0,0,-75.6,-160.3,0,0,0
1997068,0,0,0,-75.6,-160.3,1,13,3
1997148,-71.5566,-161.7093,1,0,0,0,0,0
1997149,-71.4898,-161.5679,1,0,0,0,0,0
1997150,-71.4229,-161.4266,1,0,0,0,0,0
1997151,-71.3895,-161.3559,1,0,0,0,0,0
1997152,-71.3895,-161.3559,1,0,0,0,0,0
1997153,-71.3895,-161.3559,1,0,0,0,0,0
1997154,-71.3317,-161.4762,1,0,0,0,0,0
1997155,-71.2162,-161.7168,1,0,0,0,0,0
1997156,-71.1007,-161.9574,1,0,0,0,0,0
1997157,-70.9993,-162.0287,1,0,0,0,0,0
1997158,-70.9122,-161.9308,1,0,0,0,0,0
1997159,-70.8251,-161.8329,1,0,0,0,0,0
1997160,-70.7596,-161.7266,1,0,0,0,0,0
1997161,-70.7158,-161.6121,1,0,0,0,0,0
1997162,-70.6721,-161.4976,1,0,0,0,0,0
1997163,-70.6561,-161.3814,1,0,0,0,0,0
1997164,-70.6679,-161.2636,1,0,0,0,0,0
1997165,-70.6797,-161.1459,1,0,0,0,0,0
1997166,-70.7332,-160.9608,1,0,0,0,0,0
1997167,-70.8285,-160.7086,1,0,0,0,0,0
1997168,-70.9237,-160.4563,1,0,0,0,0,0
1997169,-70.9931,-160.4166,1,0,0,0,0,0
1997170,-71.0369,-160.5896,1,0,0,0,0,0
1997171,-71.0806,-160.7626,1,0,0,0,0,0
1997172,-71.1041,-160.9613,1,0,0,0,0,0
1997173,-71.1076,-161.1857,1,0,0,0,0,0
1997174,-71.1111,-161.4101,1,0,0,0,0,0
1997175,-71.1087,-161.5832,1,0,0,0,0,0
1997176,-71.1004,-161.705,1,0,0,0,0,0
1997177,-71.0921,-161.8268,1,0,0,0,0,0
1997178,-71.0838,-161.9487,1,0,0,0,0,0
1997179,-71.0755,-162.0705,1,0,0,0,0,0
1997180,-71.0672,-162.1923,1,0,0,0,0,0
1997181,-71.0383,-162.2337,1,0,0,0,0,0
1997182,-70.9888,-162.1946,1,0,0,0,0,0
1997183,-70.9393,-162.1555,1,0,0,0,0,0
1997184,-70.8929,-162.1146,1,0,0,0,0,0
1997185,-70.8498,-162.0718,1,0,0,0,0,0
1997186,-70.8067,-162.0289,1,0,0,0,0,0
1997187,-70.7851,-162.0075,1,0,0,0,0,0
1997188,-70.7851,-162.0075,1,0,0,0,0,0
1997189,-70.7851,-162.0075,1,0,0,0,0,0
1997190,-70.7859,-161.9319,1,0,0,0,0,0
1997191,-70.7876,-161.7806,1,0,0,0,0,0
1997192,-70.7893,-161.6293,1,0,0,0,0,0
1997193,-70.7937,-161.3672,1,0,0,0,0,0
1997194,-70.801,-160.9941,1,0,0,0,0,0
1997195,-70.8082,-160.621,1,0,0,0,0,0
1997196,-70.8118,-160.4345,1,0,0,0,0,0
1997197,-70.8118,-160.4345,1,0,0,0,0,0
1997198,-70.8118,-160.4345,1,0,0,0,0,0
1997199,-70.8118,-160.4345,1,0,0,0,0,0
1997200,-70.8118,-160.4345,1,0,0,0,0,0
1997201,-70.8118,-160.4345,1,0,0,0,0,0
1997202,-70.8374,-160.2325,1,0,0,0,0,0
1997203,-70.8885,-159.8285,1,0,0,0,0,0
1997204,-70.9395,-159.4244,1,0,0,0,0,0
1997205,-70.9706,-159.1399,1,0,0,0,0,0
1997206,-70.9817,-158.9751,1,0,0,0,0,0
