date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
1997271,-74.0989,-130.2933,1,0,0,0,0,0,0,0,0
1997272,-74.0767,-130.4597,1,0,0,0,0,0,0,0,0
1997273,-74.0545,-130.6262,1,0,0,0,0,0,0,0,0
1997274,-74.0434,-130.7095,1,0,0,0,0,0,0,0,0
1997275,-74.0434,-130.7095,1,0,0,0,0,0,0,0,0
1997276,-74.0434,-130.7095,1,0,0,0,0,0,0,0,0
1997277,-74.0434,-130.7095,1,0,0,0,0,0,0,0,0
1997278,-74.0434,-130.7095,1,0,0,0,0,0,0,0,0
1997279,-74.0434,-130.7095,1,0,0,0,0,0,0,0,0
1997280,-74.0291,-130.7692,1,0,0,0,0,0,0,0,0
1997281,-74.0006,-130.8888,1,0,0,0,0,0,0,0,0
1997282,-73.972,-131.0083,1,0,0,0,0,0,0,0,0
1997283,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997284,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997285,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997286,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997287,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997288,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997289,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997290,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997291,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997292,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997293,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997294,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997295,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997296,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997297,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997298,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997299,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997300,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997301,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997302,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997303,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997304,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997305,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997306,-73.9577,-131.068,1,0,0,0,0,0,0,0,0
1997307,-73.9637,-131.1271,1,0,0,0,0,0,0,0,0
1997308,-73.9755,-131.2454,1,0,0,0,0,0,0,0,0
1997309,-73.9874,-131.3636,1,0,0,0,0,0,0,0,0
1997310,-73.9934,-131.4227,1,0,0,0,0,0,0,0,0
1997311,-73.9934,-131.4227,1,0,0,0,0,0,0,0,0
1997312,-73.9934,-131.4227,1,0,0,0,0,0,0,0,0
1997313,-73.9934,-131.4227,1,0,0,0,0,0,0,0,0
1997314,-73.9934,-131.4227,1,0,0,0,0,0,0,0,0
1997315,-73.9934,-131.4227,1,0,0,0,0,0,0,0,0
1997316,-73.9903,-131.4533,1,0,0,0,0,0,0,0,0
1997317,-73.9841,-131.5144,1,0,0,0,0,0,0,0,0
1997318,-73.978,-131.5755,1,0,0,0,0,0,0,0,0
1997319,-73.9749,-131.6061,1,0,0,0,0,0,0,0,0
1997320,-73.9749,-131.6061,1,0,0,0,0,0,0,0,0
1997321,-73.9749,-131.6061,1,0,0,0,0,0,0,0,0
1997322,-73.9588,-131.6438,1,0,0,0,0,0,0,0,0
1997323,-73.9266,-131.7192,1,0,0,0,0,0,0,0,0
1997324,-73.8943,-131.7945,1,0,0,0,0,0,0,0,0
1997325,-73.8651,-131.8303,1,0,0,0,0,0,0,0,0
1997326,-73.8388,-131.8264,1,0,0,0,0,0,0,0,0
1997327,-73.8125,-131.8225,1,0,0,0,0,0,0,0,0
1997328,-73.7994,-131.8206,1,0,0,0,0,0,0,0,0
1997329,-73.7994,-131.8206,1,0,0,0,0,0,0,0,0
1997330,-73.7994,-131.8206,1,0,0,0,0,0,0,0,0
1997331,-73.7994,-131.8206,1,0,0,0,0,0,0,0,0
1997332,-73.7994,-131.8206,1,0,0,0,0,0,0,0,0
1997333,-73.7994,-131.8206,1,0,0,0,0,0,0,0,0
1997334,-73.7918,-131.8606,1,0,0,0,0,0,0,0,0
