date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2000072,-78.3,-170.6,1,0,0,0,0,0
2000093,-77.95,-170.85,1,0,0,0,0,0
2000110,0,0,0,-78.2218,-171.8487,1,0,0
2000111,0,0,0,-78.1872,-172.0734,1,0,0
2000112,0,0,0,-78.1525,-172.2968,1,0,0
2000113,0,0,0,-78.1525,-172.2968,1,0,0
2000114,-78.2,-171.2,1,-78.1578,-172.4931,1,0,0
2000115,-78.2,-171.1905,0,-78.1228,-172.7147,1,0,0
2000116,-78.2,-171.1641,0,-78.0875,-172.9349,1,0,0
2000117,-78.2,-171.1243,0,-78.0875,-172.9349,1,0,0
2000118,-78.2,-171.0746,0,-78.0875,-172.9349,1,0,0
2000119,-78.2,-171.0184,0,-78.0924,-173.1304,1,0,0
2000120,-78.2,-170.959,0,-78.0972,-173.3261,1,0,0
2000121,-78.2,-170.9,1,-78.1019,-173.5219,1,0,0
2000122,0,0,0,-78.1064,-173.7178,1,0,0
2000123,0,0,0,-78.1064,-173.7178,1,0,0
2000124,0,0,0,-78.1064,-173.7178,1,0,0
2011268,0,0,0,0,0,0,11,7
2011275,0,0,0,0,0,0,11,7
2011282,0,0,0,0,0,0,11,7
2011289,0,0,0,0,0,0,11,7
2011296,0,0,0,0,0,0,11,7
2011303,0,0,0,0,0,0,11,7
2011310,0,0,0,0,0,0,11,7
2011317,0,0,0,0,0,0,11,7
2011324,0,0,0,0,0,0,11,7
2011331,0,0,0,0,0,0,11,7
2011338,0,0,0,0,0,0,11,7
2011345,0,0,0,0,0,0,11,7
2011352,0,0,0,0,0,0,11,7
2011359,0,0,0,0,0,0,11,7
2012001,0,0,0,0,0,0,11,7
2012008,0,0,0,0,0,0,11,7
2012015,0,0,0,0,0,0,11,7
2012022,0,0,0,0,0,0,11,7
2012029,0,0,0,0,0,0,11,7
2012036,0,0,0,0,0,0,11,7
2012043,0,0,0,0,0,0,11,6
2012050,0,0,0,0,0,0,11,6
2012057,0,0,0,0,0,0,11,6
2012064,0,0,0,0,0,0,11,6
2012071,0,0,0,0,0,0,11,6
2012078,0,0,0,0,0,0,11,6
2012085,0,0,0,0,0,0,11,7
2012092,0,0,0,0,0,0,11,7
2012099,0,0,0,0,0,0,11,7
2012106,0,0,0,0,0,0,11,7
2012113,0,0,0,0,0,0,11,7
2012120,0,0,0,0,0,0,11,7
2012127,0,0,0,0,0,0,11,7
2012134,0,0,0,0,0,0,11,7
2012141,0,0,0,0,0,0,11,7
2012148,0,0,0,0,0,0,11,7
2012155,0,0,0,0,0,0,11,7
2012162,0,0,0,0,0,0,11,7
2012169,0,0,0,0,0,0,11,7
2012176,0,0,0,0,0,0,11,7
2012183,0,0,0,0,0,0,10,6
2012190,0,0,0,0,0,0,10,6
2012197,0,0,0,0,0,0,10,6
2012204,0,0,0,0,0,0,10,6
2012211,0,0,0,0,0,0,10,6
2012218,0,0,0,0,0,0,10,6
2012225,0,0,0,0,0,0,10,6
2012232,0,0,0,0,0,0,10,6
