ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
0,0,0,2019025,-54.15,-26.3167,1,12,3
0,0,0,2019026,-54.0889,-26.3145,0,0,0
0,0,0,2019027,-54.0348,-26.3081,0,0,0
0,0,0,2019028,-53.9886,-26.2981,0,0,0
0,0,0,2019029,-53.9512,-26.2851,0,0,0
0,0,0,2019030,-53.9233,-26.2696,0,0,0
0,0,0,2019031,-53.906,-26.2522,0,0,0
-53.9,-26.233,1,2019032,-53.9,-26.2333,1,12,3
-53.9386,-26.5186,1,2019033,-53.9083,-26.1987,0,0,0
-54.086,-26.708,0,2019034,-53.9297,-26.1408,0,0,0
-54.2101,-26.7996,1,2019035,-53.959,-26.07,0,0,0
-54.2187,-26.7734,0,2019036,-53.991,-25.9967,0,0,0
-54.2245,-26.701,0,2019037,-54.0203,-25.9315,0,0,0
-54.2278,-26.5913,0,2019038,-54.0417,-25.8846,0,0,0
-54.2288,-26.4535,1,2019039,-54.05,-25.8667,1,12,3
-53.9778,-26.0649,0,2019040,-54.0362,-25.9322,0,0,0
-53.7268,-25.7508,1,2019041,-54.0004,-26.1013,0,0,0
-53.8359,-26.7934,1,2019042,-53.9516,-26.3324,0,0,0
-53.826,-26.8977,1,2019043,-53.8984,-26.5843,0,0,0
-53.901,-27.0214,0,2019044,-53.8496,-26.8154,0,0,0
-54.0581,-27.1436,0,2019045,-53.8138,-26.9845,0,0,0
-54.1959,-27.1989,1,2019046,-53.8,-27.05,1,12,3
-54.2976,-27.1834,0,2019047,-53.8379,-27.0278,0,0,0
-54.3522,-27.1678,1,2019048,-53.9355,-26.9707,0,0,0
-54.3522,-27.1678,0,2019049,-54.0689,-26.8926,0,0,0
-54.3522,-27.1678,0,2019050,-54.2144,-26.8074,0,0,0
-54.3522,-27.1678,1,2019051,-54.3478,-26.7293,0,0,0
-54.4575,-26.7074,1,2019052,-54.4454,-26.6722,0,0,0
-54.4232,-26.762,0,2019053,-54.4833,-26.65,1,12,3
-54.3729,-26.8167,1,2019054,-54.4833,-26.65,0,0,0
-54.3403,-26.8093,0,2019055,-54.4833,-26.65,0,0,0
-54.3078,-26.7878,0,2019056,-54.4833,-26.65,0,0,0
-54.278,-26.7537,0,2019057,-54.4833,-26.65,0,0,0
-54.2536,-26.7083,0,2019058,-54.4833,-26.65,0,0,0
-54.237,-26.6529,0,2019059,-54.4833,-26.65,0,0,0
-54.2309,-26.5888,1,2019060,-54.4833,-26.65,1,12,3
-54.3076,-26.4158,0,2019061,-54.4736,-26.6898,0,0,0
-54.3842,-26.2767,1,2019062,-54.4464,-26.8014,0,0,0
-54.3476,-26.3489,0,2019063,-54.4046,-26.9727,0,0,0
-54.3109,-26.4945,1,2019064,-54.3511,-27.1919,0,0,0
-54.3333,-26.723,0,2019065,-54.289,-27.4469,0,0,0
-54.3749,-27.0164,0,2019066,-54.2209,-27.7258,0,0,0
-54.3973,-27.2267,1,2019067,-54.15,-28.0167,1,8,1
-54.3189,-27.3143,1,2019068,0,0,0,0,0
