date,nic_1,nic_2,nic_3,qscat_1,qscat_2,qscat_3,size_1,size_2
2000125,0,0,0,-78.0704,-173.9347,1,0,0
2000126,0,0,0,-78.0746,-174.1303,1,0,0
2000127,0,0,0,-78.0704,-173.9347,1,0,0
2000128,0,0,0,-78.1064,-173.7178,1,0,0
2000129,0,0,0,-78.1064,-173.7178,1,0,0
2000130,0,0,0,-78.1064,-173.7178,1,0,0
2000131,0,0,0,-78.1064,-173.7178,1,0,0
2000132,0,0,0,-78.1064,-173.7178,1,0,0
2000133,0,0,0,-78.0704,-173.9347,1,0,0
2000134,0,0,0,-78.0341,-174.1504,1,0,0
2000135,0,0,0,-78.0341,-174.1504,1,0,0
2000136,0,0,0,-78.0341,-174.1504,1,0,0
2000137,0,0,0,-78.0382,-174.3454,1,0,0
2000138,0,0,0,-78.0382,-174.3454,1,0,0
2000139,0,0,0,-78.0017,-174.5592,1,0,0
2000140,0,0,0,-78.0055,-174.7538,1,0,0
2000141,0,0,0,-78.0382,-174.3454,1,0,0
2000142,0,0,0,-78.0299,-173.9554,1,0,0
2000143,0,0,0,-78.0382,-174.3454,1,0,0
2000144,0,0,0,-78.0017,-174.5592,1,0,0
2000145,0,0,0,-77.9281,-174.9828,1,0,0
2000146,0,0,0,-77.8945,-175.3858,1,0,0
2000147,0,0,0,-77.7848,-176.1975,1,0,0
2000148,0,0,0,-77.7443,-176.2102,1,0,0
2000149,0,0,0,-77.7821,-176.006,1,0,0
2000150,0,0,0,-77.7821,-176.006,1,0,0
2000151,0,0,0,-77.7037,-176.2228,1,0,0
2000152,0,0,0,-77.7443,-176.2102,1,0,0
2000153,0,0,0,-77.7415,-176.0193,1,0,0
2000154,0,0,0,-77.6706,-176.8047,1,0,0
2000155,0,0,0,-77.6322,-177.0046,1,0,0
2000156,0,0,0,-77.5937,-177.2032,1,0,0
2000157,0,0,0,-77.5551,-177.4006,1,0,0
2000158,0,0,0,-77.5937,-177.2032,1,0,0
2000159,0,0,0,-77.6322,-177.0046,1,0,0
2000160,0,0,0,-77.4757,-177.6046,1,0,0
2000161,0,0,0,-77.4382,-177.9853,1,0,0
2000162,0,0,0,-77.4367,-177.7988,1,0,0
2000163,0,0,0,-77.4739,-177.4175,1,0,0
2000164,0,0,0,-77.3976,-177.9919,1,0,0
2000165,0,0,0,-77.3976,-177.9919,1,0,0
2000166,0,0,0,-77.3976,-177.9919,1,0,0
2000167,0,0,0,-77.4382,-177.9853,1,0,0
2000168,0,0,0,-77.4773,-177.7916,1,0,0
2000169,0,0,0,-77.4773,-177.7916,1,0,0
2000170,-78,-176.7,1,-77.4382,-177.9853,1,14,4
2000171,-77.9915,-176.8703,0,-77.4408,-178.3584,1,0,0
2000172,-77.9807,-177.0335,0,-77.4382,-177.9853,1,0,0
2000173,-77.9676,-177.1828,0,-77.399,-178.1778,1,0,0
2000174,-77.9528,-177.3111,0,-77.4802,-178.1659,1,0,0
2000175,-77.9363,-177.4114,0,-77.4013,-178.5498,1,0,0
2000176,-77.9187,-177.4767,0,-77.4013,-178.5498,1,0,0
2000177,-77.9,-177.5,1,-77.4013,-178.5498,1,14,4
2000178,-77.878,-177.5,0,-77.4013,-178.5498,1,0,0
2000179,-77.8511,-177.5,0,-77.4013,-178.5498,1,0,0
2000180,-77.8209,-177.5,0,-77.4013,-178.5498,1,0,0
2000181,-77.7891,-177.5,0,-77.4013,-178.5498,1,0,0
2000182,-77.7573,-177.5,0,-77.4013,-178.5498,1,0,0
2000183,-77.727,-177.5,0,-77.4013,-178.5498,1,0,0
2000184,-77.7,-177.5,1,-77.4013,-178.5498,1,14,4
2000185,0,0,0,-77.4013,-178.5498,1,0,0
2000186,0,0,0,-77.4013,-178.5498,1,0,0
2000187,0,0,0,-77.4013,-178.5498,1,0,0
2000188,0,0,0,-77.4013,-178.5498,1,0,0
2000189,0,0,0,-77.4013,-178.5498,1,0,0
2000190,0,0,0,-77.4013,-178.5498,1,0,0
2000191,0,0,0,-77.317,-178.9077,1,0,0
2000192,0,0,0,-77.2593,-178.8261,1,0,0
2000193,0,0,0,-77.2788,-178.9111,1,0,0
2000194,0,0,0,-77.2788,-178.9111,1,0,0
2000195,0,0,0,-77.2788,-178.9111,1,0,0
2000196,0,0,0,-77.2791,-178.9978,1,0,0
2000197,0,0,0,-77.2589,-178.7395,1,0,0
2000198,-77.4,-178.1,1,-77.2409,-179.0008,1,14,4
2000199,-77.3839,-178.1424,0,-77.2224,-179.1751,1,0,0
2000200,-77.3689,-178.1843,0,-77.2415,-179.1739,1,0,0
2000201,-77.3547,-178.226,0,-77.1839,-179.0915,1,0,0
2000202,-77.341,-178.268,0,-77.2033,-179.1763,1,0,0
2000203,-77.3276,-178.3107,0,-77.1648,-179.0928,1,0,0
2000204,-77.314,-178.3546,0,-77.145,-178.9225,1,0,0
2000205,-77.3,-178.4,1,-77.1078,-179.1825,1,14,4
2000206,0,0,0,-77.1465,-179.3518,1,0,0
2000207,0,0,0,-77.1276,-179.4385,1,0,0
2000208,0,0,0,-77.1656,-179.3508,1,0,0
2000209,0,0,0,-77.1266,-179.0955,1,0,0
2000210,0,0,0,-77.0889,-179.2692,1,0,0
2000211,0,0,0,-77.0695,-179.1849,1,0,0
2000212,0,0,0,-77.0702,-179.441,1,0,0
2000213,0,0,0,-77.0311,-179.1023,1,0,0
2000214,0,0,0,-76.9554,-179.3613,1,0,0
2000215,0,0,0,-77.0131,-179.5285,1,0,0
2000216,0,0,0,-76.8985,-179.5326,1,0,0
2000217,0,0,0,-76.8034,-179.8705,1,0,0
2000218,0,0,0,-76.8989,-179.9538,1,0,0
2000219,0,0,0,-76.8223,-179.7028,1,0,0
2000220,0,0,0,-76.784,-179.6202,1,0,0
2000221,0,0,0,-76.7843,-179.8707,1,0,0
2000222,0,0,0,-76.7267,-179.6219,1,0,0
2000223,0,0,0,-76.7651,-179.7041,1,0,0
2000224,0,0,0,-76.8225,-179.8703,1,0,0
2000225,0,0,0,-76.7843,179.8788,1,0,0
2000226,-77,-179.5,1,-76.8798,179.962,1,14,4
2000227,-77,-179.5,0,-76.8607,-179.9539,1,0,0
